fitness_type,stop_mode,n_decision_rules,n_decision_rules_pct,generation,mean_fitness,mean_accuracy,mean_error_chance,mean_error_utility,mean_entropy_norm,mean_util_dev
binary,top10,1,5,1,0.508000,51.34,1.510391,18.699708,11.663199,36.743727
binary,top10,2,10,1,0.932000,51.34,1.510391,18.699708,11.663199,36.743727
binary,top10,4,20,1,1.904000,51.34,1.510391,18.699708,11.663199,36.743727
binary,top10,4,20,2,1.820000,51.66,1.498063,17.540492,11.903158,36.424057
binary,top10,4,20,3,1.736000,51.64,1.496050,17.061220,11.932065,36.417845
binary,top10,4,20,4,1.644000,52.28,1.483520,17.153163,11.950770,36.302622
binary,top10,8,40,1,3.852000,51.34,1.510391,18.699708,11.663199,36.743727
binary,top10,8,40,2,3.920000,50.66,1.572592,17.631102,11.913525,35.859383
binary,top10,8,40,3,3.596000,51.52,1.550690,18.243616,11.990781,35.913175
binary,top10,8,40,4,3.388000,54.12,1.515236,18.083425,12.021288,35.739061
binary,top10,8,40,5,3.320000,55.16,1.450423,17.037146,12.123483,35.849266
binary,top10,8,40,6,3.056000,55.20,1.466261,16.669301,12.238554,35.474060
binary,top10,8,40,7,2.728000,57.58,1.479354,17.049865,12.235052,34.876340
binary,top10,8,40,8,2.300000,59.38,1.480509,17.303003,12.147967,34.919241
binary,top10,12,60,1,5.804000,51.34,1.510391,18.699708,11.663199,36.743727
binary,top10,12,60,2,5.800000,51.04,1.565329,17.404615,11.929865,35.744292
binary,top10,12,60,3,5.684000,51.16,1.557966,18.419397,12.132470,36.058591
binary,top10,12,60,4,5.196000,54.24,1.544096,18.078253,12.185298,35.547387
binary,top10,12,60,5,5.188000,55.30,1.475171,17.710208,12.363708,36.493803
binary,top10,12,60,6,4.976000,56.46,1.485904,17.524118,12.401077,35.541806
binary,top10,12,60,7,4.724000,57.42,1.505514,17.481871,12.502027,35.268858
binary,top10,12,60,8,3.884000,61.72,1.496718,18.029867,12.542867,35.388100
binary,top10,12,60,9,3.748000,62.96,1.489490,17.853607,12.441925,35.529264
binary,top10,12,60,10,3.564000,64.20,1.470002,18.277076,12.447469,35.975595
binary,top10,12,60,11,3.464000,65.02,1.489123,18.234298,12.651631,36.268954
binary,top10,12,60,12,3.176000,67.30,1.474552,17.998285,12.499581,35.956163
binary,top10,12,60,13,3.144000,67.30,1.511377,17.901345,12.448749,36.211656
binary,top10,12,60,14,2.908000,68.92,1.502291,18.021610,12.558444,36.317054
binary,top10,12,60,15,2.716000,69.76,1.486161,17.987190,12.536789,36.697347
binary,top10,12,60,16,2.624000,70.40,1.472449,17.878785,12.586762,36.492540
binary,top10,12,60,17,2.600000,70.52,1.482568,18.140457,12.598072,36.477432
binary,top10,12,60,18,2.604000,70.48,1.480493,18.191905,12.512513,36.476837
binary,top10,12,60,19,2.532000,71.30,1.474483,18.256493,12.540002,36.478182
binary,top10,12,60,20,2.524000,70.86,1.470619,18.440785,12.540695,36.460827
binary,top10,12,60,21,2.504000,70.72,1.453286,18.633996,12.496928,36.571739
binary,top10,12,60,22,2.540000,70.86,1.453897,18.654957,12.538057,36.489569
binary,top10,12,60,23,2.524000,71.20,1.455147,18.703335,12.593561,36.649170
binary,top10,12,60,24,2.516000,71.14,1.450689,18.670838,12.552563,36.746880
binary,top10,12,60,25,2.524000,71.42,1.465487,18.632735,12.537562,36.754185
binary,top10,12,60,26,2.512000,71.46,1.458296,18.834362,12.610598,36.869168
binary,top10,12,60,27,2.496000,71.06,1.468445,18.837211,12.613949,36.961414
binary,top10,12,60,28,2.508000,70.92,1.468904,18.736596,12.642163,36.823821
binary,top10,12,60,29,2.500000,71.00,1.444734,18.711150,12.647248,36.905273
binary,top10,12,60,30,2.508000,70.58,1.449908,18.727763,12.676094,36.942491
binary,top30,1,5,1,0.508000,51.34,1.510391,18.699708,11.663199,36.743727
binary,top30,2,10,1,0.932000,51.34,1.510391,18.699708,11.663199,36.743727
binary,top30,2,10,2,0.912000,51.06,1.486293,18.025281,11.727766,36.603267
binary,top30,2,10,3,0.900000,50.90,1.456993,18.407571,11.863627,36.429688
binary,top30,2,10,4,0.844000,51.64,1.445411,18.773723,11.889872,36.656198
binary,top30,2,10,5,0.808000,52.12,1.422128,18.319947,11.877863,36.537822
binary,top30,4,20,1,1.904000,51.34,1.510391,18.699708,11.663199,36.743727
binary,top30,4,20,2,1.968000,50.62,1.557989,17.163056,11.889458,35.903223
binary,top30,4,20,3,1.772000,50.52,1.548371,17.127880,12.048104,35.599527
binary,top30,4,20,4,1.528000,52.02,1.484197,16.698732,12.197644,35.341548
binary,top30,4,20,5,1.444000,52.68,1.439742,15.860466,12.236127,35.273727
binary,top30,4,20,6,1.440000,51.24,1.458094,15.777705,12.182860,35.652984
binary,top30,4,20,7,1.236000,52.82,1.463213,15.761043,12.400823,35.155297
binary,top30,4,20,8,1.164000,53.50,1.443516,15.739620,12.443427,35.053590
binary,top30,4,20,9,1.212000,52.70,1.430276,15.662520,12.518066,35.163066
binary,top30,4,20,10,1.136000,53.08,1.427440,15.982908,12.434996,35.296280
binary,top30,4,20,11,1.160000,52.66,1.423835,15.953155,12.482115,35.354208
binary,top30,4,20,12,1.120000,53.32,1.435039,15.740617,12.421839,35.297512
binary,top30,4,20,13,1.128000,53.60,1.448597,15.779552,12.352679,35.571158
binary,top30,4,20,14,1.080000,53.28,1.445541,15.927289,12.451798,35.729473
binary,top30,4,20,15,1.052000,53.00,1.440158,16.180242,12.586264,35.620977
binary,top30,4,20,16,1.044000,53.08,1.437947,16.138866,12.577309,35.534555
binary,top30,8,40,1,3.852000,51.34,1.510391,18.699708,11.663199,36.743727
binary,top30,8,40,2,3.920000,50.66,1.572592,17.631102,11.913525,35.859383
binary,top30,8,40,3,3.596000,51.52,1.550690,18.243616,11.990781,35.913175
binary,top30,8,40,4,3.388000,54.12,1.515236,18.083425,12.021288,35.739061
binary,top30,8,40,5,3.320000,55.16,1.450423,17.037146,12.123483,35.849266
binary,top30,8,40,6,3.056000,55.20,1.466261,16.669301,12.238554,35.474060
