fitness_type,stop_mode,n_decision_rules,n_decision_rules_pct,total_rules,stop_gen_mean,stop_gen_std,stop_gen_min,stop_gen_max,best_fitness_mean,best_fitness_std,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,mse_chance_mean,mse_chance_std,mse_utility_mean,mse_utility_std,entropy_norm_mean,entropy_norm_std,util_dev_mean,util_dev_std
binary,top10,1,5,20,1.00,0.00,1,1,0.000000,0.000000,79.00,5.83,70.00,85.00,0.622248,0.092837,7.308895,1.417350,8.123379,0.559495,44.080043,0.266595
binary,top10,2,10,20,1.00,0.00,1,1,0.000000,0.000000,79.00,5.83,70.00,85.00,0.622248,0.092837,7.308895,1.417350,8.123379,0.559495,44.080043,0.266595
binary,top10,4,20,20,2.20,1.17,1,4,0.000000,0.000000,81.00,2.00,80.00,85.00,0.575761,0.070567,6.859813,1.583164,8.283461,0.372398,43.487807,0.343995
binary,top10,8,40,20,7.60,0.49,7,8,0.000000,0.000000,88.00,7.48,75.00,95.00,0.629682,0.167021,6.821662,2.001702,8.810103,0.252554,42.707282,0.719160
binary,top10,12,60,20,14.60,8.06,8,30,0.200000,0.400000,94.00,4.90,85.00,100.00,0.708181,0.113944,7.754796,3.816653,9.698286,1.116901,43.005219,0.845011
binary,top30,1,5,20,1.00,0.00,1,1,0.000000,0.000000,79.00,5.83,70.00,85.00,0.622248,0.092837,7.308895,1.417350,8.123379,0.559495,44.080043,0.266595
binary,top30,2,10,20,2.40,1.74,1,5,0.000000,0.000000,81.00,3.74,75.00,85.00,0.642419,0.094016,7.134166,1.458459,8.182395,0.611565,43.587486,0.432625
binary,top30,4,20,20,8.60,3.77,6,16,0.000000,0.000000,80.00,4.47,75.00,85.00,0.618959,0.113961,6.995182,3.261885,9.361753,0.378324,42.746636,1.030345
binary,top30,8,40,20,11.00,1.10,9,12,0.000000,0.000000,96.00,2.00,95.00,100.00,0.713000,0.160554,7.989454,4.848689,9.074469,0.145048,41.709068,1.260831
binary,top30,12,60,20,18.20,6.40,13,30,0.200000,0.400000,94.00,2.00,90.00,95.00,0.757108,0.159347,10.647438,4.529833,9.688305,0.754589,42.785815,1.465365
binary,top70,1,5,20,6.40,2.06,4,10,0.000000,0.000000,80.00,4.47,75.00,85.00,0.701897,0.075134,6.556829,1.840149,9.186511,0.662265,42.995484,1.045807
binary,top70,2,10,20,8.80,1.17,7,10,0.000000,0.000000,82.00,4.00,75.00,85.00,0.629861,0.067242,7.117546,3.127339,9.302239,0.698118,42.967628,1.263950
binary,top70,4,20,20,13.20,4.62,9,22,0.000000,0.000000,84.00,6.63,75.00,95.00,0.735076,0.155896,8.582659,4.994923,9.289047,0.399670,42.749872,1.060357
binary,top70,8,40,20,15.00,1.41,13,17,0.000000,0.000000,91.00,4.90,85.00,95.00,0.885954,0.218310,9.167136,3.799845,9.186989,1.080614,41.635536,2.091455
binary,top70,12,60,20,21.60,4.80,18,30,0.200000,0.400000,93.00,5.10,85.00,100.00,0.825952,0.273408,12.039634,5.570189,9.213313,1.318442,42.491786,1.282291
binary,top90,1,5,20,10.20,2.48,7,14,0.000000,0.000000,84.00,6.63,75.00,95.00,0.767739,0.247027,9.883620,4.099716,8.822845,0.720116,43.126723,0.855011
binary,top90,2,10,20,12.60,2.24,11,17,0.000000,0.000000,89.00,5.83,80.00,95.00,0.655588,0.128687,8.814953,4.015412,9.309794,0.476543,42.010930,1.462313
binary,top90,4,20,20,16.20,3.66,11,22,0.000000,0.000000,80.00,6.32,75.00,90.00,0.732763,0.139707,10.111490,4.535392,9.180760,0.373259,42.576655,1.404681
binary,top90,8,40,20,19.40,1.36,17,21,0.000000,0.000000,93.00,4.00,85.00,95.00,0.800919,0.240048,12.513182,2.112378,9.499930,0.483990,40.588983,1.940443
