alpha,elite_factor,rep,seed,stop_generation,best_fitness,best_accuracy,mean_accuracy,mse_chance,mse_utility
0.25,0.0,0,42,5,0.0,95.0,70.1,0.8155507081719083,12.788915050141247
0.25,0.0,1,43,6,0.0,85.0,62.0,0.41611717402915444,4.913376244775103
0.25,0.0,2,44,10,0.0,95.0,81.8,0.6082312856452257,8.98181737713225
0.25,0.0,3,45,10,0.0,70.0,51.7,0.572878734031018,5.859952597227676
0.25,0.0,4,46,7,0.0,95.0,66.3,0.674974191460775,9.433678258743445
0.25,0.1,0,42,5,0.0,85.0,59.6,1.1123612352693792,7.478142330183918
0.25,0.1,1,43,7,0.0,85.0,57.8,1.0048970887058615,6.652080923418072
0.25,0.1,2,44,12,0.0,95.0,72.0,0.5864424095487905,10.69982077148948
0.25,0.1,3,45,9,0.0,80.0,60.2,0.44024728331376467,8.314456996837997
0.25,0.1,4,46,7,0.0,95.0,71.1,0.6761360117126215,9.232612227555373
0.25,0.2,0,42,5,0.0,95.0,67.4,1.1392950706429152,8.23328765301921
0.25,0.2,1,43,7,0.0,85.0,60.1,0.9649358786771152,2.7979410632568538
0.25,0.2,2,44,11,0.0,85.0,62.8,0.6009044196246107,5.90564936040375
0.25,0.2,3,45,10,0.0,75.0,52.7,0.7118357708472332,5.942292304431266
0.25,0.2,4,46,8,0.0,95.0,70.5,0.6403074298007297,8.9690444435166
0.5,0.0,0,42,12,0.0,85.0,63.8,0.9749857321308344,11.299262450628559
0.5,0.0,1,43,15,0.0,95.0,71.3,0.7553641125395881,5.53043657636514
0.5,0.0,2,44,19,0.0,90.0,63.1,0.7566479966228904,6.765906896359919
0.5,0.0,3,45,13,0.0,70.0,50.9,0.5229560190989436,10.958967436524386
0.5,0.0,4,46,14,0.0,90.0,71.5,0.7045770373945427,7.037233279885388
0.5,0.1,0,42,8,0.0,95.0,64.4,0.8403255635092006,7.129973744312587
0.5,0.1,1,43,11,0.0,95.0,68.0,0.6990928161792344,6.116088076759872
0.5,0.1,2,44,13,0.0,85.0,60.8,0.5862660345111602,4.778469849277007
0.5,0.1,3,45,14,0.0,85.0,57.2,0.7064998098548605,13.201581306402112
0.5,0.1,4,46,9,0.0,95.0,68.2,0.6552739512770861,6.59570295921623
0.5,0.2,0,42,8,0.0,85.0,62.3,0.8355689882077868,5.207310182853992
0.5,0.2,1,43,10,0.0,80.0,60.5,0.7610315202279784,4.203967205509344
0.5,0.2,2,44,13,0.0,95.0,64.3,0.4872231430193732,6.669898574631473
0.5,0.2,3,45,12,0.0,75.0,53.7,0.6212379907069496,9.619151013718255
0.5,0.2,4,46,10,0.0,90.0,66.9,0.6126063274212573,6.845047348653594
0.75,0.0,0,42,19,0.0,85.0,58.1,0.8932767311280491,6.805309618055828
0.75,0.0,1,43,22,0.0,80.0,59.5,0.711162525940732,3.5638443038912118
0.75,0.0,2,44,23,0.0,95.0,61.2,0.7090360288139873,4.756623273273953
0.75,0.0,3,45,21,0.0,80.0,54.1,0.5761231425329776,4.326963541897161
0.75,0.0,4,46,22,0.0,90.0,67.0,0.692198800676196,5.3237271258161005
0.75,0.1,0,42,13,0.0,75.0,58.4,0.8232077968195433,7.373574462964553
0.75,0.1,1,43,14,0.0,95.0,66.6,0.7996551278968062,4.459679590414108
0.75,0.1,2,44,19,0.0,85.0,62.2,0.6938619436690252,4.727460524231332
0.75,0.1,3,45,14,0.0,75.0,54.4,0.7584889053185019,7.578517910480148
0.75,0.1,4,46,16,0.0,95.0,65.8,0.6083291247834216,2.5506927279872382
0.75,0.2,0,42,12,0.0,95.0,65.2,0.9416445434231623,10.119608061616068
0.75,0.2,1,43,13,0.0,80.0,60.2,0.8792659948361462,5.932071127734599
0.75,0.2,2,44,13,0.0,85.0,59.2,0.4507260555184962,9.461199125102903
0.75,0.2,3,45,17,0.0,85.0,53.4,0.7694646258523804,7.128994408724201
0.75,0.2,4,46,15,0.0,95.0,70.8,0.5683316509701708,5.672365075035472
