alpha,elite_factor,rep,seed,stop_generation,best_fitness,best_accuracy,mean_accuracy,mse_chance,mse_utility
0.25,0.0,0,42,16,0.0,90.0,64.8,0.6299152031531574,10.263845581555522
0.25,0.0,1,43,22,0.0,95.0,70.3,0.8107380217408371,11.394925840855237
0.25,0.0,2,44,22,0.0,95.0,71.6,1.5014496958544081,11.354533454282986
0.25,0.0,3,45,24,0.0,95.0,70.1,0.9713551409536857,14.198734497768484
0.25,0.0,4,46,21,0.0,90.0,72.0,0.6943271079864594,12.808184231051952
0.25,0.1,0,42,13,0.0,95.0,67.5,0.6390909827405518,16.662599349238697
0.25,0.1,1,43,22,0.0,100.0,68.6,1.0604571110227337,10.65235541354915
0.25,0.1,2,44,22,0.0,85.0,66.2,0.8875655519062613,7.311575795443279
0.25,0.1,3,45,23,0.0,95.0,68.4,0.9148570566591174,9.885054830384266
0.25,0.1,4,46,9,0.0,95.0,66.5,0.8965404432298894,6.338371655101397
0.25,0.2,0,42,7,0.0,85.0,60.2,0.7391033011040069,13.26454341740534
0.25,0.2,1,43,18,0.0,100.0,69.3,1.0061380641386088,15.695594673023777
0.25,0.2,2,44,22,0.0,90.0,64.0,0.47002391866775983,6.590055922885461
0.25,0.2,3,45,23,0.0,85.0,57.3,1.0310815442250445,8.423849138922982
0.25,0.2,4,46,19,0.0,85.0,66.7,1.0241113783636548,8.863684782684876
0.5,0.0,0,42,22,0.0,85.0,59.1,0.9737254429758827,9.554409203574082
0.5,0.0,1,43,22,0.0,85.0,64.5,0.909528722454216,10.306109539123213
0.5,0.0,2,44,23,0.0,95.0,64.2,0.8406226088806351,6.198399709532923
0.5,0.0,3,45,22,0.0,95.0,64.6,0.6519516807165859,7.535107684324844
0.5,0.0,4,46,23,0.28994449114701204,95.0,68.3,1.3732099969400284,7.1819947166685045
0.5,0.1,0,42,10,0.0,85.0,59.3,0.7958781535175904,9.535237725588825
0.5,0.1,1,43,15,0.0,95.0,68.5,0.6188746201002515,15.962230241041276
0.5,0.1,2,44,23,0.0,80.0,62.7,1.2104659481623998,8.728547311877522
0.5,0.1,3,45,10,0.0,75.0,53.4,0.6939204112395931,3.500109886532117
0.5,0.1,4,46,23,0.0,90.0,62.8,0.9849779983474157,9.520735196854291
0.5,0.2,0,42,8,0.0,95.0,59.2,0.7721173082501087,6.148835449122138
0.5,0.2,1,43,13,0.0,85.0,64.1,0.6428665783021174,4.4871620393882985
0.5,0.2,2,44,23,0.0,95.0,65.2,0.673714826765544,7.999015731419874
0.5,0.2,3,45,9,0.0,95.0,60.9,0.6041395428175808,4.227200953426401
0.5,0.2,4,46,16,0.0,90.0,71.0,0.8227581031773274,6.0663675577694995
0.75,0.0,0,42,23,0.0,95.0,62.8,0.684689874876977,7.77816885284478
0.75,0.0,1,43,22,0.0,85.0,56.2,0.8616842294528658,8.223298060949546
0.75,0.0,2,44,22,0.9812401040048329,100.0,59.9,0.6433057353533785,8.164508859099037
0.75,0.0,3,45,22,0.0,75.0,55.9,1.1209638596407907,7.611735815591688
0.75,0.0,4,46,22,0.0,85.0,60.2,0.8448383324601323,9.225550589334414
0.75,0.1,0,42,23,0.0,85.0,63.1,0.8868058775469387,8.361062420194456
0.75,0.1,1,43,22,0.0,90.0,61.2,0.7813924005324479,10.031980196826613
0.75,0.1,2,44,22,0.0,85.0,60.9,0.5383750564679313,10.741533238611094
0.75,0.1,3,45,22,0.0,85.0,59.5,1.055085295649621,11.282842217511725
0.75,0.1,4,46,22,0.0,85.0,61.1,0.8641534322969191,4.380074050459379
0.75,0.2,0,42,10,0.0,85.0,61.2,0.842941417692411,5.668680992439814
0.75,0.2,1,43,16,0.0,85.0,67.2,0.8936696313373068,12.373934012811823
0.75,0.2,2,44,22,0.0,95.0,65.1,0.6034717709421238,8.02933514430875
0.75,0.2,3,45,22,0.0,95.0,65.5,0.6744095087652449,5.900289429667976
0.75,0.2,4,46,13,0.0,95.0,67.1,1.0441561597282973,3.189897299065533
