mode,sampling_mode,chance_temperature,utility_temperature,fitness_type,stop_mode,n_decision_rules,n_decision_rules_pct,generation,mean_fitness,mean_accuracy,mean_error_chance,mean_error_utility,mean_entropy_norm,mean_util_dev,mean_gen_cpu
both,non_symmetric,1.0,1.0,binary,top50,1,5,1,0.476000,51.24,1.430836,18.728298,12.971466,37.031858,0.0375
both,non_symmetric,1.0,1.0,binary,top50,1,5,2,0.480000,51.14,1.447002,19.025285,13.039084,36.876695,0.1844
both,non_symmetric,1.0,1.0,binary,top50,1,5,3,0.440000,52.28,1.444704,18.874738,12.792340,37.151123,0.1250
both,non_symmetric,1.0,1.0,binary,top50,2,10,1,0.932000,51.24,1.430836,18.728298,12.971466,37.031858,0.0437
both,non_symmetric,1.0,1.0,binary,top50,2,10,2,0.772000,51.92,1.427141,18.230429,12.609810,36.703195,0.4313
both,non_symmetric,1.0,1.0,binary,top50,2,10,3,0.776000,53.60,1.534670,18.620025,11.413445,37.334428,0.3250
both,non_symmetric,1.0,1.0,binary,top50,2,10,4,0.712000,52.90,1.479322,18.572924,10.787115,37.143997,0.2906
both,non_symmetric,1.0,1.0,binary,top50,2,10,5,0.728000,53.96,1.483924,18.583815,10.552791,37.410071,0.3125
both,non_symmetric,1.0,1.0,binary,top50,2,10,6,0.688000,54.54,1.506510,18.375168,10.073463,37.510193,0.2844
both,non_symmetric,1.0,1.0,binary,top50,2,10,7,0.624000,55.34,1.496956,18.270541,9.830599,37.621858,0.2562
both,non_symmetric,1.0,1.0,binary,top50,2,10,8,0.568000,56.34,1.506652,18.239058,9.803033,37.918329,0.2781
both,non_symmetric,1.0,1.0,binary,top50,2,10,9,0.544000,56.36,1.520403,18.238183,9.779195,37.901909,0.2781
both,non_symmetric,1.0,1.0,binary,top50,4,20,1,1.976000,51.24,1.430836,18.728298,12.971466,37.031858,0.0406
both,non_symmetric,1.0,1.0,binary,top50,4,20,2,1.752000,52.46,1.485577,18.140091,12.684680,36.273854,0.5406
both,non_symmetric,1.0,1.0,binary,top50,4,20,3,1.480000,53.22,1.567644,18.624508,11.606105,37.013720,0.3531
both,non_symmetric,1.0,1.0,binary,top50,4,20,4,1.532000,52.54,1.671167,18.608151,10.618510,37.423048,0.3750
both,non_symmetric,1.0,1.0,binary,top50,4,20,5,1.104000,54.20,1.613106,19.947802,9.773919,38.653427,0.3531
both,non_symmetric,1.0,1.0,binary,top50,4,20,6,1.044000,55.92,1.630400,19.012587,9.295830,39.310670,0.3500
both,non_symmetric,1.0,1.0,binary,top50,4,20,7,0.944000,57.10,1.629685,18.529027,8.953905,39.219727,0.3625
both,non_symmetric,1.0,1.0,binary,top50,4,20,8,0.816000,58.76,1.671330,18.741143,8.409154,39.814332,0.3531
both,non_symmetric,1.0,1.0,binary,top50,4,20,9,0.828000,58.80,1.687827,18.806291,8.297584,39.607137,0.3563
both,non_symmetric,1.0,1.0,binary,top50,4,20,10,0.780000,59.96,1.682855,18.856835,8.287589,39.876136,0.3563
both,non_symmetric,1.0,1.0,binary,top50,4,20,11,0.828000,58.86,1.691443,19.061042,8.174523,40.137336,0.3656
both,non_symmetric,1.0,1.0,binary,top50,4,20,12,0.776000,59.40,1.693950,18.925504,8.012246,40.043882,0.3688
both,non_symmetric,1.0,1.0,binary,top50,4,20,13,0.816000,59.06,1.713051,19.331198,7.979272,40.336644,0.3563
both,non_symmetric,1.0,1.0,binary,top50,4,20,14,0.764000,59.68,1.704017,19.532357,7.852820,40.342707,0.3563
both,non_symmetric,1.0,1.0,binary,top50,4,20,15,0.764000,60.26,1.717266,19.812335,7.824781,40.549208,0.3656
both,non_symmetric,1.0,1.0,binary,top50,4,20,16,0.748000,60.34,1.697000,20.131235,7.839942,40.622342,0.3531
both,non_symmetric,1.0,1.0,binary,top50,4,20,17,0.708000,60.44,1.688648,20.324841,7.743262,40.800473,0.3469
