mode,sampling_mode,chance_temperature,utility_temperature,fitness_type,stop_mode,n_decision_rules,n_decision_rules_pct,generation,mean_fitness,mean_accuracy,mean_error_chance,mean_error_utility,mean_entropy_norm,mean_util_dev,mean_gen_cpu
both,non_symmetric,1.0,1.0,binary,top50,1,5,1,0.476000,51.24,1.430836,18.728298,12.971466,37.031858,0.0500
both,non_symmetric,1.0,1.0,binary,top50,1,5,2,0.452000,51.20,1.445716,18.466805,13.542828,35.735069,0.0500
both,non_symmetric,1.0,1.0,binary,top50,2,10,1,0.932000,51.24,1.430836,18.728298,12.971466,37.031858,0.0469
both,non_symmetric,1.0,1.0,binary,top50,2,10,2,0.780000,53.60,1.299160,15.955273,15.489604,33.042747,0.0437
both,non_symmetric,1.0,1.0,binary,top50,2,10,3,0.704000,54.58,1.290404,15.704724,15.551542,31.714705,0.0469
both,non_symmetric,1.0,1.0,binary,top50,2,10,4,0.592000,54.86,1.278442,15.469398,15.679903,31.537872,0.0406
both,non_symmetric,1.0,1.0,binary,top50,4,20,1,1.976000,51.24,1.430836,18.728298,12.971466,37.031858,0.0469
both,non_symmetric,1.0,1.0,binary,top50,4,20,2,1.788000,53.94,1.267134,15.586985,16.140366,31.635844,0.0469
both,non_symmetric,1.0,1.0,binary,top50,4,20,3,1.808000,53.22,1.227414,14.222602,16.224772,29.635551,0.0469
both,non_symmetric,1.0,1.0,binary,top50,4,20,4,1.584000,53.54,1.244764,14.743614,16.006173,29.261234,0.0375
both,non_symmetric,1.0,1.0,binary,top50,4,20,5,1.232000,56.30,1.285302,14.640567,15.644907,28.811153,0.0469
both,non_symmetric,1.0,1.0,binary,top50,4,20,6,1.092000,59.56,1.372749,14.337576,15.398788,28.504949,0.0437
both,non_symmetric,1.0,1.0,binary,top50,4,20,7,0.928000,59.06,1.364700,14.985352,15.061999,27.944178,0.0500
both,non_symmetric,1.0,1.0,binary,top50,4,20,8,0.804000,60.64,1.300373,15.873709,14.749303,27.563075,0.0500
both,non_symmetric,1.0,1.0,binary,top50,4,20,9,0.724000,60.94,1.310017,15.466319,14.818862,27.312662,0.0469
both,non_symmetric,1.0,1.0,binary,top50,4,20,10,0.632000,62.42,1.352230,15.083178,14.691913,27.711630,0.0500
both,non_symmetric,1.0,1.0,binary,top50,4,20,11,0.588000,63.50,1.355741,15.316775,14.352101,27.636961,0.0500
both,non_symmetric,1.0,1.0,binary,top50,4,20,12,0.600000,63.40,1.367701,15.463838,14.252173,27.894645,0.0500
both,non_symmetric,1.0,1.0,binary,top50,4,20,13,0.592000,63.14,1.381291,15.691867,14.041851,27.869553,0.0531
