mode,sampling_mode,chance_temperature,utility_temperature,fitness_type,stop_mode,n_decision_rules,n_decision_rules_pct,generation,mean_fitness,mean_accuracy,mean_error_chance,mean_error_utility,mean_entropy_norm,mean_util_dev,mean_gen_cpu
both,non_symmetric,1.0,1.0,binary,top50,1,5,1,0.523500,49.46,1.449294,18.783958,12.986179,36.917822,0.4938
both,non_symmetric,1.0,1.0,binary,top50,1,5,2,0.303500,52.06,1.536870,19.323446,11.077795,37.218533,0.4406
both,non_symmetric,1.0,1.0,binary,top50,2,10,1,1.016000,49.46,1.449294,18.783958,12.986179,36.917822,0.4219
both,non_symmetric,1.0,1.0,binary,top50,2,10,2,0.778500,51.98,1.507581,19.359701,11.094768,37.506328,0.4062
both,non_symmetric,1.0,1.0,binary,top50,2,10,3,0.742500,52.29,1.585779,20.057789,9.215698,38.134982,0.4125
both,non_symmetric,1.0,1.0,binary,top50,2,10,4,0.603000,54.92,1.662588,20.597248,7.559124,38.974110,0.4000
both,non_symmetric,1.0,1.0,binary,top50,2,10,5,0.586000,54.99,1.681341,20.597933,7.246624,38.998730,0.4156
both,non_symmetric,1.0,1.0,binary,top50,2,10,6,0.579500,55.73,1.692572,20.619675,7.019913,39.247534,0.4250
both,non_symmetric,1.0,1.0,binary,top50,2,10,7,0.576000,55.97,1.698068,20.858341,6.830422,39.289536,0.4156
both,non_symmetric,1.0,1.0,binary,top50,4,20,1,2.029000,49.46,1.449294,18.783958,12.986179,36.917822,0.3969
both,non_symmetric,1.0,1.0,binary,top50,4,20,2,1.692500,52.01,1.511322,19.533140,11.114558,37.128953,0.4406
both,non_symmetric,1.0,1.0,binary,top50,4,20,3,1.513000,53.90,1.622289,20.237949,8.749237,38.179644,0.4313
both,non_symmetric,1.0,1.0,binary,top50,4,20,4,1.359000,55.58,1.736384,20.503476,6.660430,38.984659,0.4250
both,non_symmetric,1.0,1.0,binary,top50,4,20,5,1.196500,58.04,1.805945,21.481081,5.029598,39.681271,0.4469
both,non_symmetric,1.0,1.0,binary,top50,4,20,6,1.056000,61.15,1.837598,21.863619,3.847513,40.385752,0.4156
both,non_symmetric,1.0,1.0,binary,top50,4,20,7,0.918500,63.25,1.906472,22.152310,2.914876,40.742195,0.4125
both,non_symmetric,1.0,1.0,binary,top50,4,20,8,0.797000,66.11,1.917049,22.255680,2.253623,41.113974,0.4094
both,non_symmetric,1.0,1.0,binary,top50,4,20,9,0.725500,66.78,1.929788,22.357582,2.047270,41.347799,0.4156
both,non_symmetric,1.0,1.0,binary,top50,4,20,10,0.726000,66.94,1.928825,22.372391,1.962475,41.382955,0.4219
both,non_symmetric,1.0,1.0,binary,top50,4,20,11,0.687000,67.39,1.942880,22.253232,1.914979,41.434999,0.4094
both,non_symmetric,1.0,1.0,binary,top50,8,40,1,4.049000,49.46,1.449294,18.783958,12.986179,36.917822,0.4156
both,non_symmetric,1.0,1.0,binary,top50,8,40,2,3.502000,53.09,1.503391,18.975507,11.068240,37.218449,0.3937
both,non_symmetric,1.0,1.0,binary,top50,8,40,3,3.264000,54.55,1.608317,19.494939,8.683925,38.175053,0.4094
both,non_symmetric,1.0,1.0,binary,top50,8,40,4,2.955500,57.68,1.694410,20.386678,6.694664,39.015645,0.4031
both,non_symmetric,1.0,1.0,binary,top50,8,40,5,2.727000,60.37,1.763345,21.176551,5.032967,39.640066,0.4000
both,non_symmetric,1.0,1.0,binary,top50,8,40,6,2.584000,63.74,1.871083,21.791731,3.797749,40.000302,0.4219
both,non_symmetric,1.0,1.0,binary,top50,8,40,7,2.279500,67.36,1.922109,22.234136,2.926968,40.315542,0.4031
both,non_symmetric,1.0,1.0,binary,top50,8,40,8,1.983000,71.06,1.956967,22.175377,2.165302,41.037353,0.4281
both,non_symmetric,1.0,1.0,binary,top50,8,40,9,1.768000,73.00,1.987676,22.539522,1.707061,41.445317,0.4500
both,non_symmetric,1.0,1.0,binary,top50,8,40,10,1.416000,76.25,1.986209,22.640998,1.295722,41.682699,0.4219
both,non_symmetric,1.0,1.0,binary,top50,8,40,11,1.135000,78.41,1.989744,22.670684,1.041931,42.073514,0.4281
both,non_symmetric,1.0,1.0,binary,top50,8,40,12,0.967500,79.59,1.995436,22.702981,0.898279,42.356766,0.3969
both,non_symmetric,1.0,1.0,binary,top50,8,40,13,0.872000,80.14,2.007984,22.711052,0.831404,42.477450,0.4000
both,non_symmetric,1.0,1.0,margin,top50,1,5,1,1.851630,49.46,1.449294,18.783958,12.986179,36.917822,0.3656
both,non_symmetric,1.0,1.0,margin,top50,1,5,2,0.921635,52.08,1.525932,19.422540,11.074651,37.376626,0.3750
both,non_symmetric,1.0,1.0,margin,top50,1,5,3,0.959965,53.08,1.630588,20.671578,8.750115,38.546477,0.4031
both,non_symmetric,1.0,1.0,margin,top50,1,5,4,0.905908,53.69,1.683427,20.898831,7.641168,38.996045,0.4156
both,non_symmetric,1.0,1.0,margin,top50,1,5,5,0.920822,53.99,1.699896,21.060776,7.313820,39.056011,0.3750
both,non_symmetric,1.0,1.0,margin,top50,1,5,6,0.857272,54.68,1.710922,21.191123,7.066636,39.197161,0.3812
