mode,sampling_mode,chance_temperature,utility_temperature,fitness_type,stop_mode,n_decision_rules,n_decision_rules_pct,generation,mean_fitness,mean_accuracy,mean_error_chance,mean_error_utility,mean_entropy_norm,mean_util_dev,mean_gen_cpu
both,non_symmetric,1.0,1.0,binary,top50,1,5,1,0.476000,51.24,1.430836,18.728298,12.971466,37.031858,0.0656
both,non_symmetric,1.0,1.0,binary,top50,1,5,2,0.444000,51.44,1.445319,18.591512,13.305845,36.655054,0.0656
both,non_symmetric,1.0,1.0,binary,top50,2,10,1,0.932000,51.24,1.430836,18.728298,12.971466,37.031858,0.0469
both,non_symmetric,1.0,1.0,binary,top50,2,10,2,0.888000,51.44,1.368494,16.764111,14.311047,36.070353,0.0500
both,non_symmetric,1.0,1.0,binary,top50,2,10,3,0.816000,53.42,1.362393,16.759974,14.390994,36.197035,0.0500
both,non_symmetric,1.0,1.0,binary,top50,2,10,4,0.792000,53.92,1.316063,16.223243,14.711873,35.537761,0.0406
both,non_symmetric,1.0,1.0,binary,top50,2,10,5,0.692000,55.80,1.330173,16.492521,14.666917,35.711263,0.0469
both,non_symmetric,1.0,1.0,binary,top50,2,10,6,0.652000,56.20,1.294538,16.701761,14.777353,35.912479,0.0437
both,non_symmetric,1.0,1.0,binary,top50,2,10,7,0.640000,56.14,1.282562,16.388397,14.708322,35.809771,0.0469
both,non_symmetric,1.0,1.0,binary,top50,2,10,8,0.604000,56.62,1.282310,16.618976,14.884530,35.987434,0.0437
both,non_symmetric,1.0,1.0,binary,top50,4,20,1,1.976000,51.24,1.430836,18.728298,12.971466,37.031858,0.0531
both,non_symmetric,1.0,1.0,binary,top50,4,20,2,1.932000,51.44,1.378891,16.843138,14.616167,35.705725,0.0531
both,non_symmetric,1.0,1.0,binary,top50,4,20,3,1.724000,52.74,1.373716,16.861661,14.689171,36.162023,0.0563
both,non_symmetric,1.0,1.0,binary,top50,4,20,4,1.668000,53.34,1.366266,16.391434,14.892463,35.079042,0.0500
both,non_symmetric,1.0,1.0,binary,top50,4,20,5,1.428000,57.24,1.368891,16.635234,15.021971,34.968835,0.0656
both,non_symmetric,1.0,1.0,binary,top50,4,20,6,1.220000,58.30,1.337883,17.390976,15.191410,35.364552,0.0531
both,non_symmetric,1.0,1.0,binary,top50,4,20,7,1.128000,59.20,1.274104,17.044335,15.319324,35.761381,0.0469
both,non_symmetric,1.0,1.0,binary,top50,4,20,8,1.040000,61.22,1.299633,17.173206,15.499964,35.320468,0.0563
both,non_symmetric,1.0,1.0,binary,top50,4,20,9,0.780000,62.80,1.265334,17.625821,15.632665,35.975482,0.0469
both,non_symmetric,1.0,1.0,binary,top50,4,20,10,0.752000,62.82,1.256650,17.478122,15.668065,35.767287,0.0469
both,non_symmetric,1.0,1.0,binary,top50,4,20,11,0.640000,64.06,1.253991,17.625149,15.652472,36.071490,0.0500
