mode,sampling_mode,chance_temperature,utility_temperature,fitness_type,stop_mode,n_decision_rules,n_decision_rules_pct,total_rules,stop_gen_mean,stop_gen_std,stop_gen_min,stop_gen_max,fitness_mean,fitness_std,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,mse_chance_mean,mse_chance_std,mse_utility_mean,mse_utility_std,entropy_norm_mean,entropy_norm_std,util_dev_mean,util_dev_std,cpu_per_gen_mean,cpu_per_gen_std,cpu_total_mean,cpu_total_std
both,non_symmetric,1.0,1.0,binary,top50,1,5,20,1.40,0.80,1,3,0.440000,0.056569,82.00,4.00,75.00,85.00,0.606734,0.037464,6.209794,0.366948,9.529951,1.419879,44.282821,0.117198,0.1156,0.1533,0.2844,0.4907
both,non_symmetric,1.0,1.0,binary,top50,2,10,20,5.40,3.01,1,9,0.544000,0.168950,88.00,4.00,85.00,95.00,0.743903,0.148811,7.610632,1.568078,4.995965,2.402163,44.309562,0.112816,0.2733,0.1221,1.7344,1.0974
both,non_symmetric,1.0,1.0,binary,top50,4,20,20,9.20,4.53,5,18,0.680000,0.137405,85.00,6.32,75.00,95.00,0.997693,0.221070,11.281820,2.548430,3.286780,1.019110,44.431529,0.024212,0.3361,0.0044,3.0906,1.5223
both,non_symmetric,1.0,1.0,binary,top50,8,40,20,13.00,3.03,9,18,0.624000,0.153571,93.00,5.10,85.00,100.00,0.835249,0.282502,13.909929,3.383759,3.331567,1.209587,44.385329,0.114698,0.3446,0.0141,4.4688,0.9882
both,non_symmetric,1.0,1.0,margin,top50,1,5,20,2.80,0.40,2,3,0.729911,0.279707,82.00,8.72,75.00,95.00,0.648416,0.078784,7.791206,2.636749,6.954674,0.128106,44.217734,0.143184,0.3219,0.0481,0.9187,0.2329
both,non_symmetric,1.0,1.0,margin,top50,2,10,20,7.00,2.10,4,9,0.775738,0.206995,89.00,7.35,80.00,100.00,0.890970,0.223041,8.963084,1.022788,3.859128,0.598850,44.320805,0.149179,0.3668,0.0241,2.5750,0.8141
both,non_symmetric,1.0,1.0,margin,top50,4,20,20,10.60,3.07,6,14,1.043418,0.446207,87.00,4.00,85.00,95.00,0.926370,0.625157,8.430064,1.724089,3.921071,1.721975,44.335295,0.125204,0.3451,0.0185,3.6406,1.0509
both,non_symmetric,1.0,1.0,margin,top50,8,40,20,21.00,3.85,17,26,1.195081,1.208385,86.00,6.63,75.00,95.00,1.394714,0.402807,11.508521,2.224665,4.469854,1.904046,44.231947,0.278618,0.3366,0.0117,7.0781,1.3502
both,non_symmetric,1.0,1.0,softmax,top50,1,5,20,6.60,1.36,5,9,0.460792,0.272468,85.00,6.32,75.00,95.00,0.824021,0.183936,8.249528,1.535905,4.070591,1.459631,44.386529,0.049937,0.3379,0.0222,2.2531,0.5873
both,non_symmetric,1.0,1.0,softmax,top50,2,10,20,9.40,3.20,5,14,0.395916,0.117150,88.00,9.27,70.00,95.00,0.900388,0.258685,9.687702,2.633557,3.908514,1.327879,44.433132,0.013715,0.3404,0.0131,3.1750,1.0375
both,non_symmetric,1.0,1.0,softmax,top50,4,20,20,17.20,5.11,13,26,0.513550,0.493946,84.00,9.17,75.00,95.00,1.061978,0.396224,13.176801,4.235830,3.331002,1.571046,44.439507,0.005883,0.3354,0.0108,5.7281,1.5629
both,non_symmetric,1.0,1.0,softmax,top50,8,40,20,24.80,5.78,18,33,0.561922,0.701161,90.00,4.47,85.00,95.00,0.955448,0.314359,13.565441,2.026748,4.025597,1.935482,44.274181,0.332336,0.3336,0.0052,8.2844,1.9609
