mode,sampling_mode,chance_temperature,utility_temperature,fitness_type,stop_mode,n_decision_rules,n_decision_rules_pct,total_rules,stop_gen_mean,stop_gen_std,stop_gen_min,stop_gen_max,fitness_mean,fitness_std,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,mse_chance_mean,mse_chance_std,mse_utility_mean,mse_utility_std,entropy_norm_mean,entropy_norm_std,util_dev_mean,util_dev_std,cpu_per_gen_mean,cpu_per_gen_std,cpu_total_mean,cpu_total_std
both,non_symmetric,1.0,1.0,binary,top50,1,5,20,1.20,0.40,1,2,0.452000,0.037094,82.00,4.00,75.00,85.00,0.675590,0.122769,6.042226,0.428095,10.507165,0.810808,43.490128,1.508672,0.0500,0.0062,0.0594,0.0182
both,non_symmetric,1.0,1.0,binary,top50,2,10,20,3.00,1.10,1,4,0.592000,0.138910,85.00,6.32,75.00,95.00,0.572403,0.119680,4.083094,2.070798,10.562300,1.334070,40.208626,2.172194,0.0448,0.0036,0.1344,0.0528
both,non_symmetric,1.0,1.0,binary,top50,4,20,20,12.20,6.01,8,24,0.520000,0.080994,91.00,5.83,80.00,95.00,0.641964,0.128457,6.952193,3.224352,8.912419,3.138272,39.407052,2.428840,0.0460,0.0017,0.5625,0.2847
both,non_symmetric,1.0,1.0,binary,top50,8,40,20,16.60,8.55,9,32,0.748000,0.119063,93.00,4.00,85.00,95.00,0.649976,0.117352,5.683475,1.558816,7.302683,3.386471,41.472762,1.884379,0.0493,0.0048,0.7969,0.3667
both,non_symmetric,1.0,1.0,margin,top50,1,5,20,3.20,0.40,3,4,0.701606,0.251526,84.00,4.90,75.00,90.00,0.590633,0.110161,4.486617,0.839217,10.647732,0.956793,40.150050,1.382797,0.0521,0.0033,0.1656,0.0125
both,non_symmetric,1.0,1.0,margin,top50,2,10,20,6.60,2.87,4,12,0.596640,0.142262,87.00,4.00,85.00,95.00,0.611931,0.121505,3.867610,1.251765,11.592916,0.964372,39.686619,0.662053,0.0488,0.0055,0.3344,0.1813
both,non_symmetric,1.0,1.0,margin,top50,4,20,20,13.80,5.38,9,24,0.746549,0.348591,89.00,3.74,85.00,95.00,0.642552,0.106433,7.128894,2.686094,8.486340,2.729696,41.921561,2.367042,0.0628,0.0119,0.8406,0.2597
both,non_symmetric,1.0,1.0,margin,top50,8,40,20,17.40,4.59,13,26,0.511698,0.173616,92.00,4.00,85.00,95.00,0.928517,0.305319,5.762885,2.411241,8.895937,2.268400,38.525119,1.662192,0.0671,0.0190,1.1719,0.4294
both,non_symmetric,1.0,1.0,softmax,top50,1,5,20,6.40,1.85,5,10,0.129166,0.022842,85.00,6.32,75.00,95.00,0.720958,0.174221,6.776093,3.992941,8.370951,2.001149,39.384844,1.920148,0.0536,0.0031,0.3406,0.0864
both,non_symmetric,1.0,1.0,softmax,top50,2,10,20,8.60,1.36,7,11,0.393687,0.462831,89.00,4.90,85.00,95.00,0.677423,0.061453,5.676902,1.768154,8.511149,2.160481,40.876846,1.898288,0.0565,0.0046,0.4875,0.0975
both,non_symmetric,1.0,1.0,softmax,top50,4,20,20,16.40,6.77,11,29,0.505105,0.620472,93.00,4.00,85.00,95.00,0.708078,0.201599,5.946708,2.546601,7.927093,3.791446,37.266184,4.969094,0.0635,0.0053,1.0437,0.4307
both,non_symmetric,1.0,1.0,softmax,top50,8,40,20,18.80,2.32,15,22,1.878497,3.421697,91.00,4.90,85.00,95.00,0.705586,0.115418,12.516543,6.403699,7.420790,3.521343,40.347407,3.231987,0.0597,0.0026,1.1219,0.1420
both,non_symmetric,1.0,1.0,regret,top50,1,5,20,1.20,0.40,1,2,0.902584,0.281513,82.00,4.00,75.00,85.00,0.634599,0.048643,6.010602,0.466515,10.597598,0.958060,43.920369,0.651468,0.0594,0.0062,0.0719,0.0272
both,non_symmetric,1.0,1.0,regret,top50,2,10,20,3.40,1.62,1,6,0.865218,0.456976,83.00,2.45,80.00,85.00,0.581030,0.089203,3.958726,1.780087,9.344806,1.629229,42.287226,1.506218,0.0555,0.0054,0.1844,0.0847
both,non_symmetric,1.0,1.0,regret,top50,4,20,20,13.00,4.69,8,20,0.575229,0.120674,90.00,6.32,85.00,100.00,0.884139,0.244114,8.269257,5.749111,6.058630,2.899488,42.489759,2.349174,0.0663,0.0131,0.8969,0.4547
both,non_symmetric,1.0,1.0,regret,top50,8,40,20,19.80,8.42,10,35,0.176977,0.154804,96.00,2.00,95.00,100.00,1.194612,0.370870,15.689158,9.313536,3.082218,2.160842,37.014112,6.107846,0.0554,0.0057,1.0938,0.4566
both,non_symmetric,1.0,1.0,entropy,top50,1,5,20,6.00,2.10,4,10,0.158761,0.021330,86.00,4.90,80.00,95.00,0.739277,0.163996,6.985521,4.010053,8.997964,2.430606,39.231274,1.887523,0.0616,0.0013,0.3688,0.1268
both,non_symmetric,1.0,1.0,entropy,top50,2,10,20,8.80,1.72,6,11,0.347027,0.250969,90.00,5.48,85.00,100.00,0.621923,0.080072,6.346131,2.107723,8.744008,2.579551,40.397468,2.234674,0.0635,0.0049,0.5531,0.0914
both,non_symmetric,1.0,1.0,entropy,top50,4,20,20,14.40,5.08,10,24,0.642477,0.771248,87.00,7.48,75.00,95.00,0.926619,0.387249,7.169228,3.239202,8.655804,3.007811,42.701784,1.039475,0.0598,0.0025,0.8500,0.2618
both,non_symmetric,1.0,1.0,entropy,top50,8,40,20,21.00,12.07,13,45,0.308873,0.099713,89.00,8.00,75.00,95.00,0.846506,0.332650,11.806537,5.084423,7.651483,2.354391,38.905009,4.743655,0.0782,0.0158,1.5875,0.7954
both,symmetric,1.0,1.0,binary,top50,1,5,20,1.20,0.40,1,2,0.444000,0.049639,81.00,3.74,75.00,85.00,0.630641,0.043022,6.078213,0.392280,10.789985,1.299864,43.838883,0.813289,0.0594,0.0117,0.0719,0.0290
both,symmetric,1.0,1.0,binary,top50,2,10,20,3.20,1.33,1,5,0.604000,0.128623,88.00,4.00,85.00,95.00,0.682287,0.170603,4.350411,0.911372,10.289522,1.777347,40.335374,2.116027,0.0516,0.0118,0.1750,0.0823
both,symmetric,1.0,1.0,binary,top50,4,20,20,9.60,3.07,5,13,0.628000,0.110707,91.00,4.90,85.00,95.00,0.782541,0.409145,5.024450,1.806835,7.438686,2.922939,40.424361,2.753359,0.0756,0.0085,0.7094,0.2031
both,symmetric,1.0,1.0,binary,top50,8,40,20,18.00,10.06,12,38,0.668000,0.229295,91.00,8.00,75.00,95.00,0.794143,0.190393,5.427947,1.741936,5.747246,2.255861,42.409703,1.728192,0.0545,0.0034,0.9812,0.5475
