mode,sampling_mode,chance_temperature,utility_temperature,fitness_type,stop_mode,n_decision_rules,n_decision_rules_pct,total_rules,stop_gen_mean,stop_gen_std,stop_gen_min,stop_gen_max,fitness_mean,fitness_std,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,mse_chance_mean,mse_chance_std,mse_utility_mean,mse_utility_std,entropy_norm_mean,entropy_norm_std,util_dev_mean,util_dev_std,cpu_per_gen_mean,cpu_per_gen_std,cpu_total_mean,cpu_total_std
both,non_symmetric,1.0,1.0,binary,top50,1,5,20,2.00,0.00,2,2,0.303500,0.024829,93.00,4.00,85.00,95.00,0.524697,0.040792,5.565100,0.637260,6.781666,0.132717,44.396386,0.031605,0.4672,0.0429,0.9344,0.0858
both,non_symmetric,1.0,1.0,binary,top50,2,10,20,4.20,1.60,2,7,0.576000,0.049865,95.00,5.48,85.00,100.00,0.641126,0.108506,6.567919,1.018127,2.880804,1.808541,44.439840,0.008943,0.4185,0.0300,1.7656,0.6774
both,non_symmetric,1.0,1.0,binary,top50,4,20,20,8.80,1.17,8,11,0.687000,0.056111,96.00,2.00,95.00,100.00,0.696908,0.045935,8.285417,0.999656,0.419173,0.010440,44.444444,0.000000,0.4204,0.0091,3.7031,0.5249
both,non_symmetric,1.0,1.0,binary,top50,8,40,20,12.20,0.75,11,13,0.872000,0.084460,100.00,0.00,100.00,100.00,0.768634,0.051659,10.536884,1.054902,0.412628,0.000000,44.444444,0.000000,0.4135,0.0214,5.0563,0.5382
both,non_symmetric,1.0,1.0,margin,top50,1,5,20,4.00,1.10,3,6,0.857272,0.062443,95.00,3.16,90.00,100.00,0.621644,0.069362,6.841091,0.883856,2.963218,1.089296,44.443088,0.002675,0.3839,0.0253,1.5562,0.5240
both,non_symmetric,1.0,1.0,margin,top50,2,10,20,9.40,4.63,3,17,1.180003,0.323898,96.00,2.00,95.00,100.00,0.705226,0.082313,9.227944,1.986772,1.423371,1.902390,44.443632,0.001625,0.4134,0.0306,3.9188,2.0085
both,non_symmetric,1.0,1.0,margin,top50,4,20,20,21.60,13.87,12,49,1.227245,0.260741,100.00,0.00,100.00,100.00,0.850611,0.087360,11.020002,1.754501,0.412628,0.000000,44.444444,0.000000,0.3840,0.0157,8.4875,5.9069
both,non_symmetric,1.0,1.0,margin,top50,8,40,20,43.60,15.40,21,60,2.775546,1.718553,99.00,2.00,95.00,100.00,0.910840,0.090309,12.912475,1.311652,0.412628,0.000000,44.444444,0.000000,0.4585,0.0771,20.2281,8.2002
both,non_symmetric,1.0,1.0,softmax,top50,1,5,20,5.60,0.49,5,6,0.579119,0.082933,96.00,2.00,95.00,100.00,0.663056,0.056847,7.965013,0.659869,1.373997,0.546611,44.444444,0.000000,0.5244,0.0404,2.9375,0.3433
both,non_symmetric,1.0,1.0,softmax,top50,2,10,20,9.60,2.24,6,13,1.018613,0.097214,98.00,2.45,95.00,100.00,0.705903,0.102027,8.812961,1.530191,0.465506,0.105756,44.444444,0.000000,0.5569,0.0244,5.3937,1.4264
both,non_symmetric,1.0,1.0,softmax,top50,4,20,20,14.60,1.62,12,17,1.378193,0.433605,100.00,0.00,100.00,100.00,0.785113,0.162991,10.088103,1.354516,0.412628,0.000000,44.444444,0.000000,0.5822,0.0208,8.4812,0.7977
both,non_symmetric,1.0,1.0,softmax,top50,8,40,20,18.20,1.72,15,20,2.341358,1.652911,99.00,2.00,95.00,100.00,1.026033,0.078945,11.794196,2.147955,0.412628,0.000000,44.444444,0.000000,0.5635,0.0177,10.2719,1.1348
both,non_symmetric,1.0,1.0,regret,top50,1,5,20,2.00,0.00,2,2,0.503764,0.052567,91.00,5.83,85.00,100.00,0.523811,0.055819,4.830652,0.763545,6.738351,0.143269,44.388469,0.043488,0.4969,0.0337,0.9938,0.0675
both,non_symmetric,1.0,1.0,regret,top50,2,10,20,3.60,1.02,2,5,0.993145,0.172185,93.00,2.45,90.00,95.00,0.561667,0.048962,5.807358,0.678080,3.818791,1.858263,44.437517,0.009410,0.5318,0.0300,1.9062,0.5376
both,non_symmetric,1.0,1.0,regret,top50,4,20,20,7.40,1.36,6,9,1.618800,0.328327,98.00,2.45,95.00,100.00,0.645323,0.088781,7.455206,0.670532,0.743101,0.385669,44.444444,0.000001,0.5723,0.0166,4.2500,0.8588
both,non_symmetric,1.0,1.0,regret,top50,8,40,20,10.60,0.49,10,11,2.412937,0.281932,100.00,0.00,100.00,100.00,0.685463,0.058396,8.260902,0.370689,0.412628,0.000001,44.444444,0.000000,0.5184,0.0147,5.4969,0.3344
