mode,sampling_mode,chance_temperature,utility_temperature,fitness_type,stop_mode,n_decision_rules,n_decision_rules_pct,total_rules,stop_gen_mean,stop_gen_std,stop_gen_min,stop_gen_max,fitness_mean,fitness_std,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,mse_chance_mean,mse_chance_std,mse_utility_mean,mse_utility_std,entropy_norm_mean,entropy_norm_std,util_dev_mean,util_dev_std,cpu_per_gen_mean,cpu_per_gen_std,cpu_total_mean,cpu_total_std
both,non_symmetric,1.0,1.0,binary,top50,1,5,20,1.20,0.40,1,2,0.444000,0.049639,82.00,4.00,75.00,85.00,0.586463,0.067869,6.009810,0.467547,10.545528,0.871730,44.228742,0.091124,0.0656,0.0117,0.0750,0.0117
both,non_symmetric,1.0,1.0,binary,top50,2,10,20,4.80,2.32,1,8,0.604000,0.157175,86.00,4.90,80.00,95.00,0.645396,0.045315,6.809575,1.243447,11.650128,1.450791,43.268704,0.716577,0.0478,0.0011,0.2313,0.1146
both,non_symmetric,1.0,1.0,binary,top50,4,20,20,9.40,2.06,6,12,0.576000,0.049639,90.00,4.47,85.00,95.00,0.599621,0.131128,8.205168,2.559984,12.457804,0.630019,43.274796,0.775564,0.0532,0.0059,0.4938,0.1035
both,non_symmetric,1.0,1.0,binary,top50,8,40,20,12.20,2.23,10,16,0.612000,0.054553,95.00,0.00,95.00,95.00,0.752248,0.347557,6.369738,2.793718,12.414662,0.904524,42.593213,0.937635,0.0502,0.0021,0.6156,0.1324
both,non_symmetric,1.0,1.0,margin,top50,1,5,20,4.60,1.02,3,6,0.588330,0.167481,88.00,4.00,85.00,95.00,0.628748,0.076839,7.787850,1.554069,11.578800,0.366682,43.258148,0.300460,0.0734,0.0284,0.3344,0.1245
both,non_symmetric,1.0,1.0,margin,top50,2,10,20,6.60,1.62,4,9,0.787395,0.302303,89.00,4.90,85.00,95.00,0.644985,0.054038,4.777748,2.720821,12.128659,1.181135,42.225919,1.580543,0.0786,0.0169,0.5156,0.1692
both,non_symmetric,1.0,1.0,margin,top50,4,20,20,12.40,2.06,10,15,0.478985,0.110908,89.00,4.90,85.00,95.00,0.646910,0.200904,7.606043,3.264849,12.408935,0.604344,42.282849,0.816909,0.0475,0.0024,0.5906,0.1124
both,non_symmetric,1.0,1.0,margin,top50,8,40,20,14.60,2.58,11,17,0.528713,0.180120,96.00,2.00,95.00,100.00,0.689804,0.378753,8.775373,3.004962,12.227602,1.742207,42.590462,0.974255,0.0504,0.0032,0.7406,0.1595
both,non_symmetric,1.0,1.0,softmax,top50,1,5,20,7.00,1.10,5,8,0.079065,0.049184,86.00,4.90,80.00,95.00,0.665355,0.092842,9.288789,3.746713,12.123821,1.254547,43.086206,0.841350,0.0543,0.0032,0.3781,0.0545
both,non_symmetric,1.0,1.0,softmax,top50,2,10,20,9.40,1.96,7,13,0.148915,0.152332,86.00,2.00,85.00,90.00,0.568464,0.065669,7.793846,2.438934,12.141607,0.885650,43.215872,0.653673,0.0591,0.0094,0.5719,0.2130
both,non_symmetric,1.0,1.0,softmax,top50,4,20,20,15.40,2.24,13,19,0.067544,0.015975,91.00,4.90,85.00,95.00,0.852108,0.309477,10.296304,2.530682,12.604085,0.716615,43.390015,0.672428,0.0511,0.0014,0.7875,0.1245
both,non_symmetric,1.0,1.0,softmax,top50,8,40,20,18.60,3.44,15,25,0.108278,0.014422,93.00,4.00,85.00,95.00,0.789126,0.362684,11.945010,4.575055,12.052256,1.254967,43.010190,0.960283,0.0608,0.0106,1.1656,0.4497
both,non_symmetric,1.0,1.0,regret,top50,1,5,20,1.20,0.40,1,2,0.901421,0.283490,81.00,3.74,75.00,85.00,0.588019,0.065146,5.980321,0.507983,10.522406,0.834699,44.205773,0.114347,0.0453,0.0143,0.0594,0.0412
