mode,sampling_mode,chance_temperature,utility_temperature,fitness_type,stop_mode,n_decision_rules,n_decision_rules_pct,generation,mean_fitness,mean_accuracy,mean_error_chance,mean_error_utility,mean_entropy_norm,mean_util_dev,mean_gen_cpu
utility_only,non_symmetric,1.0,1.0,regret,top50,3,5,1,1.055614,42.09,0.000000,32.868971,1062.290878,617.950372,13.5719
utility_only,non_symmetric,1.0,1.0,regret,top50,3,5,2,0.988431,44.75,0.000000,31.729606,1062.290878,565.675838,13.6438
utility_only,non_symmetric,1.0,1.0,regret,top50,3,5,3,0.563807,45.20,0.000000,32.396001,1062.290878,561.970352,13.5969
utility_only,non_symmetric,1.0,1.0,regret,top50,3,5,4,0.222682,51.16,0.000000,33.272217,1062.290878,558.355920,13.4938
utility_only,non_symmetric,1.0,1.0,regret,top50,3,5,5,0.141321,50.59,0.000000,33.578293,1062.290878,559.374819,13.5062
utility_only,non_symmetric,1.0,1.0,regret,top50,3,5,6,0.160113,51.23,0.000000,33.910371,1062.290878,549.691014,13.5156
utility_only,non_symmetric,1.0,1.0,regret,top50,3,5,7,0.138338,54.84,0.000000,34.192108,1062.290878,545.107985,13.6219
utility_only,non_symmetric,1.0,1.0,regret,top50,3,5,8,0.137535,58.06,0.000000,34.364497,1062.290878,538.156346,13.6125
utility_only,non_symmetric,1.0,1.0,regret,top50,3,5,9,0.103294,62.99,0.000000,34.572435,1062.290878,524.706764,13.4656
utility_only,non_symmetric,1.0,1.0,regret,top50,3,5,10,0.107464,63.96,0.000000,34.648182,1062.290878,522.580317,13.7594
utility_only,non_symmetric,1.0,1.0,regret,top50,13,20,1,8.085074,42.09,0.000000,32.868971,1062.290878,617.950372,13.5000
utility_only,non_symmetric,1.0,1.0,regret,top50,13,20,2,6.160362,46.47,0.000000,31.411457,1062.290878,564.271439,13.4656
utility_only,non_symmetric,1.0,1.0,regret,top50,13,20,3,4.118810,46.56,0.000000,32.353449,1062.290878,561.965604,13.2812
utility_only,non_symmetric,1.0,1.0,regret,top50,13,20,4,2.228044,47.25,0.000000,33.474649,1062.290878,558.142771,13.2406
utility_only,non_symmetric,1.0,1.0,regret,top50,13,20,5,1.587271,49.50,0.000000,34.033370,1062.290878,549.755734,13.4031
utility_only,non_symmetric,1.0,1.0,regret,top50,13,20,6,1.201472,51.24,0.000000,34.746130,1062.290878,545.692670,13.4844
utility_only,non_symmetric,1.0,1.0,regret,top50,13,20,7,1.266917,56.38,0.000000,35.132607,1062.290878,543.081318,13.2375
utility_only,non_symmetric,1.0,1.0,regret,top50,13,20,8,0.627757,61.99,0.000000,35.642308,1062.290878,525.346705,13.2562
utility_only,non_symmetric,1.0,1.0,regret,top50,13,20,9,0.865342,66.05,0.000000,36.104114,1062.290878,508.494630,13.4156
utility_only,non_symmetric,1.0,1.0,regret,top50,13,20,10,0.762837,74.59,0.000000,36.662523,1062.290878,486.466331,13.4313
utility_only,non_symmetric,1.0,1.0,regret,top50,13,20,11,0.504512,78.08,0.000000,37.082358,1062.290878,474.176189,13.2937
utility_only,non_symmetric,1.0,1.0,regret,top50,13,20,12,0.430347,82.36,0.000000,37.425738,1062.290878,462.824603,13.5219
utility_only,non_symmetric,1.0,1.0,regret,top50,13,20,13,0.423387,84.87,0.000000,37.881764,1062.290878,447.240485,13.3969
utility_only,non_symmetric,1.0,1.0,regret,top50,13,20,14,0.397271,87.15,0.000000,37.987838,1062.290878,422.883593,13.2469
utility_only,non_symmetric,1.0,1.0,regret,top50,13,20,15,0.220650,87.90,0.000000,38.259251,1062.290878,407.655178,13.3938
utility_only,non_symmetric,1.0,1.0,regret,top50,27,40,1,17.746260,42.09,0.000000,32.868971,1062.290878,617.950372,13.0625
utility_only,non_symmetric,1.0,1.0,regret,top50,27,40,2,15.438907,42.67,0.000000,31.474220,1062.290878,564.318983,13.2750
utility_only,non_symmetric,1.0,1.0,regret,top50,27,40,3,11.098031,44.60,0.000000,32.545451,1062.290878,558.267110,13.0500
utility_only,non_symmetric,1.0,1.0,regret,top50,27,40,4,6.437000,47.09,0.000000,33.727639,1062.290878,543.064429,13.0375
utility_only,non_symmetric,1.0,1.0,regret,top50,27,40,5,4.536059,51.06,0.000000,34.678530,1062.290878,514.238087,13.1531
utility_only,non_symmetric,1.0,1.0,regret,top50,27,40,6,2.910624,55.87,0.000000,35.530594,1062.290878,486.345772,13.2125
utility_only,non_symmetric,1.0,1.0,regret,top50,27,40,7,2.251940,58.83,0.000000,36.227045,1062.290878,462.469207,13.2406
utility_only,non_symmetric,1.0,1.0,regret,top50,27,40,8,1.747881,62.28,0.000000,36.550917,1062.290878,437.361251,13.2031
utility_only,non_symmetric,1.0,1.0,regret,top50,27,40,9,1.300169,69.99,0.000000,37.120884,1062.290878,409.791883,13.2500
utility_only,non_symmetric,1.0,1.0,regret,top50,27,40,10,0.940032,76.99,0.000000,37.636627,1062.290878,376.717998,13.0719
utility_only,non_symmetric,1.0,1.0,regret,top50,27,40,11,0.588142,81.55,0.000000,37.843729,1062.290878,357.552101,13.2063
utility_only,non_symmetric,1.0,1.0,regret,top50,27,40,12,0.773557,83.51,0.000000,38.072244,1062.290878,352.552667,13.2344
utility_only,non_symmetric,1.0,1.0,regret,top50,27,40,13,0.644635,89.59,0.000000,38.456696,1062.290878,322.079335,13.1438
utility_only,non_symmetric,1.0,1.0,regret,top50,27,40,14,0.118836,91.99,0.000000,38.797401,1062.290878,299.747855,13.0500
utility_only,non_symmetric,1.0,1.0,regret,top50,27,40,15,0.243422,94.29,0.000000,39.196745,1062.290878,280.549217,13.1344
utility_only,non_symmetric,1.0,1.0,regret,top50,27,40,16,0.120261,95.15,0.000000,39.369739,1062.290878,260.294320,13.2875
utility_only,non_symmetric,1.0,1.0,regret,top50,27,40,17,0.102338,95.73,0.000000,39.283458,1062.290878,252.128693,13.2781
utility_only,non_symmetric,1.0,1.0,regret,top50,27,40,18,0.138454,96.53,0.000000,39.383893,1062.290878,245.243748,13.1906
utility_only,non_symmetric,1.0,1.0,regret,top50,27,40,19,0.067038,96.66,0.000000,39.322160,1062.290878,240.827389,13.2094
utility_only,non_symmetric,1.0,1.0,binary,top50,3,5,1,1.672000,42.09,0.000000,32.868971,1062.290878,617.950372,13.0156
utility_only,non_symmetric,1.0,1.0,binary,top50,3,5,2,1.492000,48.10,0.000000,31.735892,1062.290878,563.571558,13.1469
utility_only,non_symmetric,1.0,1.0,binary,top50,3,5,3,1.120000,54.45,0.000000,32.554986,1062.290878,569.187167,13.1406
utility_only,non_symmetric,1.0,1.0,binary,top50,3,5,4,1.076000,55.34,0.000000,32.847645,1062.290878,576.732922,13.2406
utility_only,non_symmetric,1.0,1.0,binary,top50,3,5,5,1.060000,54.77,0.000000,33.205239,1062.290878,580.311681,13.2156
