mode,sampling_mode,chance_temperature,utility_temperature,fitness_type,stop_mode,n_decision_rules,n_decision_rules_pct,generation,mean_fitness,mean_accuracy,mean_error_chance,mean_error_utility,mean_entropy_norm,mean_util_dev,mean_gen_cpu
utility_only,non_symmetric,1.0,1.0,regret,top50,3,5,1,1.154544,43.24,0.000000,32.777491,1062.290878,617.834176,104.7094
utility_only,non_symmetric,1.0,1.0,regret,top50,3,5,2,0.550531,49.65,0.000000,33.230517,1062.290878,625.636283,104.7812
utility_only,non_symmetric,1.0,1.0,regret,top50,3,5,3,0.374998,51.83,0.000000,33.836927,1062.290878,638.517729,105.2531
utility_only,non_symmetric,1.0,1.0,regret,top50,3,5,4,0.235951,54.71,0.000000,34.391827,1062.290878,649.183775,105.0812
utility_only,non_symmetric,1.0,1.0,regret,top50,3,5,5,0.212479,58.28,0.000000,34.652536,1062.290878,655.043494,105.1906
utility_only,non_symmetric,1.0,1.0,regret,top50,3,5,6,0.168738,61.08,0.000000,34.891434,1062.290878,658.823206,105.4500
utility_only,non_symmetric,1.0,1.0,regret,top50,13,20,1,8.334851,43.30,0.000000,32.779719,1062.290878,617.874015,105.0664
utility_only,non_symmetric,1.0,1.0,regret,top50,13,20,2,5.447639,46.02,0.000000,33.267171,1062.290878,626.089383,109.3047
utility_only,non_symmetric,1.0,1.0,regret,top50,13,20,3,4.333994,48.44,0.000000,34.416253,1062.290878,647.158402,108.2031
utility_only,non_symmetric,1.0,1.0,regret,top50,13,20,4,3.347886,50.48,0.000000,35.236356,1062.290878,664.375090,106.4180
utility_only,non_symmetric,1.0,1.0,regret,top50,13,20,5,2.935686,59.20,0.000000,35.879290,1062.290878,678.302380,105.3477
utility_only,non_symmetric,1.0,1.0,regret,top50,13,20,6,2.595882,66.81,0.000000,36.347051,1062.290878,688.823953,106.5977
utility_only,non_symmetric,1.0,1.0,regret,top50,13,20,7,2.272589,74.25,0.000000,36.862432,1062.290878,695.537687,107.3125
utility_only,non_symmetric,1.0,1.0,regret,top50,13,20,8,2.104705,78.18,0.000000,37.158036,1062.290878,699.427821,106.5117
utility_only,non_symmetric,1.0,1.0,regret,top50,13,20,9,1.857461,80.40,0.000000,37.303090,1062.290878,702.303955,107.7695
utility_only,non_symmetric,1.0,1.0,regret,top50,13,20,10,1.842728,81.25,0.000000,37.471932,1062.290878,703.450913,109.4336
utility_only,non_symmetric,1.0,1.0,regret,top50,13,20,11,1.895892,81.86,0.000000,37.361696,1062.290878,704.551084,110.3633
utility_only,non_symmetric,1.0,1.0,regret,top50,13,20,12,1.773335,83.10,0.000000,37.306348,1062.290878,704.879863,108.2422
utility_only,non_symmetric,1.0,1.0,regret,top50,13,20,13,1.662173,83.31,0.000000,37.444344,1062.290878,705.697408,108.2227
utility_only,non_symmetric,1.0,1.0,regret,top50,13,20,14,1.646223,83.83,0.000000,37.517914,1062.290878,706.249347,108.4180
utility_only,non_symmetric,1.0,1.0,regret,top50,13,20,15,1.706027,84.42,0.000000,37.685815,1062.290878,705.911756,108.1016
utility_only,non_symmetric,1.0,1.0,regret,top50,13,20,16,1.722237,84.20,0.000000,37.742147,1062.290878,706.525079,108.2930
utility_only,non_symmetric,1.0,1.0,regret,top50,13,20,17,1.565634,84.17,0.000000,37.745639,1062.290878,707.147786,108.2109
utility_only,non_symmetric,1.0,1.0,regret,top50,13,20,18,1.489839,84.30,0.000000,37.717521,1062.290878,707.110127,108.4414
utility_only,non_symmetric,1.0,1.0,regret,top50,13,20,19,1.502241,84.28,0.000000,37.695184,1062.290878,707.298720,108.3125
utility_only,non_symmetric,1.0,1.0,regret,top50,13,20,20,1.558230,84.21,0.000000,37.629802,1062.290878,707.027586,108.2148
utility_only,non_symmetric,1.0,1.0,regret,top50,13,20,21,1.525613,84.32,0.000000,37.543428,1062.290878,707.207282,108.4297
utility_only,non_symmetric,1.0,1.0,regret,top50,13,20,22,1.507135,84.44,0.000000,37.518958,1062.290878,707.302203,108.1133
utility_only,non_symmetric,1.0,1.0,binary,top50,3,5,1,1.665500,43.24,0.000000,32.777491,1062.290878,617.834176,202.8719
utility_only,non_symmetric,1.0,1.0,binary,top50,3,5,2,1.313500,51.08,0.000000,33.302344,1062.290878,626.366962,175.2781
utility_only,non_symmetric,1.0,1.0,binary,top50,3,5,3,1.202000,53.86,0.000000,33.854009,1062.290878,638.235114,178.2844
utility_only,non_symmetric,1.0,1.0,binary,top50,3,5,4,1.114500,56.88,0.000000,34.333241,1062.290878,649.914286,177.7000
