mode,sampling_mode,chance_temperature,utility_temperature,fitness_type,stop_mode,n_decision_rules,n_decision_rules_pct,total_rules,stop_gen_mean,stop_gen_std,stop_gen_min,stop_gen_max,fitness_mean,fitness_std,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,mse_chance_mean,mse_chance_std,mse_utility_mean,mse_utility_std,entropy_norm_mean,entropy_norm_std,util_dev_mean,util_dev_std,cpu_per_gen_mean,cpu_per_gen_std,cpu_total_mean,cpu_total_std
utility_only,non_symmetric,1.0,1.0,binary,top50,3,5,67,5.40,2.94,2,9,0.752000,0.278453,81.49,2.23,77.61,83.58,0.000000,0.000000,25.988066,1.246702,1062.290878,0.000000,614.701612,13.045158,13.7064,0.2999,74.6937,41.6735
utility_only,non_symmetric,1.0,1.0,binary,top50,7,10,67,9.80,1.47,8,12,0.672000,0.239199,83.28,0.60,82.09,83.58,0.000000,0.000000,26.553742,1.508334,1062.290878,0.000000,598.744336,3.417469,13.3230,0.1135,130.4719,19.0202
utility_only,non_symmetric,1.0,1.0,binary,top50,13,20,67,28.00,18.87,11,60,0.720000,0.683052,81.49,5.47,71.64,88.06,0.000000,0.000000,28.696158,2.480542,1062.290878,0.000000,598.349699,7.321483,13.0692,0.0605,365.5437,245.6622
utility_only,non_symmetric,1.0,1.0,binary,top50,27,40,67,60.00,0.00,60,60,1.876000,0.772984,83.58,4.43,79.10,89.55,0.000000,0.000000,28.506011,1.998023,1062.290878,0.000000,593.792652,7.699269,13.1894,0.0309,791.3625,1.8562
utility_only,non_symmetric,1.0,1.0,margin,top50,3,5,67,16.80,4.66,12,24,0.148853,0.095578,82.99,2.23,79.10,85.07,0.000000,0.000000,24.840554,1.916379,1062.290878,0.000000,592.912733,12.516437,13.3272,0.1275,223.9250,62.5525
utility_only,non_symmetric,1.0,1.0,margin,top50,7,10,67,19.80,2.93,15,24,0.154554,0.089679,83.28,3.32,77.61,86.57,0.000000,0.000000,25.075730,2.497928,1062.290878,0.000000,589.385095,5.365372,13.1617,0.0196,260.5937,38.4430
utility_only,non_symmetric,1.0,1.0,margin,top50,13,20,67,31.20,15.04,19,60,0.632793,0.860616,83.58,2.83,80.60,88.06,0.000000,0.000000,23.911633,2.525565,1062.290878,0.000000,573.529463,10.511414,13.2047,0.0310,411.6469,197.5722
utility_only,non_symmetric,1.0,1.0,margin,top50,27,40,67,60.00,0.00,60,60,3.430274,1.428727,85.37,2.74,82.09,88.06,0.000000,0.000000,24.744909,3.082679,1062.290878,0.000000,583.457232,25.706583,14.3419,0.5406,860.5156,32.4368
utility_only,non_symmetric,1.0,1.0,softmax,top50,3,5,67,31.20,15.30,16,60,0.038310,0.011997,83.28,2.89,79.10,88.06,0.000000,0.000000,24.157568,2.642140,1062.290878,0.000000,585.047321,13.750409,13.5498,0.4291,420.7219,205.6558
utility_only,non_symmetric,1.0,1.0,softmax,top50,7,10,67,47.20,15.73,26,60,0.092755,0.026119,82.69,2.60,79.10,86.57,0.000000,0.000000,23.894947,3.420697,1062.290878,0.000000,568.568512,16.045737,13.0679,0.0917,616.8500,205.5368
utility_only,non_symmetric,1.0,1.0,softmax,top50,13,20,67,50.60,14.33,23,60,0.488956,0.663128,82.39,3.70,77.61,88.06,0.000000,0.000000,22.322557,2.627840,1062.290878,0.000000,567.799941,22.822804,13.1803,0.1312,667.4594,190.5897
utility_only,non_symmetric,1.0,1.0,softmax,top50,27,40,67,60.00,0.00,60,60,3.753701,1.654016,85.97,2.23,82.09,88.06,0.000000,0.000000,23.843338,3.327107,1062.290878,0.000000,590.587753,9.542496,13.2323,0.0314,793.9375,1.8862
utility_only,non_symmetric,1.0,1.0,regret,top50,3,5,67,5.00,2.68,2,8,0.084930,0.028990,80.90,3.04,76.12,85.07,0.000000,0.000000,26.450649,1.051570,1062.290878,0.000000,608.420428,11.076275,13.1937,0.0961,66.0062,35.3942
utility_only,non_symmetric,1.0,1.0,regret,top50,7,10,67,8.60,2.24,7,13,0.083325,0.047703,81.79,1.12,80.60,83.58,0.000000,0.000000,26.992532,0.776788,1062.290878,0.000000,610.242845,7.465816,13.2416,0.0489,113.8156,29.4092
utility_only,non_symmetric,1.0,1.0,regret,top50,13,20,67,20.20,19.91,9,60,0.104566,0.072130,81.79,4.76,73.13,86.57,0.000000,0.000000,26.196344,1.970720,1062.290878,0.000000,599.517620,9.388823,13.2608,0.0403,267.6781,263.6206
utility_only,non_symmetric,1.0,1.0,regret,top50,27,40,67,60.00,0.00,60,60,0.001257,0.001168,85.07,3.13,80.60,88.06,0.000000,0.000000,29.752462,2.590650,1062.290878,0.000000,580.034679,16.717990,13.1842,0.0388,791.0531,2.3267
utility_only,non_symmetric,1.0,1.0,entropy,top50,3,5,67,26.20,11.63,14,46,0.127222,0.028662,82.39,2.89,77.61,86.57,0.000000,0.000000,24.009123,2.909885,1062.290878,0.000000,581.574765,10.638042,13.2399,0.0483,347.2875,155.4781
utility_only,non_symmetric,1.0,1.0,entropy,top50,7,10,67,33.40,9.95,22,50,0.257407,0.013314,84.18,2.77,79.10,86.57,0.000000,0.000000,23.669262,3.408614,1062.290878,0.000000,577.589317,11.260769,13.2669,0.0647,442.7781,130.8408
utility_only,non_symmetric,1.0,1.0,entropy,top50,13,20,67,40.60,16.26,21,60,0.961973,0.929735,81.49,4.28,74.63,86.57,0.000000,0.000000,21.822799,2.833598,1062.290878,0.000000,564.151653,16.317877,13.2706,0.0525,538.3406,214.4274
utility_only,non_symmetric,1.0,1.0,entropy,top50,27,40,67,60.00,0.00,60,60,4.017079,1.602466,85.67,3.35,82.09,91.04,0.000000,0.000000,23.926662,2.311361,1062.290878,0.000000,573.697812,13.994602,13.2280,0.0357,793.6812,2.1431
utility_only,symmetric,1.0,1.0,binary,top50,3,5,67,6.40,3.72,2,11,0.792000,0.221847,81.19,2.60,77.61,85.07,0.000000,0.000000,26.002116,1.649417,1062.290878,0.000000,608.881376,7.814747,13.2769,0.0565,85.0500,49.5224
utility_only,symmetric,1.0,1.0,binary,top50,7,10,67,10.60,2.42,8,15,0.740000,0.208998,84.78,2.39,80.60,86.57,0.000000,0.000000,25.128908,1.919358,1062.290878,0.000000,592.768784,14.393741,13.2770,0.0523,140.7500,32.2400
utility_only,symmetric,1.0,1.0,binary,top50,13,20,67,22.40,18.83,11,60,0.892000,0.529694,85.37,1.98,82.09,88.06,0.000000,0.000000,26.037499,1.916558,1062.290878,0.000000,587.609254,8.695755,13.2165,0.0303,296.1219,249.0241
utility_only,symmetric,1.0,1.0,binary,top50,27,40,67,60.00,0.00,60,60,1.628000,0.878781,85.07,4.22,79.10,91.04,0.000000,0.000000,26.172723,2.309557,1062.290878,0.000000,569.188679,12.501281,13.3441,0.1961,800.6437,11.7643
