mode,sampling_mode,chance_temperature,utility_temperature,fitness_type,stop_mode,n_decision_rules,n_decision_rules_pct,generation,mean_fitness,mean_accuracy,mean_error_chance,mean_error_utility,mean_entropy_norm,mean_util_dev,mean_gen_cpu
both,non_symmetric,1.0,1.0,binary,top50,1,5,1,0.498000,50.54,1.435367,18.660208,12.885247,37.269272,0.0406
both,non_symmetric,1.0,1.0,binary,top50,1,5,2,0.442000,50.71,1.481969,18.522024,12.811891,36.472206,0.3078
both,non_symmetric,1.0,1.0,binary,top50,1,5,3,0.428000,50.87,1.491332,18.458201,12.692620,36.729573,0.2891
both,non_symmetric,1.0,1.0,binary,top50,2,10,1,0.960000,50.54,1.435367,18.660208,12.885247,37.269272,0.0422
both,non_symmetric,1.0,1.0,binary,top50,2,10,2,0.818000,52.82,1.459761,18.280335,12.476861,36.828348,0.4844
both,non_symmetric,1.0,1.0,binary,top50,2,10,3,0.750000,52.28,1.494024,18.558840,11.367287,36.849377,0.4156
both,non_symmetric,1.0,1.0,binary,top50,2,10,4,0.660000,53.31,1.510145,19.421591,10.961043,37.187112,0.3625
both,non_symmetric,1.0,1.0,binary,top50,2,10,5,0.616000,53.84,1.518918,19.263279,10.584342,37.473536,0.3547
both,non_symmetric,1.0,1.0,binary,top50,2,10,6,0.552000,54.17,1.533032,19.402317,10.446392,37.889873,0.3609
both,non_symmetric,1.0,1.0,binary,top50,2,10,7,0.538000,54.26,1.539981,19.413932,10.431949,37.804885,0.3500
both,non_symmetric,1.0,1.0,binary,top50,4,20,1,1.984000,50.54,1.435367,18.660208,12.885247,37.269272,0.0422
both,non_symmetric,1.0,1.0,binary,top50,4,20,2,1.866000,51.39,1.457552,18.429178,12.560620,36.523680,0.5547
both,non_symmetric,1.0,1.0,binary,top50,4,20,3,1.718000,51.26,1.520831,19.628616,11.359961,36.895896,0.4156
both,non_symmetric,1.0,1.0,binary,top50,4,20,4,1.562000,52.42,1.540749,19.988153,10.598891,37.682852,0.3719
both,non_symmetric,1.0,1.0,binary,top50,4,20,5,1.484000,53.59,1.593978,19.917572,9.891146,37.343726,0.3703
both,non_symmetric,1.0,1.0,binary,top50,4,20,6,1.250000,54.92,1.618638,19.886302,9.286104,37.539175,0.3312
