mode,sampling_mode,chance_temperature,utility_temperature,fitness_type,stop_mode,n_decision_rules,n_decision_rules_pct,generation,mean_fitness,mean_accuracy,mean_error_chance,mean_error_utility,mean_entropy_norm,mean_util_dev,mean_gen_cpu
both,non_symmetric,1.0,1.0,binary,top50,1,5,1,0.498000,50.54,1.435367,18.660208,12.885247,37.269272,0.0359
both,non_symmetric,1.0,1.0,binary,top50,1,5,2,0.442000,51.44,1.393880,17.442342,14.401053,34.554169,0.0391
both,non_symmetric,1.0,1.0,binary,top50,2,10,1,0.960000,50.54,1.435367,18.660208,12.885247,37.269272,0.0344
both,non_symmetric,1.0,1.0,binary,top50,2,10,2,0.822000,52.05,1.295489,16.271743,15.680006,32.867122,0.0406
both,non_symmetric,1.0,1.0,binary,top50,2,10,3,0.704000,53.91,1.301002,16.271544,15.687682,31.544665,0.0375
both,non_symmetric,1.0,1.0,binary,top50,2,10,4,0.596000,54.63,1.296305,16.077536,15.738549,31.493737,0.0406
both,non_symmetric,1.0,1.0,binary,top50,2,10,5,0.508000,54.97,1.297558,16.046778,15.678098,31.451661,0.0406
both,non_symmetric,1.0,1.0,binary,top50,4,20,1,1.984000,50.54,1.435367,18.660208,12.885247,37.269272,0.0391
both,non_symmetric,1.0,1.0,binary,top50,4,20,2,1.684000,53.34,1.294525,16.202837,16.021699,32.031353,0.0391
both,non_symmetric,1.0,1.0,binary,top50,4,20,3,1.700000,53.75,1.262370,15.478499,16.016761,30.113826,0.0391
both,non_symmetric,1.0,1.0,binary,top50,4,20,4,1.392000,54.65,1.278614,15.229544,15.741744,29.957410,0.0437
both,non_symmetric,1.0,1.0,binary,top50,4,20,5,1.082000,56.82,1.301810,14.945197,15.650242,29.931615,0.0406
both,non_symmetric,1.0,1.0,binary,top50,4,20,6,1.032000,58.33,1.356564,14.971318,15.446783,30.034150,0.0375
both,non_symmetric,1.0,1.0,binary,top50,4,20,7,0.852000,59.28,1.337976,15.440333,15.260523,29.765879,0.0469
both,non_symmetric,1.0,1.0,binary,top50,4,20,8,0.766000,60.41,1.318091,15.904267,15.015764,29.495219,0.0422
both,non_symmetric,1.0,1.0,binary,top50,4,20,9,0.702000,60.54,1.322074,15.699033,15.117834,29.479011,0.0391
both,non_symmetric,1.0,1.0,binary,top50,4,20,10,0.646000,61.40,1.336810,15.361699,15.038820,29.608943,0.0406
