mode,sampling_mode,chance_temperature,utility_temperature,fitness_type,stop_mode,n_decision_rules,n_decision_rules_pct,generation,mean_fitness,mean_accuracy,mean_error_chance,mean_error_utility,mean_entropy_norm,mean_util_dev,mean_gen_cpu
both,non_symmetric,1.0,1.0,binary,top50,1,5,1,0.514750,49.78,1.451793,18.875647,12.940794,36.980065,0.4031
both,non_symmetric,1.0,1.0,binary,top50,1,5,2,0.349000,51.74,1.516078,19.221156,11.450255,37.189260,0.4219
both,non_symmetric,1.0,1.0,binary,top50,2,10,1,1.004750,49.78,1.451793,18.875647,12.940794,36.980065,0.4047
both,non_symmetric,1.0,1.0,binary,top50,2,10,2,0.791250,52.03,1.531998,19.340131,11.066147,37.343348,0.4078
both,non_symmetric,1.0,1.0,binary,top50,2,10,3,0.714750,53.10,1.618911,20.094089,8.999625,38.289482,0.3750
both,non_symmetric,1.0,1.0,binary,top50,2,10,4,0.589250,55.03,1.693086,20.611470,7.124816,39.070022,0.3812
both,non_symmetric,1.0,1.0,binary,top50,2,10,5,0.566750,55.30,1.716048,20.696641,6.805573,39.181128,0.3812
both,non_symmetric,1.0,1.0,binary,top50,2,10,6,0.563500,55.67,1.721663,20.707512,6.692218,39.305530,0.3828
both,non_symmetric,1.0,1.0,binary,top50,2,10,7,0.561750,55.79,1.724411,20.826845,6.597472,39.326531,0.3812
both,non_symmetric,1.0,1.0,binary,top50,4,20,1,2.000750,49.78,1.451793,18.875647,12.940794,36.980065,0.3250
both,non_symmetric,1.0,1.0,binary,top50,4,20,2,1.683750,51.86,1.530294,19.351043,11.094824,37.262916,0.3359
both,non_symmetric,1.0,1.0,binary,top50,4,20,3,1.495750,54.05,1.642982,20.278909,8.773262,38.236739,0.3187
both,non_symmetric,1.0,1.0,binary,top50,4,20,4,1.369250,55.77,1.741172,20.781544,6.715708,39.000118,0.3312
both,non_symmetric,1.0,1.0,binary,top50,4,20,5,1.216750,58.04,1.812248,21.467634,5.074541,39.716455,0.3281
both,non_symmetric,1.0,1.0,binary,top50,4,20,6,1.075000,61.34,1.857804,21.916538,3.883544,40.324979,0.3375
both,non_symmetric,1.0,1.0,binary,top50,4,20,7,0.948000,63.67,1.913325,22.284838,2.927669,40.848176,0.3328
both,non_symmetric,1.0,1.0,binary,top50,4,20,8,0.845500,66.30,1.918437,22.396784,2.328322,41.215851,0.3266
both,non_symmetric,1.0,1.0,binary,top50,4,20,9,0.748000,67.91,1.938341,22.426716,1.998900,41.410250,0.3234
both,non_symmetric,1.0,1.0,binary,top50,4,20,10,0.698500,68.50,1.941940,22.575684,1.858169,41.480141,0.3344
both,non_symmetric,1.0,1.0,binary,top50,4,20,11,0.657750,68.97,1.954586,22.520223,1.807443,41.523867,0.3391
both,non_symmetric,1.0,1.0,binary,top50,8,40,1,4.011500,49.78,1.451793,18.875647,12.940794,36.980065,0.3266
both,non_symmetric,1.0,1.0,binary,top50,8,40,2,3.524500,52.91,1.513217,19.184088,11.093867,37.310293,0.3234
both,non_symmetric,1.0,1.0,binary,top50,8,40,3,3.250750,54.89,1.610679,19.924266,8.721464,38.240987,0.3344
both,non_symmetric,1.0,1.0,binary,top50,8,40,4,3.017000,57.42,1.701903,20.763530,6.707463,39.038865,0.3250
both,non_symmetric,1.0,1.0,binary,top50,8,40,5,2.762000,60.61,1.776146,21.338545,5.062317,39.720028,0.3156
both,non_symmetric,1.0,1.0,binary,top50,8,40,6,2.605250,63.63,1.862592,21.867395,3.822341,40.107087,0.3312
both,non_symmetric,1.0,1.0,binary,top50,8,40,7,2.314750,67.01,1.906035,22.262032,2.917400,40.550184,0.3219
both,non_symmetric,1.0,1.0,binary,top50,8,40,8,2.051250,70.66,1.935037,22.483492,2.199109,41.153135,0.3312
both,non_symmetric,1.0,1.0,binary,top50,8,40,9,1.806250,73.14,1.964925,22.674122,1.718419,41.519955,0.3266
both,non_symmetric,1.0,1.0,binary,top50,8,40,10,1.499250,76.15,1.969789,22.743236,1.315491,41.783326,0.3187
both,non_symmetric,1.0,1.0,binary,top50,8,40,11,1.214500,78.44,1.985114,22.711718,1.062412,42.140891,0.3172
both,non_symmetric,1.0,1.0,binary,top50,8,40,12,1.061500,79.70,1.980769,22.663901,0.876403,42.310680,0.3234
both,non_symmetric,1.0,1.0,binary,top50,8,40,13,0.943500,80.23,1.993593,22.722250,0.808559,42.517391,0.3109
both,non_symmetric,1.0,1.0,binary,top50,8,40,14,0.907250,80.44,1.987246,22.696958,0.791335,42.519883,0.3094
both,non_symmetric,1.0,1.0,binary,top50,8,40,15,0.908000,80.50,1.988101,22.753026,0.775331,42.530404,0.3250
both,non_symmetric,1.0,1.0,binary,top50,8,40,16,0.901250,80.46,1.990259,22.758797,0.771573,42.553765,0.3156
