mode,sampling_mode,chance_temperature,utility_temperature,fitness_type,stop_mode,n_decision_rules,n_decision_rules_pct,generation,mean_fitness,mean_accuracy,mean_error_chance,mean_error_utility,mean_entropy_norm,mean_util_dev,mean_gen_cpu
both,non_symmetric,1.0,1.0,binary,top50,1,5,1,0.498000,50.54,1.435367,18.660208,12.885247,37.269272,0.0484
both,non_symmetric,1.0,1.0,binary,top50,1,5,2,0.444000,51.68,1.437623,18.102867,13.829514,36.342788,0.0453
both,non_symmetric,1.0,1.0,binary,top50,1,5,3,0.436000,51.92,1.434615,18.052028,13.863656,36.427076,0.0484
both,non_symmetric,1.0,1.0,binary,top50,1,5,4,0.414000,52.21,1.420024,18.201738,13.878308,36.333158,0.0469
both,non_symmetric,1.0,1.0,binary,top50,2,10,1,0.960000,50.54,1.435367,18.660208,12.885247,37.269272,0.0391
both,non_symmetric,1.0,1.0,binary,top50,2,10,2,0.858000,52.14,1.389298,17.368998,14.452902,35.852607,0.0437
both,non_symmetric,1.0,1.0,binary,top50,2,10,3,0.792000,53.22,1.378183,17.454980,14.585524,36.130174,0.0437
both,non_symmetric,1.0,1.0,binary,top50,2,10,4,0.738000,52.90,1.336975,17.081732,14.869592,35.604319,0.0391
both,non_symmetric,1.0,1.0,binary,top50,2,10,5,0.676000,54.71,1.333750,17.413323,14.831413,35.548818,0.0453
both,non_symmetric,1.0,1.0,binary,top50,2,10,6,0.632000,55.07,1.318282,17.451848,14.889773,35.675726,0.0453
both,non_symmetric,1.0,1.0,binary,top50,2,10,7,0.626000,55.04,1.312294,17.295166,14.855257,35.624372,0.0469
both,non_symmetric,1.0,1.0,binary,top50,2,10,8,0.608000,55.28,1.312168,17.410455,14.943361,35.713204,0.0437
both,non_symmetric,1.0,1.0,binary,top50,4,20,1,1.984000,50.54,1.435367,18.660208,12.885247,37.269272,0.0391
both,non_symmetric,1.0,1.0,binary,top50,4,20,2,1.800000,52.36,1.408452,17.410010,14.602934,35.605255,0.0406
both,non_symmetric,1.0,1.0,binary,top50,4,20,3,1.620000,53.33,1.407745,17.911570,14.643192,36.108937,0.0422
both,non_symmetric,1.0,1.0,binary,top50,4,20,4,1.548000,53.36,1.365022,17.523481,14.912094,35.386020,0.0359
both,non_symmetric,1.0,1.0,binary,top50,4,20,5,1.306000,57.05,1.355270,17.349106,14.985700,35.061167,0.0406
both,non_symmetric,1.0,1.0,binary,top50,4,20,6,1.132000,58.26,1.343331,17.941702,15.122819,35.363854,0.0406
both,non_symmetric,1.0,1.0,binary,top50,4,20,7,0.980000,60.45,1.303235,17.460337,15.238256,35.530960,0.0375
both,non_symmetric,1.0,1.0,binary,top50,4,20,8,0.888000,61.94,1.323124,17.665668,15.366582,35.337777,0.0344
both,non_symmetric,1.0,1.0,binary,top50,4,20,9,0.738000,62.71,1.299313,17.737676,15.404847,35.729209,0.0422
both,non_symmetric,1.0,1.0,binary,top50,4,20,10,0.696000,63.01,1.293442,17.659185,15.490425,35.547953,0.0375
both,non_symmetric,1.0,1.0,binary,top50,4,20,11,0.622000,63.94,1.285755,17.672319,15.517402,35.674523,0.0391
both,non_symmetric,1.0,1.0,binary,top50,4,20,12,0.582000,64.03,1.291853,17.697303,15.513064,35.697825,0.0359
