mode,sampling_mode,chance_temperature,utility_temperature,fitness_type,stop_mode,n_decision_rules,n_decision_rules_pct,total_rules,rep,seed,stop_generation,best_fitness,best_accuracy,best_mse_chance,best_mse_utility,best_entropy_norm,best_util_dev,cpu_per_gen,cpu_total
both,non_symmetric,1.0,1.0,binary,top50,1,5,20,0,42,1,0.500000,85.00,0.583406,6.150920,10.575905,44.078699,0.0469,0.0469
both,non_symmetric,1.0,1.0,binary,top50,1,5,20,1,43,1,0.420000,85.00,0.677142,6.110768,9.209246,44.272709,0.0469,0.0469
both,non_symmetric,1.0,1.0,binary,top50,1,5,20,2,44,1,0.460000,80.00,0.602174,5.635433,10.416201,44.322257,0.0469,0.0469
both,non_symmetric,1.0,1.0,binary,top50,1,5,20,3,45,1,0.480000,75.00,0.602671,6.751976,10.568043,44.299241,0.0312,0.0312
both,non_symmetric,1.0,1.0,binary,top50,1,5,20,4,46,2,0.500000,65.00,0.641081,6.844162,9.215610,44.103585,0.2656,0.5312
both,non_symmetric,1.0,1.0,binary,top50,1,5,20,5,47,3,0.380000,85.00,0.642475,6.456786,6.038182,44.305627,0.3177,0.9531
both,non_symmetric,1.0,1.0,binary,top50,1,5,20,6,48,2,0.320000,80.00,1.022310,5.706065,8.199373,44.345971,0.3359,0.6719
both,non_symmetric,1.0,1.0,binary,top50,1,5,20,7,49,1,0.400000,75.00,0.470047,4.539802,10.379995,44.373466,0.0469,0.0469
both,non_symmetric,1.0,1.0,binary,top50,1,5,20,8,50,2,0.380000,85.00,0.684797,5.937293,7.699938,44.025725,0.3125,0.6250
both,non_symmetric,1.0,1.0,binary,top50,1,5,20,9,51,2,0.440000,75.00,0.807805,6.679476,7.707395,44.221587,0.3125,0.6250
both,non_symmetric,1.0,1.0,binary,top50,2,10,20,0,42,6,0.540000,85.00,0.641759,5.859714,4.740285,44.400418,0.3542,2.1250
both,non_symmetric,1.0,1.0,binary,top50,2,10,20,1,43,1,0.860000,85.00,0.677142,6.110768,9.209246,44.272709,0.0312,0.0312
both,non_symmetric,1.0,1.0,binary,top50,2,10,20,2,44,3,0.540000,85.00,0.437152,7.544860,7.084290,44.441922,0.3385,1.0156
both,non_symmetric,1.0,1.0,binary,top50,2,10,20,3,45,3,0.480000,85.00,0.586379,7.692164,4.824566,44.187754,0.3438,1.0312
both,non_symmetric,1.0,1.0,binary,top50,2,10,20,4,46,4,0.460000,85.00,0.653440,7.437720,4.367462,44.199487,0.3438,1.3750
both,non_symmetric,1.0,1.0,binary,top50,2,10,20,5,47,5,0.540000,75.00,0.703755,5.257762,5.799248,44.382235,0.3531,1.7656
both,non_symmetric,1.0,1.0,binary,top50,2,10,20,6,48,5,0.360000,85.00,0.846023,7.754019,3.567647,44.235726,0.3719,1.8594
both,non_symmetric,1.0,1.0,binary,top50,2,10,20,7,49,3,0.600000,75.00,0.889310,10.451097,5.601717,44.119537,0.3438,1.0312
both,non_symmetric,1.0,1.0,binary,top50,2,10,20,8,50,7,0.500000,85.00,0.515511,8.677506,4.037531,44.429179,0.3728,2.6094
both,non_symmetric,1.0,1.0,binary,top50,2,10,20,9,51,6,0.500000,85.00,0.595598,10.671211,5.564124,44.438411,0.3542,2.1250
both,non_symmetric,1.0,1.0,binary,top50,4,20,20,0,42,7,0.640000,85.00,1.128633,9.268417,4.938193,44.434754,0.3638,2.5469
both,non_symmetric,1.0,1.0,binary,top50,4,20,20,1,43,7,0.820000,85.00,0.732150,10.205828,5.843799,44.371835,0.3237,2.2656
both,non_symmetric,1.0,1.0,binary,top50,4,20,20,2,44,8,0.740000,90.00,0.740403,9.724329,3.325634,44.443935,0.3301,2.6406
both,non_symmetric,1.0,1.0,binary,top50,4,20,20,3,45,7,0.600000,90.00,0.846456,6.094581,2.189587,44.444280,0.3616,2.5312
both,non_symmetric,1.0,1.0,binary,top50,4,20,20,4,46,15,0.460000,85.00,0.918772,8.202530,2.923900,44.438771,0.3271,4.9062
both,non_symmetric,1.0,1.0,binary,top50,4,20,20,5,47,19,0.560000,85.00,1.102650,6.122687,1.948809,44.436616,0.3495,6.6406
both,non_symmetric,1.0,1.0,binary,top50,4,20,20,6,48,10,0.480000,80.00,0.943403,6.256737,1.992745,44.439205,0.3609,3.6094
both,non_symmetric,1.0,1.0,binary,top50,4,20,20,7,49,9,0.740000,85.00,0.954319,10.582562,1.900487,44.435465,0.3663,3.2969
both,non_symmetric,1.0,1.0,binary,top50,4,20,20,8,50,7,0.600000,85.00,0.714356,9.924164,3.635768,44.393453,0.3438,2.4062
both,non_symmetric,1.0,1.0,binary,top50,4,20,20,9,51,16,0.860000,85.00,0.708853,10.518007,1.796312,44.444444,0.3428,5.4844
both,non_symmetric,1.0,1.0,binary,top50,8,40,20,0,42,16,0.720000,95.00,1.134671,12.311457,2.320228,44.329641,0.3516,5.6250
both,non_symmetric,1.0,1.0,binary,top50,8,40,20,1,43,10,0.540000,95.00,0.573488,12.266891,1.957469,44.444444,0.3187,3.1875
both,non_symmetric,1.0,1.0,binary,top50,8,40,20,2,44,14,0.460000,85.00,1.128073,11.023559,1.911891,44.427010,0.3493,4.8906
both,non_symmetric,1.0,1.0,binary,top50,8,40,20,3,45,11,0.600000,95.00,1.402767,9.123572,3.298541,44.227899,0.3523,3.8750
