mode,sampling_mode,chance_temperature,utility_temperature,fitness_type,stop_mode,n_decision_rules,n_decision_rules_pct,total_rules,rep,seed,stop_generation,best_fitness,best_accuracy,best_mse_chance,best_mse_utility,best_entropy_norm,best_util_dev,cpu_per_gen,cpu_total
both,non_symmetric,1.0,1.0,binary,top50,1,5,20,0,42,1,0.500000,85.00,0.583406,6.150920,10.575905,44.078699,0.0469,0.0469
both,non_symmetric,1.0,1.0,binary,top50,1,5,20,1,43,1,0.420000,85.00,0.677142,6.110768,9.209246,44.272709,0.0312,0.0312
both,non_symmetric,1.0,1.0,binary,top50,1,5,20,2,44,1,0.460000,80.00,0.602174,5.635433,10.416201,44.322257,0.0312,0.0312
both,non_symmetric,1.0,1.0,binary,top50,1,5,20,3,45,1,0.480000,75.00,0.602671,6.751976,10.568043,44.299241,0.0312,0.0312
both,non_symmetric,1.0,1.0,binary,top50,1,5,20,4,46,2,0.400000,85.00,0.912559,5.562031,11.766431,40.477735,0.0391,0.0781
both,non_symmetric,1.0,1.0,binary,top50,1,5,20,5,47,2,0.420000,85.00,0.409672,6.190768,10.755271,40.929252,0.0391,0.0781
both,non_symmetric,1.0,1.0,binary,top50,1,5,20,6,48,2,0.440000,85.00,0.726817,4.107270,10.980080,41.049773,0.0469,0.0938
both,non_symmetric,1.0,1.0,binary,top50,1,5,20,7,49,1,0.400000,75.00,0.470047,4.539802,10.379995,44.373466,0.0312,0.0312
both,non_symmetric,1.0,1.0,binary,top50,1,5,20,8,50,2,0.480000,85.00,0.569390,3.133668,11.303990,40.200051,0.0391,0.0781
both,non_symmetric,1.0,1.0,binary,top50,1,5,20,9,51,2,0.420000,70.00,0.507559,4.491698,10.865887,43.097572,0.0391,0.0781
both,non_symmetric,1.0,1.0,binary,top50,2,10,20,0,42,4,0.460000,75.00,0.357018,4.053241,12.522843,38.988754,0.0469,0.1875
both,non_symmetric,1.0,1.0,binary,top50,2,10,20,1,43,1,0.860000,85.00,0.677142,6.110768,9.209246,44.272709,0.0312,0.0312
both,non_symmetric,1.0,1.0,binary,top50,2,10,20,2,44,3,0.560000,95.00,0.691586,0.446976,10.715393,39.350373,0.0417,0.1250
both,non_symmetric,1.0,1.0,binary,top50,2,10,20,3,45,3,0.520000,85.00,0.565490,3.726382,11.388563,38.015926,0.0365,0.1094
both,non_symmetric,1.0,1.0,binary,top50,2,10,20,4,46,4,0.560000,85.00,0.570778,6.078104,8.975454,40.415368,0.0391,0.1562
