mode,sampling_mode,chance_temperature,utility_temperature,fitness_type,stop_mode,n_decision_rules,n_decision_rules_pct,total_rules,rep,seed,stop_generation,best_fitness,best_accuracy,best_mse_chance,best_mse_utility,best_entropy_norm,best_util_dev,cpu_per_gen,cpu_total
both,non_symmetric,1.0,1.0,binary,top50,1,5,20,0,42,2,0.267500,95.00,0.538232,6.097822,6.896759,44.438024,0.4609,0.9219
both,non_symmetric,1.0,1.0,binary,top50,1,5,20,1,43,2,0.292500,95.00,0.513404,6.444749,6.556385,44.422806,0.3750,0.7500
both,non_symmetric,1.0,1.0,binary,top50,1,5,20,2,44,2,0.300000,85.00,0.470603,4.843603,6.837201,44.358168,0.4219,0.8438
both,non_symmetric,1.0,1.0,binary,top50,1,5,20,3,45,2,0.342500,95.00,0.593858,5.546550,6.710268,44.363343,0.3906,0.7812
both,non_symmetric,1.0,1.0,binary,top50,1,5,20,4,46,2,0.315000,95.00,0.507385,4.892775,6.907718,44.399591,0.4297,0.8594
both,non_symmetric,1.0,1.0,binary,top50,1,5,20,5,47,2,0.342500,90.00,0.612694,4.919316,6.438076,44.429085,0.4062,0.8125
both,non_symmetric,1.0,1.0,binary,top50,1,5,20,6,48,1,0.497500,85.00,0.416073,5.019251,8.884379,44.407062,0.3906,0.3906
both,non_symmetric,1.0,1.0,binary,top50,1,5,20,7,49,2,0.302500,90.00,0.494561,4.239637,6.274700,44.427839,0.3906,0.7812
both,non_symmetric,1.0,1.0,binary,top50,1,5,20,8,50,2,0.342500,95.00,0.497622,4.759836,6.760937,44.405004,0.4219,0.8438
both,non_symmetric,1.0,1.0,binary,top50,1,5,20,9,51,1,0.487500,90.00,0.546935,6.067942,8.622777,44.350910,0.4375,0.4375
both,non_symmetric,1.0,1.0,binary,top50,2,10,20,0,42,4,0.590000,100.00,0.723512,6.863609,2.891367,44.444295,0.4648,1.8594
both,non_symmetric,1.0,1.0,binary,top50,2,10,20,1,43,2,0.662500,85.00,0.470347,4.904495,6.219421,44.421955,0.4141,0.8281
both,non_symmetric,1.0,1.0,binary,top50,2,10,20,2,44,7,0.570000,95.00,0.702683,7.883283,0.795374,44.444444,0.4129,2.8906
both,non_symmetric,1.0,1.0,binary,top50,2,10,20,3,45,4,0.517500,100.00,0.557677,6.047775,2.422264,44.444391,0.3984,1.5938
both,non_symmetric,1.0,1.0,binary,top50,2,10,20,4,46,4,0.540000,95.00,0.751409,7.140433,2.075595,44.444114,0.4102,1.6406
both,non_symmetric,1.0,1.0,binary,top50,2,10,20,5,47,4,0.540000,95.00,0.624155,4.245695,3.115536,44.444381,0.4062,1.6250
both,non_symmetric,1.0,1.0,binary,top50,2,10,20,6,48,4,0.560000,85.00,0.521188,7.089144,2.459495,44.443927,0.3672,1.4688
both,non_symmetric,1.0,1.0,binary,top50,2,10,20,7,49,4,0.562500,95.00,0.513180,6.461018,2.391643,44.443488,0.3867,1.5469
both,non_symmetric,1.0,1.0,binary,top50,2,10,20,8,50,5,0.492500,100.00,0.699441,8.342593,1.711319,44.444442,0.3438,1.7188
both,non_symmetric,1.0,1.0,binary,top50,2,10,20,9,51,4,0.582500,95.00,0.543712,7.759300,2.641163,44.444439,0.3203,1.2812
both,non_symmetric,1.0,1.0,binary,top50,4,20,20,0,42,8,0.780000,95.00,0.712467,7.821926,0.439910,44.444444,0.3398,2.7188
both,non_symmetric,1.0,1.0,binary,top50,4,20,20,1,43,8,0.665000,100.00,0.665955,6.982162,0.415194,44.444444,0.3223,2.5781
both,non_symmetric,1.0,1.0,binary,top50,4,20,20,2,44,11,0.680000,95.00,0.710206,8.468023,0.412628,44.444444,0.3281,3.6094
both,non_symmetric,1.0,1.0,binary,top50,4,20,20,3,45,9,0.607500,95.00,0.765673,10.024897,0.412629,44.444444,0.3438,3.0938
both,non_symmetric,1.0,1.0,binary,top50,4,20,20,4,46,8,0.702500,95.00,0.630240,8.130076,0.415506,44.444444,0.3164,2.5312
