mode,sampling_mode,chance_temperature,utility_temperature,fitness_type,stop_mode,n_decision_rules,n_decision_rules_pct,total_rules,rep,seed,stop_generation,best_fitness,best_accuracy,best_mse_chance,best_mse_utility,best_entropy_norm,best_util_dev,cpu_per_gen,cpu_total
both,non_symmetric,1.0,1.0,binary,top50,1,5,20,0,42,1,0.500000,85.00,0.583406,6.150920,10.575905,44.078699,0.0625,0.0625
both,non_symmetric,1.0,1.0,binary,top50,1,5,20,1,43,1,0.420000,85.00,0.677142,6.110768,9.209246,44.272709,0.0469,0.0469
both,non_symmetric,1.0,1.0,binary,top50,1,5,20,2,44,1,0.460000,80.00,0.602174,5.635433,10.416201,44.322257,0.0469,0.0469
both,non_symmetric,1.0,1.0,binary,top50,1,5,20,3,45,1,0.480000,75.00,0.602671,6.751976,10.568043,44.299241,0.0469,0.0469
both,non_symmetric,1.0,1.0,binary,top50,1,5,20,4,46,2,0.360000,85.00,0.466924,5.399952,11.958242,44.170803,0.0547,0.1094
both,non_symmetric,1.0,1.0,binary,top50,1,5,20,5,47,2,0.460000,75.00,0.573597,5.349624,11.937865,43.949397,0.0469,0.0938
both,non_symmetric,1.0,1.0,binary,top50,1,5,20,6,48,4,0.340000,85.00,0.590954,4.361560,10.806421,43.162925,0.0508,0.2031
both,non_symmetric,1.0,1.0,binary,top50,1,5,20,7,49,1,0.400000,75.00,0.470047,4.539802,10.379995,44.373466,0.0312,0.0312
both,non_symmetric,1.0,1.0,binary,top50,1,5,20,8,50,2,0.300000,80.00,0.524723,2.713840,10.716632,43.888101,0.0469,0.0938
both,non_symmetric,1.0,1.0,binary,top50,1,5,20,9,51,2,0.420000,80.00,0.757416,8.385121,11.044212,44.338427,0.0391,0.0781
both,non_symmetric,1.0,1.0,binary,top50,2,10,20,0,42,5,0.500000,80.00,0.675499,6.176800,11.457760,42.669076,0.0469,0.2344
both,non_symmetric,1.0,1.0,binary,top50,2,10,20,1,43,1,0.860000,85.00,0.677142,6.110768,9.209246,44.272709,0.0469,0.0469
both,non_symmetric,1.0,1.0,binary,top50,2,10,20,2,44,8,0.540000,85.00,0.660205,9.243655,13.671796,42.292866,0.0430,0.3438
