mode,sampling_mode,chance_temperature,utility_temperature,fitness_type,stop_mode,n_decision_rules,n_decision_rules_pct,total_rules,stop_gen_mean,stop_gen_std,stop_gen_min,stop_gen_max,fitness_mean,fitness_std,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,mse_chance_mean,mse_chance_std,mse_utility_mean,mse_utility_std,entropy_norm_mean,entropy_norm_std,util_dev_mean,util_dev_std,cpu_per_gen_mean,cpu_per_gen_std,cpu_total_mean,cpu_total_std
both,non_symmetric,1.0,1.0,binary,top50,1,5,20,1.60,0.66,1,3,0.428000,0.056000,79.00,6.24,65.00,85.00,0.673391,0.141942,6.081268,0.653669,9.000989,1.473664,44.234887,0.116324,0.1763,0.1336,0.3625,0.3345
both,non_symmetric,1.0,1.0,binary,top50,2,10,20,4.30,1.73,1,7,0.538000,0.123110,83.00,4.00,75.00,85.00,0.654607,0.130225,7.745682,1.711840,5.479612,1.567072,44.310738,0.114815,0.3207,0.0971,1.4969,0.7112
both,non_symmetric,1.0,1.0,binary,top50,4,20,20,10.50,4.25,7,19,0.650000,0.129383,85.50,2.69,80.00,90.00,0.879000,0.148872,8.689984,1.778606,3.049523,1.333020,44.428276,0.023566,0.3470,0.0153,3.6328,1.4478
both,non_symmetric,1.0,1.0,binary,top50,8,40,20,22.50,15.83,10,60,0.672000,0.201832,91.00,5.39,80.00,95.00,1.238234,0.385311,12.117505,2.492914,2.188756,1.012062,44.382295,0.071838,0.3793,0.0518,8.5875,5.8923
both,non_symmetric,1.0,1.0,margin,top50,1,5,20,3.70,1.10,2,5,0.741039,0.256452,86.50,6.73,75.00,95.00,0.698032,0.135429,7.264979,1.953892,5.989132,1.358436,44.266784,0.189225,0.3322,0.0274,1.2437,0.4213
both,non_symmetric,1.0,1.0,margin,top50,2,10,20,8.10,2.95,4,13,0.577080,0.294850,85.50,8.20,75.00,100.00,0.819738,0.161846,9.044800,1.667687,4.770990,1.281612,44.298844,0.235249,0.3563,0.0172,2.8969,1.0757
both,non_symmetric,1.0,1.0,margin,top50,4,20,20,16.70,9.55,8,42,0.715251,0.294103,88.00,5.57,80.00,95.00,0.979563,0.407155,10.767087,4.185926,3.610427,1.615086,44.200103,0.268447,0.4182,0.0552,6.9969,4.2675
both,non_symmetric,1.0,1.0,margin,top50,8,40,20,35.70,10.92,18,60,0.631047,0.554501,88.50,10.50,65.00,100.00,1.319062,0.469953,16.192638,3.871562,3.047027,1.081661,44.317797,0.171866,0.4185,0.0601,14.5703,3.5278
both,non_symmetric,1.0,1.0,softmax,top50,1,5,20,6.20,1.33,5,9,0.309876,0.164727,82.00,7.81,75.00,95.00,0.820885,0.173716,9.635773,1.631038,4.330754,1.035747,44.380088,0.102417,0.3532,0.0110,2.1906,0.4736
both,non_symmetric,1.0,1.0,softmax,top50,2,10,20,11.60,5.54,5,24,0.373619,0.205353,82.00,4.00,75.00,85.00,0.997673,0.424598,12.694797,3.580849,3.349046,1.651558,44.411502,0.079337,0.4216,0.0828,4.8391,2.2060
both,non_symmetric,1.0,1.0,softmax,top50,4,20,20,16.00,4.15,11,24,0.330572,0.231725,88.00,7.81,75.00,100.00,1.163389,0.512244,13.968379,3.741905,3.165527,1.311249,44.386247,0.088896,0.4188,0.0777,6.8312,2.6876
both,non_symmetric,1.0,1.0,softmax,top50,8,40,20,23.90,8.80,12,38,1.271488,1.656785,88.00,7.48,75.00,95.00,1.077384,0.415964,14.538139,4.121505,3.829921,2.341013,44.042567,0.740822,0.3650,0.0420,8.8234,3.7800
both,non_symmetric,1.0,1.0,regret,top50,1,5,20,1.50,0.50,1,2,0.853796,0.236370,81.00,3.74,75.00,85.00,0.622035,0.068214,6.059652,1.040460,8.954305,1.449082,44.194695,0.311845,0.2109,0.1619,0.3969,0.3479
both,non_symmetric,1.0,1.0,regret,top50,2,10,20,3.70,1.19,1,5,0.990925,0.504701,85.50,6.87,75.00,95.00,0.705635,0.097174,7.400889,2.108334,5.493232,1.813372,44.303524,0.107662,0.4371,0.1398,1.7453,0.7336
both,non_symmetric,1.0,1.0,regret,top50,4,20,20,9.80,2.18,6,13,0.576453,0.456479,88.00,4.58,80.00,95.00,0.930989,0.170334,9.762809,4.025462,2.781495,0.965530,44.320396,0.299724,0.3510,0.0289,3.4484,0.8253
both,non_symmetric,1.0,1.0,regret,top50,8,40,20,19.70,8.37,8,37,0.722970,0.755296,91.00,4.36,85.00,95.00,1.150311,0.406437,16.052650,9.950030,1.654333,0.857331,40.413408,8.527537,0.4350,0.0689,8.4391,3.1873
both,non_symmetric,1.0,1.0,entropy,top50,1,5,20,6.20,1.40,4,9,0.409734,0.196921,83.00,7.81,70.00,95.00,0.857460,0.126597,9.281385,2.138880,3.898237,1.316789,44.245328,0.384761,0.3540,0.0175,2.1844,0.4625
both,non_symmetric,1.0,1.0,entropy,top50,2,10,20,8.80,2.68,6,15,0.490453,0.132876,86.00,7.00,70.00,95.00,0.808202,0.182264,11.164762,3.494053,3.266704,1.117310,44.189240,0.325562,0.3678,0.0168,3.2234,0.9320
both,non_symmetric,1.0,1.0,entropy,top50,4,20,20,15.10,4.95,9,27,0.799331,0.711682,85.50,7.23,75.00,95.00,1.072043,0.326092,11.468213,3.364533,3.397507,1.218321,44.184403,0.442755,0.3613,0.0484,5.4250,1.7144
both,non_symmetric,1.0,1.0,entropy,top50,8,40,20,19.30,3.74,14,26,1.695607,1.427064,90.50,5.22,85.00,100.00,1.152466,0.272574,14.651499,4.107953,3.013733,1.161394,44.376022,0.101425,0.3424,0.0144,6.5812,1.1560
both,symmetric,1.0,1.0,binary,top50,1,5,20,1.70,0.90,1,4,0.410000,0.074431,80.00,5.48,75.00,90.00,0.610559,0.086428,6.165850,1.128383,8.885727,1.506168,44.085013,0.324561,0.1828,0.1488,0.4313,0.5053
both,symmetric,1.0,1.0,binary,top50,2,10,20,4.30,1.79,1,8,0.538000,0.122458,88.00,6.40,75.00,95.00,0.725779,0.074249,7.916380,2.386812,5.113807,1.901538,44.234829,0.210021,0.4864,0.1676,2.3188,1.3581
both,symmetric,1.0,1.0,binary,top50,4,20,20,10.60,3.95,4,17,0.642000,0.159361,86.50,7.43,75.00,95.00,0.851456,0.206021,12.341234,4.598980,2.502420,1.252125,44.369959,0.194921,0.5090,0.1089,5.4031,2.0771
both,symmetric,1.0,1.0,binary,top50,8,40,20,24.20,11.40,11,48,0.728000,0.158543,90.50,6.10,80.00,100.00,1.066027,0.277953,13.056705,4.895463,1.585354,0.963305,44.397177,0.106622,0.4401,0.0364,10.6781,5.0052
both,symmetric,1.0,1.0,margin,top50,1,5,20,3.70,1.27,2,6,0.742082,0.289638,83.00,6.40,75.00,95.00,0.654905,0.091008,7.423205,2.140853,6.091289,1.726391,44.244163,0.284835,0.3730,0.0569,1.4375,0.6370
both,symmetric,1.0,1.0,margin,top50,2,10,20,8.30,2.49,4,12,0.920176,0.369390,88.00,8.12,75.00,95.00,0.865245,0.202947,8.447663,2.174086,3.700723,1.610591,44.280608,0.241513,0.4224,0.0202,3.5312,1.1148
both,symmetric,1.0,1.0,margin,top50,4,20,20,15.40,4.86,9,23,0.698692,0.322485,83.50,5.02,75.00,95.00,1.085188,0.526190,11.888764,5.252277,2.504215,1.151191,44.418690,0.037411,0.5151,0.0840,7.7672,2.1896
both,symmetric,1.0,1.0,margin,top50,8,40,20,32.30,16.16,13,60,0.682467,0.249652,87.50,6.42,75.00,100.00,1.318060,0.570474,16.744359,4.678715,3.330066,2.142354,44.438654,0.012834,0.4931,0.0791,15.4750,7.2341
both,symmetric,1.0,1.0,softmax,top50,1,5,20,6.60,1.36,5,9,0.416698,0.217582,86.00,8.89,70.00,95.00,0.847341,0.179447,10.584388,2.432204,3.170528,1.057421,44.417244,0.037659,0.4885,0.0745,3.2594,0.9261
both,symmetric,1.0,1.0,softmax,top50,2,10,20,10.20,2.79,6,14,0.510027,0.214941,85.50,6.10,75.00,95.00,1.038036,0.424826,10.221801,3.181013,2.745436,1.051929,44.282959,0.282147,0.5078,0.0859,5.1453,1.4807
both,symmetric,1.0,1.0,softmax,top50,4,20,20,17.50,5.10,11,26,0.484009,0.292648,83.00,9.00,70.00,95.00,1.171256,0.414798,14.126856,3.457227,2.142693,0.924020,44.382201,0.108496,0.4646,0.0471,8.0828,2.2542
both,symmetric,1.0,1.0,softmax,top50,8,40,20,22.60,8.71,13,42,2.102277,2.056270,89.50,9.07,65.00,95.00,1.315229,0.349467,17.230808,6.392030,2.468989,1.586086,44.357045,0.154025,0.5291,0.0926,12.1281,5.2892
both,symmetric,1.0,1.0,regret,top50,1,5,20,1.50,0.50,1,2,0.798127,0.240670,80.00,3.87,75.00,85.00,0.639535,0.081024,6.651060,1.836427,9.424060,0.944473,44.031285,0.350369,0.1836,0.1412,0.3453,0.3039
