mode,sampling_mode,chance_temperature,utility_temperature,fitness_type,stop_mode,n_decision_rules,n_decision_rules_pct,total_rules,stop_gen_mean,stop_gen_std,stop_gen_min,stop_gen_max,fitness_mean,fitness_std,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,mse_chance_mean,mse_chance_std,mse_utility_mean,mse_utility_std,entropy_norm_mean,entropy_norm_std,util_dev_mean,util_dev_std,cpu_per_gen_mean,cpu_per_gen_std,cpu_total_mean,cpu_total_std
both,non_symmetric,1.0,1.0,binary,top50,1,5,20,1.50,0.50,1,2,0.442000,0.034000,81.00,5.39,70.00,85.00,0.606144,0.134993,5.267433,1.086303,10.682105,0.636082,42.710075,1.719536,0.0375,0.0058,0.0578,0.0243
both,non_symmetric,1.0,1.0,binary,top50,2,10,20,3.70,1.19,1,5,0.508000,0.136880,87.50,6.80,75.00,95.00,0.589306,0.144496,4.767927,1.977509,10.750785,1.168819,40.455579,2.044200,0.0386,0.0041,0.1453,0.0504
both,non_symmetric,1.0,1.0,binary,top50,4,20,20,10.00,5.40,4,24,0.550000,0.087293,91.00,5.83,80.00,100.00,0.600113,0.127779,6.752508,3.127744,9.801040,2.681223,39.926606,2.353099,0.0407,0.0017,0.4062,0.2170
both,non_symmetric,1.0,1.0,binary,top50,8,40,20,16.30,7.46,9,32,0.628000,0.160549,93.50,4.50,85.00,100.00,0.641715,0.164978,5.599323,1.778146,8.766012,3.118019,39.705005,2.656010,0.0402,0.0014,0.6609,0.3126
both,non_symmetric,1.0,1.0,margin,top50,1,5,20,3.50,0.92,2,5,0.579907,0.279830,83.50,4.50,75.00,90.00,0.630157,0.115367,4.686538,1.734447,11.203965,1.714047,40.322371,1.600620,0.0408,0.0033,0.1422,0.0353
both,non_symmetric,1.0,1.0,margin,top50,2,10,20,6.90,2.66,4,12,0.644647,0.191877,87.50,4.03,85.00,95.00,0.592574,0.143247,4.405161,1.365720,11.595734,1.566215,39.939341,0.916708,0.0413,0.0013,0.2875,0.1190
both,non_symmetric,1.0,1.0,margin,top50,4,20,20,12.10,4.78,5,24,0.676737,0.313776,87.50,4.61,80.00,95.00,0.676758,0.197393,6.354396,2.696323,9.704007,2.942779,39.908877,3.195242,0.0413,0.0015,0.4984,0.1899
both,non_symmetric,1.0,1.0,margin,top50,8,40,20,21.80,13.26,13,60,0.555122,0.260910,91.00,7.68,70.00,95.00,0.921649,0.327206,7.583466,5.237483,9.166695,2.385382,36.867139,2.553495,0.0410,0.0011,0.8969,0.5495
both,non_symmetric,1.0,1.0,softmax,top50,1,5,20,6.80,1.99,5,11,0.119874,0.037735,81.50,8.38,65.00,95.00,0.669144,0.183086,5.890453,3.178012,9.250581,2.122348,39.877666,2.172638,0.0421,0.0021,0.2875,0.0879
both,non_symmetric,1.0,1.0,softmax,top50,2,10,20,9.60,2.97,6,16,0.222854,0.369685,87.00,8.72,65.00,95.00,0.746455,0.232336,5.790472,1.825484,9.551134,2.754603,39.471700,2.963875,0.0419,0.0017,0.4000,0.1170
both,non_symmetric,1.0,1.0,softmax,top50,4,20,20,15.10,5.47,10,29,0.296276,0.487222,86.50,10.01,65.00,95.00,0.797207,0.285323,6.579418,2.062957,9.340768,3.937682,38.066836,4.845559,0.0422,0.0014,0.6375,0.2345
both,non_symmetric,1.0,1.0,softmax,top50,8,40,20,19.60,4.45,14,30,2.169424,4.032906,91.00,4.90,85.00,95.00,0.840101,0.266785,9.796112,5.719699,7.053320,3.076329,40.429293,3.735121,0.0437,0.0012,0.8578,0.2009
both,non_symmetric,1.0,1.0,regret,top50,1,5,20,1.60,0.66,1,3,0.664118,0.325953,82.00,4.58,75.00,90.00,0.594187,0.085026,5.514493,1.097668,10.572392,1.061049,43.255529,1.133455,0.0440,0.0050,0.0703,0.0290
both,non_symmetric,1.0,1.0,regret,top50,2,10,20,4.30,2.05,1,8,0.783488,0.336984,82.50,5.12,70.00,90.00,0.600109,0.109510,4.247548,1.350309,9.472232,1.822965,41.458611,1.542705,0.0410,0.0036,0.1734,0.0804
both,non_symmetric,1.0,1.0,regret,top50,4,20,20,11.10,4.35,6,20,0.541142,0.200697,88.00,6.78,75.00,100.00,0.796994,0.203474,9.793180,6.362669,6.570137,3.204851,41.394023,2.792536,0.0413,0.0031,0.4609,0.1879
both,non_symmetric,1.0,1.0,regret,top50,8,40,20,20.20,6.58,10,35,0.115302,0.131221,96.50,2.29,95.00,100.00,1.101757,0.308213,18.642605,8.892439,4.061786,2.380633,34.551184,7.392668,0.0410,0.0011,0.8266,0.2652
both,non_symmetric,1.0,1.0,entropy,top50,1,5,20,6.10,1.92,4,10,0.178191,0.062264,82.50,8.44,65.00,95.00,0.681303,0.162558,6.373067,2.948435,10.166856,2.579257,40.047148,1.822997,0.0414,0.0017,0.2531,0.0817
both,non_symmetric,1.0,1.0,entropy,top50,2,10,20,8.90,2.21,5,12,0.243638,0.208874,86.50,8.67,65.00,100.00,0.616480,0.155561,6.549828,2.319650,10.111191,2.983360,40.275473,2.484322,0.0435,0.0028,0.3859,0.0971
both,non_symmetric,1.0,1.0,entropy,top50,4,20,20,14.40,4.88,10,24,0.459847,0.583751,89.00,6.63,75.00,95.00,0.867184,0.326220,6.510750,2.963446,9.155175,3.300590,40.300674,2.811459,0.0481,0.0078,0.6922,0.2713
both,non_symmetric,1.0,1.0,entropy,top50,8,40,20,20.10,9.09,12,45,0.768936,1.406643,90.50,6.50,75.00,95.00,0.957853,0.356224,9.809918,4.228382,8.145492,2.859859,38.630910,3.701519,0.0468,0.0020,0.9375,0.4118
both,symmetric,1.0,1.0,binary,top50,1,5,20,1.60,0.66,1,3,0.392000,0.077563,82.00,4.00,75.00,85.00,0.621742,0.105794,5.623839,1.120799,10.950437,1.076380,42.946418,1.448339,0.0422,0.0063,0.0688,0.0329
both,symmetric,1.0,1.0,binary,top50,2,10,20,4.00,1.48,1,7,0.564000,0.106508,84.00,5.83,75.00,95.00,0.714042,0.147371,4.296319,1.363721,9.740800,1.811895,40.609591,1.978681,0.0427,0.0025,0.1703,0.0650
both,symmetric,1.0,1.0,binary,top50,4,20,20,11.20,4.89,5,20,0.618000,0.132197,88.50,6.34,75.00,95.00,0.777599,0.317060,5.138568,2.446837,7.217229,3.631223,41.268723,2.590326,0.0413,0.0027,0.4656,0.2144
both,symmetric,1.0,1.0,binary,top50,8,40,20,22.20,14.86,12,60,0.724000,0.198151,93.50,6.34,75.00,100.00,0.864293,0.258185,5.820181,1.777036,5.563454,3.347536,41.904750,2.738985,0.0402,0.0017,0.8984,0.6259
both,symmetric,1.0,1.0,margin,top50,1,5,20,3.20,0.40,3,4,0.585093,0.178078,84.00,5.83,75.00,95.00,0.656036,0.120683,4.310431,1.448167,11.394056,1.289264,40.902027,1.673948,0.0458,0.0039,0.1469,0.0234
both,symmetric,1.0,1.0,margin,top50,2,10,20,9.90,6.01,4,23,0.706404,0.207803,84.00,5.39,75.00,95.00,0.705211,0.160486,5.011952,2.113188,7.899566,3.495217,41.669245,1.978203,0.0433,0.0033,0.4250,0.2483
both,symmetric,1.0,1.0,margin,top50,4,20,20,18.10,11.46,5,42,0.811631,0.436975,89.50,7.89,75.00,95.00,0.803509,0.180080,7.007285,2.853533,6.243597,4.590104,42.433735,2.486985,0.0427,0.0036,0.7594,0.4767
both,symmetric,1.0,1.0,margin,top50,8,40,20,25.70,15.48,13,60,0.800148,0.534712,92.00,4.58,85.00,95.00,0.851078,0.310198,8.171258,4.719156,6.375580,4.174698,41.651192,1.265027,0.0428,0.0012,1.1016,0.6710
both,symmetric,1.0,1.0,softmax,top50,1,5,20,6.50,1.36,5,8,0.105408,0.055835,87.50,5.59,80.00,95.00,0.660401,0.139334,5.179209,1.811291,9.647770,2.153357,41.648948,1.929085,0.0440,0.0023,0.2875,0.0692
both,symmetric,1.0,1.0,softmax,top50,2,10,20,12.40,5.31,6,25,0.217360,0.206267,91.50,4.50,85.00,95.00,0.688545,0.163255,7.070867,2.692832,7.768088,3.635736,41.681212,1.981027,0.0439,0.0025,0.5469,0.2377
both,symmetric,1.0,1.0,softmax,top50,4,20,20,17.80,4.21,12,25,0.943436,1.430193,92.00,4.58,85.00,95.00,0.807105,0.101081,7.350230,2.108421,5.526146,4.175232,42.285288,2.762857,0.0424,0.0016,0.7516,0.1618
both,symmetric,1.0,1.0,softmax,top50,8,40,20,25.40,8.67,16,42,1.688424,2.604088,93.00,4.00,85.00,95.00,0.993718,0.310758,8.458866,4.167599,4.299914,3.566110,42.107871,4.056163,0.0445,0.0023,1.1250,0.3643
