mode,sampling_mode,chance_temperature,utility_temperature,fitness_type,stop_mode,n_decision_rules,n_decision_rules_pct,total_rules,stop_gen_mean,stop_gen_std,stop_gen_min,stop_gen_max,fitness_mean,fitness_std,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,mse_chance_mean,mse_chance_std,mse_utility_mean,mse_utility_std,entropy_norm_mean,entropy_norm_std,util_dev_mean,util_dev_std,cpu_per_gen_mean,cpu_per_gen_std,cpu_total_mean,cpu_total_std
both,non_symmetric,1.0,1.0,binary,top50,1,5,20,1.80,0.40,1,2,0.349000,0.075442,91.50,3.91,85.00,95.00,0.519137,0.054488,5.283148,0.678872,7.088920,0.856190,44.400183,0.030274,0.4125,0.0251,0.7422,0.1706
both,non_symmetric,1.0,1.0,binary,top50,2,10,20,4.20,1.17,2,7,0.561750,0.043761,94.50,5.22,85.00,100.00,0.610731,0.096728,6.673735,1.237563,2.672318,1.334783,44.441988,0.006684,0.3925,0.0386,1.6453,0.4946
both,non_symmetric,1.0,1.0,binary,top50,4,20,20,9.10,1.30,7,11,0.657750,0.072874,96.50,2.29,95.00,100.00,0.708183,0.071306,8.281819,0.739965,0.438032,0.065787,44.444444,0.000000,0.3296,0.0086,2.9984,0.4317
both,non_symmetric,1.0,1.0,binary,top50,8,40,20,17.30,14.27,11,60,0.875000,0.100939,99.50,1.50,95.00,100.00,0.808649,0.138067,10.633837,1.673888,0.412628,0.000000,44.444444,0.000000,0.3246,0.0047,5.6172,4.6438
both,non_symmetric,1.0,1.0,margin,top50,1,5,20,3.70,0.90,3,6,0.911098,0.100342,94.00,4.36,85.00,100.00,0.568725,0.100893,6.684959,1.268290,3.327971,0.958297,44.441650,0.005139,0.3302,0.0112,1.2250,0.3133
both,non_symmetric,1.0,1.0,margin,top50,2,10,20,10.10,3.88,3,17,1.118107,0.251797,97.00,2.45,95.00,100.00,0.710746,0.127669,9.221680,1.534123,0.931624,1.432749,44.444038,0.001219,0.3307,0.0046,3.3297,1.2618
both,non_symmetric,1.0,1.0,margin,top50,4,20,20,23.90,14.46,11,49,1.222062,0.228482,99.50,1.50,95.00,100.00,0.859114,0.112641,11.070332,1.640403,0.412628,0.000000,44.444444,0.000000,0.3287,0.0214,7.8016,4.6665
both,non_symmetric,1.0,1.0,margin,top50,8,40,20,40.50,17.41,19,60,3.438800,2.566797,99.50,1.50,95.00,100.00,0.873298,0.112493,11.883785,2.034528,0.412628,0.000000,44.444444,0.000000,0.3350,0.0246,13.5234,5.8817
both,non_symmetric,1.0,1.0,softmax,top50,1,5,20,5.80,0.87,5,8,0.582334,0.072779,96.00,2.00,95.00,100.00,0.635176,0.068170,7.973160,1.192098,1.185602,0.559059,44.444444,0.000000,0.3287,0.0066,1.9078,0.3000
both,non_symmetric,1.0,1.0,softmax,top50,2,10,20,10.10,2.30,6,13,0.949490,0.125094,98.50,2.29,95.00,100.00,0.681642,0.106210,8.947056,1.560549,0.440575,0.078942,44.444444,0.000000,0.3315,0.0128,3.3656,0.8443
both,non_symmetric,1.0,1.0,softmax,top50,4,20,20,15.20,2.14,12,20,1.356329,0.326989,100.00,0.00,100.00,100.00,0.783107,0.150896,10.136141,1.407686,0.412628,0.000000,44.444444,0.000000,0.3909,0.0722,5.9516,1.3530
both,non_symmetric,1.0,1.0,softmax,top50,8,40,20,18.30,3.23,15,26,3.015711,1.857966,99.50,1.50,95.00,100.00,0.951079,0.206938,11.135391,1.856075,0.412628,0.000000,44.444444,0.000000,0.3450,0.0041,6.3172,1.1519
both,non_symmetric,1.0,1.0,regret,top50,1,5,20,1.80,0.40,1,2,0.665447,0.296308,91.00,4.90,85.00,100.00,0.508617,0.052366,5.256644,0.737712,7.009936,0.901612,44.397881,0.038624,0.3234,0.0141,0.5859,0.1421
both,non_symmetric,1.0,1.0,regret,top50,2,10,20,3.80,0.87,2,5,1.022840,0.191850,94.00,2.00,90.00,95.00,0.532765,0.093811,6.314273,0.995777,3.331654,1.575579,44.440897,0.007463,0.3925,0.0520,1.5016,0.4037
both,non_symmetric,1.0,1.0,regret,top50,4,20,20,7.20,1.17,6,9,1.426178,0.346369,97.00,2.45,95.00,100.00,0.643411,0.063634,7.719527,0.840724,0.747962,0.368238,44.444444,0.000001,0.3646,0.0455,2.6516,0.6827
both,non_symmetric,1.0,1.0,regret,top50,8,40,20,12.00,3.41,10,22,2.113002,0.619562,100.00,0.00,100.00,100.00,0.727709,0.065920,8.091747,0.480287,0.412628,0.000000,44.444444,0.000000,0.3183,0.0069,3.8219,1.0945
both,non_symmetric,1.0,1.0,entropy,top50,1,5,20,5.50,0.67,5,7,0.639205,0.105902,95.50,1.50,95.00,100.00,0.615216,0.060496,7.337376,1.403565,1.338381,0.557744,44.444444,0.000002,0.3320,0.0143,1.8250,0.2268
both,non_symmetric,1.0,1.0,entropy,top50,2,10,20,10.40,2.62,6,14,0.949718,0.226212,98.00,4.58,85.00,100.00,0.724123,0.101495,8.930785,1.777366,0.490856,0.205305,44.444444,0.000000,0.3307,0.0066,3.4422,0.8836
both,non_symmetric,1.0,1.0,entropy,top50,4,20,20,15.60,2.84,10,19,1.168233,0.303264,99.00,2.00,95.00,100.00,0.729099,0.108573,11.364916,1.565558,0.412628,0.000000,44.444444,0.000000,0.4124,0.0502,6.4313,1.3272
both,non_symmetric,1.0,1.0,entropy,top50,8,40,20,19.50,3.88,11,27,2.824020,2.019561,99.00,3.00,90.00,100.00,0.940798,0.197089,9.929762,1.243012,0.412628,0.000000,44.444444,0.000000,0.3671,0.0384,7.2578,2.1929
both,symmetric,1.0,1.0,binary,top50,1,5,20,1.80,0.40,1,2,0.382250,0.058175,88.50,3.91,85.00,95.00,0.524764,0.046798,5.178565,0.557568,7.050766,0.893383,44.384216,0.027505,0.3102,0.0144,0.5609,0.1345
both,symmetric,1.0,1.0,binary,top50,2,10,20,4.30,1.00,2,6,0.578500,0.068567,92.00,4.00,85.00,95.00,0.632669,0.069279,6.297635,1.274180,2.643372,1.745836,44.439914,0.008807,0.3089,0.0102,1.3328,0.3274
both,symmetric,1.0,1.0,binary,top50,4,20,20,9.20,1.17,8,12,0.678250,0.055858,99.00,2.00,95.00,100.00,0.740965,0.111792,8.796210,1.494816,0.431407,0.044407,44.444444,0.000000,0.3644,0.0465,3.3531,0.5926
both,symmetric,1.0,1.0,binary,top50,8,40,20,18.40,13.92,12,60,0.833000,0.133097,100.00,0.00,100.00,100.00,0.831054,0.100380,9.037261,1.646609,0.412628,0.000000,44.444444,0.000000,0.3325,0.0347,6.0312,4.3374
both,symmetric,1.0,1.0,margin,top50,1,5,20,3.70,0.90,3,6,0.927133,0.125633,93.00,4.00,85.00,100.00,0.560436,0.088181,5.578696,1.220172,3.308921,1.093247,44.433149,0.015949,0.3193,0.0083,1.1828,0.2966
both,symmetric,1.0,1.0,margin,top50,2,10,20,10.00,3.13,4,15,1.190757,0.319337,98.00,2.45,95.00,100.00,0.709745,0.104478,8.889441,1.434945,0.690514,0.824079,44.444441,0.000009,0.3167,0.0128,3.1375,0.9235
both,symmetric,1.0,1.0,margin,top50,4,20,20,27.70,21.28,11,60,1.664587,0.720777,99.50,1.50,95.00,100.00,0.758090,0.093786,10.188375,2.246656,0.412628,0.000000,44.444444,0.000000,0.3699,0.0436,10.6625,8.9191
