mode,sampling_mode,chance_temperature,utility_temperature,fitness_type,stop_mode,n_decision_rules,n_decision_rules_pct,total_rules,stop_gen_mean,stop_gen_std,stop_gen_min,stop_gen_max,fitness_mean,fitness_std,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,mse_chance_mean,mse_chance_std,mse_utility_mean,mse_utility_std,entropy_norm_mean,entropy_norm_std,util_dev_mean,util_dev_std,cpu_per_gen_mean,cpu_per_gen_std,cpu_total_mean,cpu_total_std
both,non_symmetric,1.0,1.0,binary,top50,1,5,20,1.70,0.90,1,4,0.414000,0.061351,80.50,4.15,75.00,85.00,0.584905,0.083536,5.539900,1.438884,10.761276,0.751407,44.085602,0.346358,0.0473,0.0079,0.0813,0.0473
both,non_symmetric,1.0,1.0,binary,top50,2,10,20,4.70,1.79,1,8,0.608000,0.116000,84.50,6.50,75.00,95.00,0.580862,0.075442,5.928706,1.692086,11.433286,1.051112,43.516256,0.718992,0.0424,0.0029,0.1984,0.0778
both,non_symmetric,1.0,1.0,binary,top50,4,20,20,9.20,2.48,6,14,0.538000,0.075073,88.50,5.02,80.00,95.00,0.635081,0.157379,8.089825,2.188248,12.047260,0.822093,42.997138,1.099608,0.0398,0.0017,0.3641,0.0914
both,non_symmetric,1.0,1.0,binary,top50,8,40,20,16.90,14.49,10,60,0.644000,0.148540,93.00,4.00,85.00,95.00,0.782317,0.265328,7.919922,3.511172,12.450295,0.765652,42.280521,1.546737,0.0405,0.0020,0.6797,0.5661
both,non_symmetric,1.0,1.0,margin,top50,1,5,20,4.80,1.25,3,7,0.640094,0.202628,88.50,4.50,85.00,95.00,0.605499,0.122895,7.626002,1.673674,11.342443,0.563038,43.276501,0.415860,0.0427,0.0018,0.2047,0.0534
both,non_symmetric,1.0,1.0,margin,top50,2,10,20,6.90,1.22,4,9,0.788193,0.257493,85.00,7.75,75.00,95.00,0.605418,0.074741,4.933384,2.248060,11.720159,1.028001,42.511051,1.328903,0.0407,0.0018,0.2797,0.0433
both,non_symmetric,1.0,1.0,margin,top50,4,20,20,11.60,2.06,8,15,0.517249,0.207487,88.00,6.00,75.00,95.00,0.641399,0.161870,7.881550,3.187744,12.307868,0.619158,42.270881,0.909864,0.0432,0.0040,0.5031,0.1183
both,non_symmetric,1.0,1.0,margin,top50,8,40,20,18.00,8.15,11,38,0.495348,0.216729,91.50,7.09,75.00,100.00,0.743704,0.312245,8.501350,3.501760,12.275939,1.270846,41.320142,2.856496,0.0446,0.0035,0.7953,0.3563
both,non_symmetric,1.0,1.0,softmax,top50,1,5,20,7.10,1.37,5,10,0.115278,0.110405,86.50,6.34,75.00,95.00,0.691139,0.156367,8.107793,3.183460,11.973500,1.035473,43.222717,0.848924,0.0428,0.0021,0.3047,0.0626
both,non_symmetric,1.0,1.0,softmax,top50,2,10,20,9.50,1.43,7,13,0.121572,0.114974,86.50,5.50,75.00,95.00,0.626751,0.126208,8.626657,2.165829,11.946876,0.773821,43.288356,0.560509,0.0426,0.0016,0.4047,0.0623
both,non_symmetric,1.0,1.0,softmax,top50,4,20,20,14.70,2.49,11,19,0.107178,0.082077,89.50,4.72,85.00,95.00,0.796782,0.242936,9.981548,2.791065,12.278583,0.700955,42.724623,1.300835,0.0438,0.0020,0.6438,0.1135
both,non_symmetric,1.0,1.0,softmax,top50,8,40,20,18.80,3.52,14,25,0.421517,0.627843,92.00,4.58,85.00,95.00,0.740092,0.290784,10.443434,4.809888,12.073049,0.888559,40.564516,5.104330,0.0477,0.0052,0.9078,0.2552
both,non_symmetric,1.0,1.0,regret,top50,1,5,20,1.70,0.90,1,4,0.824678,0.318706,80.50,4.15,75.00,85.00,0.584821,0.085986,5.665530,1.135233,10.724757,0.732235,44.043282,0.444939,0.0484,0.0125,0.0797,0.0392
both,non_symmetric,1.0,1.0,regret,top50,2,10,20,4.50,1.50,1,6,1.030476,0.355285,85.00,5.00,75.00,95.00,0.551172,0.082284,5.239458,0.887373,11.137997,0.911346,43.483945,0.754785,0.0445,0.0046,0.1984,0.0678
both,non_symmetric,1.0,1.0,regret,top50,4,20,20,9.90,2.55,6,13,0.691998,0.332181,87.50,6.80,75.00,95.00,0.652402,0.241210,6.613735,2.003920,12.504136,0.674664,42.683956,1.621226,0.0470,0.0068,0.4688,0.1564
both,non_symmetric,1.0,1.0,regret,top50,8,40,20,19.30,13.99,11,60,0.221845,0.156351,91.00,4.90,85.00,95.00,0.799862,0.274468,8.099709,5.424314,12.150105,1.036192,40.841665,3.609346,0.0447,0.0053,0.8688,0.6563
both,non_symmetric,1.0,1.0,entropy,top50,1,5,20,6.70,1.49,4,10,0.181195,0.118204,88.00,7.48,75.00,100.00,0.651478,0.176247,7.757559,2.135001,11.632885,0.907091,43.216211,0.821303,0.0444,0.0024,0.2969,0.0659
