fitness_type,stop_mode,n_decision_rules,n_decision_rules_pct,stop_gen_mean,stop_gen_std,stop_gen_min,stop_gen_max,generation,mean_fitness,mean_accuracy,mean_error,fitness_std,accuracy_std
regret,top10,1,5,,,,,1,1.303504,50.0,,0.148078,1.32
regret,top10,2,10,,,,,1,2.293362,51.3,,0.132094,1.23
regret,top10,4,20,,,,,1,4.832005,50.71,,0.322927,1.86
regret,top10,4,20,,,,,2,4.613346,50.34,,0.380894,1.83
regret,top10,4,20,,,,,3,4.276291,50.86,,0.693461,1.61
regret,top10,4,20,,,,,4,4.17901,51.39,,0.833307,1.69
regret,top10,4,20,,,,,5,4.28598,52.11,,0.681006,2.61
regret,top10,6,30,,,,,1,7.701321,49.93,,0.37712,1.63
regret,top10,6,30,,,,,2,7.24912,50.03,,0.822797,2.12
regret,top10,6,30,,,,,3,6.638892,50.22,,0.845278,1.82
regret,top10,6,30,,,,,4,5.932827,51.09,,0.769322,1.94
regret,top10,6,30,,,,,5,6.084782,51.06,,0.846888,1.59
regret,top10,6,30,,,,,6,5.438924,51.45,,0.913389,0.86
regret,top10,6,30,,,,,7,4.879544,51.12,,0.92644,0.68
regret,top10,6,30,,,,,8,4.70605,51.91,,1.100047,0.47
regret,top10,6,30,,,,,9,4.41858,52.28,,1.357995,1.42
regret,top10,6,30,,,,,10,4.004982,53.3,,1.397613,1.26
regret,top10,6,30,,,,,11,3.153676,53.94,,1.813292,1.02
regret,top10,6,30,,,,,12,3.207084,53.34,,1.73902,1.44
regret,top10,6,30,,,,,13,2.983304,53.76,,1.929774,1.32
regret,top10,6,30,,,,,14,2.835471,53.56,,2.057073,0.94
regret,top10,6,30,,,,,15,2.759947,54.04,,2.128223,1.43
regret,top10,6,30,,,,,16,2.645102,54.84,,2.242316,2.01
regret,top10,6,30,,,,,17,2.645788,54.67,,2.241582,1.79
regret,top10,6,30,,,,,18,2.630368,54.79,,2.258227,1.95
regret,top10,6,30,,,,,19,2.628825,54.69,,2.259909,1.81
