mode,sampling_mode,chance_temperature,utility_temperature,fitness_type,stop_mode,n_decision_rules,n_decision_rules_pct,generation,mean_fitness,mean_accuracy,mean_error_chance,mean_error_utility,mean_entropy_norm,mean_util_dev
both,non_symmetric,1.0,1.0,binary,top50,2,10,1,0.932000,51.34,1.510391,18.699708,11.663199,36.743727
both,non_symmetric,1.0,1.0,binary,top50,2,10,2,0.888000,50.48,1.571192,18.930940,9.666125,36.920501
both,non_symmetric,1.0,1.0,binary,top50,2,10,3,0.796000,52.12,1.655936,18.800844,8.470657,37.061685
both,non_symmetric,1.0,1.0,binary,top50,2,10,4,0.728000,52.92,1.660895,19.300359,7.928733,37.330460
both,non_symmetric,1.0,1.0,binary,top50,2,10,5,0.684000,53.34,1.717939,19.782239,7.658566,37.642854
both,non_symmetric,1.0,1.0,binary,top50,2,10,6,0.640000,54.50,1.732526,19.461004,7.411973,37.727855
both,non_symmetric,1.0,1.0,binary,top50,2,10,7,0.620000,53.70,1.724969,19.799809,7.317497,37.624850
both,non_symmetric,1.0,1.0,binary,top50,1,5,1,0.508000,51.34,1.510391,18.699708,11.663199,36.743727
both,non_symmetric,1.0,1.0,binary,top50,1,5,2,0.396000,50.88,1.587871,19.114323,10.266555,36.788682
both,non_symmetric,1.0,1.0,binary,top50,4,20,1,1.904000,51.34,1.510391,18.699708,11.663199,36.743727
both,non_symmetric,1.0,1.0,binary,top50,4,20,2,1.728000,51.24,1.632464,18.881956,9.394493,36.107135
both,non_symmetric,1.0,1.0,binary,top50,4,20,3,1.640000,53.76,1.671629,20.429011,7.890481,36.997710
both,non_symmetric,1.0,1.0,binary,top50,4,20,4,1.460000,52.18,1.736849,21.786051,6.818349,37.232035
both,non_symmetric,1.0,1.0,binary,top50,4,20,5,1.236000,54.42,1.728828,23.012349,5.910493,37.422977
both,non_symmetric,1.0,1.0,binary,top50,4,20,6,1.140000,54.68,1.748409,23.320430,5.312088,38.827035
both,non_symmetric,1.0,1.0,binary,top50,4,20,7,1.104000,56.60,1.771421,24.057523,4.897938,38.637347
both,non_symmetric,1.0,1.0,binary,top50,4,20,8,1.000000,58.38,1.776868,24.129540,4.559163,39.049970
both,non_symmetric,1.0,1.0,binary,top50,4,20,9,0.920000,59.84,1.799132,23.532613,4.187306,39.449920
