mode,sampling_mode,chance_temperature,utility_temperature,fitness_type,stop_mode,n_decision_rules,n_decision_rules_pct,generation,mean_fitness,mean_accuracy,mean_error_chance,mean_error_utility,mean_entropy_norm,mean_util_dev
both,non_symmetric,1.0,1.0,binary,top50,2,10,1,0.932000,51.34,1.510391,18.699708,11.663199,36.743727
both,non_symmetric,1.0,1.0,binary,top50,2,10,2,0.920000,50.96,1.419858,17.476212,12.859560,34.075161
both,non_symmetric,1.0,1.0,binary,top50,2,10,3,0.892000,51.48,1.415332,16.838032,12.912452,32.791216
both,non_symmetric,1.0,1.0,binary,top50,2,10,4,0.900000,49.74,1.379360,16.768474,12.684957,32.582083
both,non_symmetric,1.0,1.0,binary,top50,2,10,5,0.860000,49.26,1.385898,15.863555,12.186075,32.075237
both,non_symmetric,1.0,1.0,binary,top50,2,10,6,0.752000,51.96,1.347297,16.283636,12.209749,32.037363
both,non_symmetric,1.0,1.0,binary,top50,2,10,7,0.696000,51.38,1.373477,16.458922,11.991799,31.849261
both,non_symmetric,1.0,1.0,binary,top50,2,10,8,0.632000,52.58,1.421255,16.612749,11.685923,31.667276
both,non_symmetric,1.0,1.0,binary,top50,8,40,1,3.852000,51.34,1.510391,18.699708,11.663199,36.743727
both,non_symmetric,1.0,1.0,binary,top50,8,40,2,3.640000,53.38,1.482831,16.763333,13.123774,32.918352
both,non_symmetric,1.0,1.0,binary,top50,8,40,3,3.544000,54.56,1.497026,16.119949,13.318787,31.463094
both,non_symmetric,1.0,1.0,binary,top50,8,40,4,3.384000,53.78,1.533484,16.318777,12.999445,31.598611
both,non_symmetric,1.0,1.0,binary,top50,8,40,5,3.220000,55.92,1.549312,16.615502,12.250078,31.733195
both,non_symmetric,1.0,1.0,binary,top50,8,40,6,3.120000,55.68,1.565597,16.255044,11.837918,32.051785
both,non_symmetric,1.0,1.0,binary,top50,8,40,7,2.772000,57.36,1.542950,16.773401,11.335690,32.295232
both,non_symmetric,1.0,1.0,binary,top50,8,40,8,2.492000,59.34,1.589360,17.255918,10.385903,32.258841
both,non_symmetric,1.0,1.0,binary,top50,8,40,9,2.456000,58.88,1.680156,17.140437,9.664482,33.339098
both,non_symmetric,1.0,1.0,binary,top50,8,40,10,2.076000,60.10,1.695076,16.619457,9.032691,33.654558
both,non_symmetric,1.0,1.0,binary,top50,8,40,11,2.232000,59.42,1.752361,17.658301,7.918266,33.909393
both,non_symmetric,1.0,1.0,binary,top50,8,40,12,2.068000,60.82,1.760900,17.677726,7.457194,34.848707
both,non_symmetric,1.0,1.0,binary,top50,8,40,13,1.856000,63.56,1.750171,16.791879,7.327001,34.333192
both,non_symmetric,1.0,1.0,binary,top50,8,40,14,1.812000,63.66,1.795474,17.088082,6.709523,35.072484
both,non_symmetric,1.0,1.0,binary,top50,8,40,15,1.808000,64.20,1.745691,17.978553,6.334517,35.739766
both,non_symmetric,1.0,1.0,binary,top50,8,40,16,1.832000,65.20,1.847533,18.251433,5.810535,35.459892
both,non_symmetric,1.0,1.0,binary,top50,8,40,17,1.760000,66.20,1.875127,18.598979,5.213473,35.873555
both,non_symmetric,1.0,1.0,binary,top50,8,40,18,1.816000,65.16,1.916560,19.441462,4.742279,35.726552
both,non_symmetric,1.0,1.0,binary,top50,8,40,19,1.656000,66.18,1.916467,19.935825,4.414102,35.532410
both,non_symmetric,1.0,1.0,binary,top50,8,40,20,1.508000,68.14,1.917769,19.722891,4.100321,35.965412
both,non_symmetric,1.0,1.0,binary,top50,8,40,21,1.512000,69.46,1.917040,19.601851,3.988502,36.748704
both,non_symmetric,1.0,1.0,binary,top50,8,40,22,1.504000,68.90,1.970469,19.309775,3.738089,36.897054
both,non_symmetric,1.0,1.0,binary,top50,8,40,23,1.500000,69.70,1.958927,19.504710,3.625993,36.828032
both,non_symmetric,1.0,1.0,margin,top50,2,10,1,3.520707,51.34,1.510391,18.699708,11.663199,36.743727
both,non_symmetric,1.0,1.0,margin,top50,2,10,2,2.528896,52.00,1.442195,15.737007,13.081001,33.011637
both,non_symmetric,1.0,1.0,margin,top50,2,10,3,2.360089,51.42,1.420787,14.443938,13.051967,31.608204
both,non_symmetric,1.0,1.0,margin,top50,2,10,4,2.265143,52.48,1.431136,14.458844,12.306324,31.244827
both,non_symmetric,1.0,1.0,margin,top50,2,10,5,1.798838,52.58,1.452021,13.948762,11.368392,32.740889
both,non_symmetric,1.0,1.0,margin,top50,2,10,6,1.786975,53.46,1.513223,14.046751,11.122722,31.957485
both,non_symmetric,1.0,1.0,margin,top50,2,10,7,1.481518,55.14,1.513225,14.183389,10.605232,31.847172
both,non_symmetric,1.0,1.0,margin,top50,2,10,8,1.362631,53.06,1.538224,13.746964,9.830196,31.967696
both,non_symmetric,1.0,1.0,margin,top50,2,10,9,1.432221,54.92,1.521058,15.412996,9.146521,32.013498
both,non_symmetric,1.0,1.0,margin,top50,2,10,10,1.598988,55.86,1.513211,15.752647,8.871820,32.785718
both,non_symmetric,1.0,1.0,margin,top50,2,10,11,1.314808,54.78,1.554763,15.757465,8.424159,33.533587
both,non_symmetric,1.0,1.0,margin,top50,2,10,12,1.394027,54.74,1.581551,15.828579,8.203043,33.398009
both,non_symmetric,1.0,1.0,margin,top50,2,10,13,1.242914,54.82,1.581807,16.564441,8.030865,33.482179
both,non_symmetric,1.0,1.0,margin,top50,2,10,14,1.333071,53.28,1.616389,16.922627,7.784041,33.735067
both,non_symmetric,1.0,1.0,margin,top50,2,10,15,1.286566,54.26,1.624768,16.802069,7.457331,34.325376
both,non_symmetric,1.0,1.0,margin,top50,2,10,16,1.217885,56.06,1.639454,16.813942,7.313429,34.089831
both,non_symmetric,1.0,1.0,margin,top50,2,10,17,1.461171,55.58,1.665968,17.364113,7.034036,34.062849
