mode,sampling_mode,chance_temperature,utility_temperature,fitness_type,stop_mode,n_decision_rules,n_decision_rules_pct,generation,mean_fitness,mean_accuracy,mean_error_chance,mean_error_utility,mean_entropy_norm,mean_util_dev
both,non_symmetric,1.0,1.0,binary,top50,1,5,1,0.508,51.34,1.510391,18.699708,11.663199,36.743727
both,non_symmetric,1.0,1.0,binary,top50,1,5,2,0.46,51.48,1.52292,17.774335,11.966851,36.46929
both,non_symmetric,1.0,1.0,binary,top50,1,5,3,0.436,51.04,1.517224,17.48225,12.010224,36.578647
both,non_symmetric,1.0,1.0,binary,top50,1,5,4,0.428,51.48,1.47422,17.305586,11.979,36.417037
both,non_symmetric,1.0,1.0,binary,top50,2,10,1,0.932,51.34,1.510391,18.699708,11.663199,36.743727
both,non_symmetric,1.0,1.0,binary,top50,2,10,2,0.996,50.22,1.512079,17.404206,11.845975,36.005031
both,non_symmetric,1.0,1.0,binary,top50,2,10,3,0.896,50.52,1.452813,17.373132,12.071097,36.094596
both,non_symmetric,1.0,1.0,binary,top50,2,10,4,0.84,51.64,1.383295,17.457122,12.106579,35.894442
both,non_symmetric,1.0,1.0,binary,top50,2,10,5,0.768,52.58,1.32893,16.699134,12.125395,35.751354
both,non_symmetric,1.0,1.0,binary,top50,2,10,6,0.74,53.12,1.337299,16.284497,12.087961,35.90449
both,non_symmetric,1.0,1.0,binary,top50,2,10,7,0.624,53.34,1.342332,16.164164,12.285339,35.504836
both,non_symmetric,1.0,1.0,binary,top50,4,20,1,1.904,51.34,1.510391,18.699708,11.663199,36.743727
both,non_symmetric,1.0,1.0,binary,top50,4,20,2,1.968,50.62,1.557989,17.163056,11.889458,35.903223
both,non_symmetric,1.0,1.0,binary,top50,4,20,3,1.772,50.52,1.548371,17.12788,12.048104,35.599527
both,non_symmetric,1.0,1.0,binary,top50,4,20,4,1.528,52.02,1.484197,16.698732,12.197644,35.341548
both,non_symmetric,1.0,1.0,binary,top50,4,20,5,1.444,52.68,1.439742,15.860466,12.236127,35.273727
both,non_symmetric,1.0,1.0,binary,top50,4,20,6,1.44,51.24,1.458094,15.777705,12.18286,35.652984
both,non_symmetric,1.0,1.0,binary,top50,4,20,7,1.092,53.86,1.499499,15.66483,12.407423,35.43188
both,non_symmetric,1.0,1.0,binary,top50,4,20,8,1.004,53.94,1.463851,15.888281,12.410235,35.284117
both,non_symmetric,1.0,1.0,binary,top50,4,20,9,0.976,52.8,1.418704,15.507636,12.33498,35.239758
both,non_symmetric,1.0,1.0,binary,top50,4,20,10,0.836,54.2,1.38693,15.905878,12.230305,35.302713
both,non_symmetric,1.0,1.0,binary,top50,4,20,11,0.868,54.48,1.396378,15.804625,12.333111,35.417639
both,non_symmetric,1.0,1.0,binary,top50,4,20,12,0.752,55.58,1.410408,15.677075,12.25149,35.612385
both,non_symmetric,1.0,1.0,binary,top50,4,20,13,0.76,55.86,1.423966,15.71601,12.182331,35.88603
