mode,sampling_mode,chance_temperature,utility_temperature,fitness_type,stop_mode,n_decision_rules,n_decision_rules_pct,total_rules,stop_gen_mean,stop_gen_std,stop_gen_min,stop_gen_max,fitness_mean,fitness_std,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,mse_chance_mean,mse_chance_std,mse_utility_mean,mse_utility_std,entropy_norm_mean,entropy_norm_std,util_dev_mean,util_dev_std
both,non_symmetric,1.0,1.0,binary,top50,2,10,20,4.40,2.15,1,7,0.620000,0.149131,86.00,3.74,80.00,90.00,0.671015,0.125639,8.375953,1.444236,3.565590,2.633600,44.145422,0.284745
both,non_symmetric,1.0,1.0,binary,top50,1,5,20,1.60,0.49,1,2,0.396000,0.070880,82.00,4.00,75.00,85.00,0.627250,0.079438,6.886283,1.641538,6.098110,1.965513,44.044424,0.254480
both,non_symmetric,1.0,1.0,binary,top50,4,20,20,10.80,2.56,7,15,0.620000,0.119331,93.00,4.00,85.00,95.00,0.961262,0.115305,12.310843,1.992807,1.186905,0.320651,44.441261,0.004890
both,non_symmetric,1.0,1.0,binary,top50,8,40,20,15.80,4.53,10,21,0.780000,0.155949,92.00,2.45,90.00,95.00,0.958278,0.277409,11.261652,2.773076,0.747753,0.622710,44.121679,0.645530
both,non_symmetric,1.0,1.0,margin,top50,1,5,20,4.20,1.17,3,6,0.717881,0.185223,80.00,6.32,70.00,85.00,0.765165,0.097682,10.171623,2.216035,3.452157,1.123790,44.371354,0.077473
both,non_symmetric,1.0,1.0,margin,top50,2,10,20,8.80,2.86,5,13,1.210571,0.341994,82.00,6.00,75.00,90.00,0.834346,0.067486,9.928184,2.949450,1.904573,0.387387,44.434595,0.008561
both,non_symmetric,1.0,1.0,margin,top50,4,20,20,20.80,2.40,16,22,1.808289,0.506170,92.00,2.45,90.00,95.00,1.272650,0.329831,14.418711,1.949356,0.400453,0.254509,44.444139,0.000595
both,non_symmetric,1.0,1.0,margin,top50,8,40,20,28.00,10.56,22,49,3.247816,2.575588,91.00,3.74,85.00,95.00,1.171224,0.362032,15.484515,5.864337,0.808312,0.506336,44.343379,0.126613
both,non_symmetric,1.0,1.0,softmax,top50,1,5,20,6.40,1.02,5,8,0.278307,0.147439,83.00,2.45,80.00,85.00,0.796398,0.102253,9.502100,2.686758,2.273678,0.756628,44.360717,0.082841
both,non_symmetric,1.0,1.0,softmax,top50,2,10,20,9.80,3.97,5,15,0.602789,0.120764,79.00,4.90,75.00,85.00,1.058205,0.298636,11.008757,1.431792,1.300812,0.829972,44.444254,0.000365
