mode,sampling_mode,chance_temperature,utility_temperature,fitness_type,stop_mode,n_decision_rules,n_decision_rules_pct,total_rules,stop_gen_mean,stop_gen_std,stop_gen_min,stop_gen_max,fitness_mean,fitness_std,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,mse_chance_mean,mse_chance_std,mse_utility_mean,mse_utility_std,entropy_norm_mean,entropy_norm_std,util_dev_mean,util_dev_std
both,non_symmetric,1.0,1.0,binary,top50,2,10,20,6.00,2.61,1,8,0.632000,0.123028,80.00,4.47,75.00,85.00,0.618983,0.087990,5.972854,2.851589,7.871715,1.239820,41.236547,1.731521
both,non_symmetric,1.0,1.0,binary,top50,8,40,20,21.80,0.98,20,23,1.500000,0.425770,94.00,3.74,90.00,100.00,1.043080,0.076047,8.489055,2.266614,1.358221,0.573136,44.256673,0.241229
both,non_symmetric,1.0,1.0,margin,top50,2,10,20,14.20,6.58,6,22,1.131208,0.252202,88.00,4.00,85.00,95.00,0.919469,0.307745,8.755287,4.198096,3.857363,2.803716,42.724222,1.838967
both,non_symmetric,1.0,1.0,margin,top50,8,40,20,25.20,1.72,23,28,7.303497,3.869189,94.00,5.83,85.00,100.00,0.986174,0.196213,9.276630,3.908004,0.879074,0.730111,44.253768,0.283429
both,non_symmetric,1.0,1.0,regret,top50,2,10,20,6.60,4.32,1,14,1.137004,0.606093,83.00,2.45,80.00,85.00,0.637865,0.115565,5.307893,2.749071,6.707722,2.455240,41.847963,2.203023
both,non_symmetric,1.0,1.0,binary,top50,1,5,20,1.60,0.49,1,2,0.400000,0.070427,82.00,4.00,75.00,85.00,0.549189,0.067892,5.858103,2.354886,8.850766,0.781856,42.885229,1.263476
both,non_symmetric,1.0,1.0,binary,top50,4,20,20,14.60,4.63,10,22,0.652000,0.127499,88.00,4.00,85.00,95.00,0.797753,0.199521,7.319274,2.514508,3.657644,1.929118,43.582017,0.587300
both,non_symmetric,1.0,1.0,margin,top50,1,5,20,4.40,1.85,3,8,0.747724,0.152392,80.00,3.16,75.00,85.00,0.675742,0.160029,5.405177,1.614540,8.327522,1.792391,42.563680,0.768127
both,non_symmetric,1.0,1.0,margin,top50,4,20,20,19.40,3.56,13,22,1.283036,0.771685,89.00,12.00,65.00,95.00,0.793091,0.134887,7.694773,3.875067,2.233307,2.157675,43.291464,1.281294
both,non_symmetric,1.0,1.0,softmax,top50,1,5,20,8.40,1.85,6,11,0.251766,0.153285,86.00,4.90,80.00,95.00,0.651929,0.062512,5.018666,1.610041,6.740243,2.536715,42.810435,0.886626
both,non_symmetric,1.0,1.0,softmax,top50,2,10,20,14.80,5.19,8,24,0.626026,0.388343,88.00,4.00,85.00,95.00,1.016465,0.260020,7.461979,2.071149,3.411134,1.680710,43.782335,0.526868
both,non_symmetric,1.0,1.0,softmax,top50,4,20,20,20.60,4.50,16,29,2.268351,1.957184,91.00,4.90,85.00,95.00,0.900872,0.122595,8.117609,1.412765,0.959059,0.644669,44.243058,0.216014
both,non_symmetric,1.0,1.0,softmax,top50,8,40,20,30.20,8.61,24,47,4.830916,2.126861,95.00,3.16,90.00,100.00,0.871735,0.173157,10.127498,3.892247,0.614834,0.628447,44.412279,0.036464
both,non_symmetric,1.0,1.0,regret,top50,1,5,20,1.60,0.49,1,2,0.739177,0.202386,83.00,2.45,80.00,85.00,0.668690,0.107150,7.876206,1.218620,9.079486,0.735621,43.243664,0.675398
both,non_symmetric,1.0,1.0,regret,top50,4,20,20,14.40,4.41,8,21,1.213863,0.682906,92.00,8.72,75.00,100.00,0.746745,0.151466,8.206266,3.021544,2.872167,1.889600,42.744577,2.460249
both,non_symmetric,1.0,1.0,regret,top50,8,40,20,22.40,1.50,20,24,2.116204,1.738238,96.00,5.83,85.00,100.00,0.894105,0.134742,14.835282,4.372521,1.148037,0.857818,42.458033,1.709258
both,non_symmetric,1.0,1.0,entropy,top50,1,5,20,8.00,2.28,6,12,0.271265,0.064036,83.00,4.00,75.00,85.00,0.679168,0.103203,5.209930,0.680905,6.875057,3.014356,42.288370,0.718839
both,non_symmetric,1.0,1.0,entropy,top50,2,10,20,17.60,6.41,8,26,0.574693,0.264420,85.00,0.00,85.00,85.00,1.047770,0.175538,10.075748,4.837707,2.517154,2.035660,43.858621,0.531670
both,non_symmetric,1.0,1.0,entropy,top50,4,20,20,23.80,4.96,14,27,2.359927,1.159462,96.00,2.00,95.00,100.00,0.962432,0.292460,10.062700,5.187213,1.556059,1.945194,44.256681,0.344470
both,non_symmetric,1.0,1.0,entropy,top50,8,40,20,28.20,11.00,12,38,3.921446,3.357149,93.00,6.00,85.00,100.00,1.066102,0.172445,9.382046,2.984640,1.359163,1.290471,44.213167,0.448703
both,symmetric,1.0,1.0,binary,top50,1,5,20,1.60,0.49,1,2,0.416000,0.090686,85.00,3.16,80.00,90.00,0.600268,0.067610,6.850639,1.746219,8.704827,0.541478,43.095188,0.998225
both,symmetric,1.0,1.0,binary,top50,2,10,20,7.20,5.74,1,18,0.588000,0.147296,84.00,5.83,75.00,90.00,0.769013,0.412463,7.162365,1.867944,6.271070,2.912850,42.950934,1.286995
both,symmetric,1.0,1.0,binary,top50,4,20,20,13.40,5.50,7,22,0.608000,0.057411,91.00,4.90,85.00,95.00,0.867610,0.131610,6.672776,1.404159,2.785416,1.712486,43.478686,1.072656
both,symmetric,1.0,1.0,binary,top50,8,40,20,22.60,0.80,22,24,1.416000,0.422639,95.00,0.00,95.00,95.00,0.953430,0.179946,11.233190,4.103445,0.623663,0.295388,44.428847,0.029107
both,symmetric,1.0,1.0,margin,top50,1,5,20,4.20,1.60,2,6,0.772337,0.148640,81.00,4.90,75.00,85.00,0.680286,0.033297,5.497905,1.915762,8.351705,1.239450,41.492175,2.177260
both,symmetric,1.0,1.0,margin,top50,2,10,20,14.80,6.31,6,22,1.425867,0.500256,78.00,7.48,65.00,85.00,0.811679,0.106499,5.980110,2.665548,2.458717,1.928418,43.469575,1.065480
both,symmetric,1.0,1.0,margin,top50,4,20,20,22.40,0.49,22,23,3.685044,0.422037,91.00,4.90,85.00,95.00,0.949808,0.237530,8.155204,1.532639,0.466922,0.249910,44.398676,0.080999
both,symmetric,1.0,1.0,margin,top50,8,40,20,31.40,10.37,25,52,5.930913,2.646917,97.00,2.45,95.00,100.00,1.171850,0.280125,7.682298,2.481945,0.354659,0.275443,44.436959,0.005148
both,symmetric,1.0,1.0,softmax,top50,1,5,20,10.20,2.32,7,14,0.299013,0.153790,87.00,7.48,75.00,95.00,0.761839,0.140678,6.626390,0.325750,4.392828,1.635331,42.842550,1.372277
both,symmetric,1.0,1.0,softmax,top50,2,10,20,18.20,3.19,15,24,1.051609,0.275781,88.00,4.00,85.00,95.00,0.984140,0.208523,9.219305,1.148010,0.965766,0.357237,44.426555,0.015029
both,symmetric,1.0,1.0,softmax,top50,4,20,20,30.60,2.58,27,33,1.150471,0.786311,93.00,4.00,85.00,95.00,1.001468,0.298013,10.480104,2.356013,0.319108,0.176773,44.443872,0.000847
both,symmetric,1.0,1.0,softmax,top50,8,40,20,17.40,1.85,15,20,7.664222,1.109642,94.00,4.90,85.00,100.00,0.835763,0.147584,8.840982,3.756906,0.663487,0.285119,44.367711,0.091069
both,symmetric,1.0,1.0,regret,top50,1,5,20,1.60,0.49,1,2,0.801967,0.216680,81.00,3.74,75.00,85.00,0.637776,0.105769,7.592673,1.347196,9.078658,0.776911,43.235904,0.684260
both,symmetric,1.0,1.0,regret,top50,2,10,20,5.00,3.29,1,11,1.049881,0.401618,87.00,5.10,80.00,95.00,0.613029,0.114610,6.052929,2.503413,7.294012,2.381075,42.674501,1.196357
both,symmetric,1.0,1.0,regret,top50,4,20,20,17.80,4.21,10,22,1.440908,0.271909,97.00,6.00,85.00,100.00,0.937184,0.140998,7.828959,2.632616,1.213323,1.585180,44.120490,0.571883
both,symmetric,1.0,1.0,regret,top50,8,40,20,23.00,1.26,22,25,2.129016,0.744344,100.00,0.00,100.00,100.00,1.003901,0.206723,11.919744,3.815446,0.360334,0.311716,43.806371,0.735515
both,symmetric,1.0,1.0,entropy,top50,1,5,20,9.60,2.42,7,14,0.370736,0.169928,83.00,4.00,75.00,85.00,0.681053,0.094369,6.039309,1.084042,5.276909,1.848673,42.709510,1.279210
both,symmetric,1.0,1.0,entropy,top50,2,10,20,20.20,3.49,14,24,1.141089,0.395101,91.00,3.74,85.00,95.00,0.938561,0.187850,10.983179,2.593686,0.657369,0.232657,44.355492,0.150418
both,symmetric,1.0,1.0,entropy,top50,4,20,20,27.40,5.92,20,38,2.097606,0.939576,92.00,6.00,85.00,100.00,0.918468,0.202398,11.231459,2.956825,0.607364,0.336245,44.431537,0.011166
both,symmetric,1.0,1.0,entropy,top50,8,40,20,26.80,14.69,13,54,6.717633,2.628583,91.00,9.70,75.00,100.00,1.103180,0.298692,10.023683,3.580787,0.727394,0.595950,44.284540,0.238648
utility_only,non_symmetric,1.0,1.0,binary,top50,1,5,20,1.00,0.00,1,1,0.100000,0.063246,100.00,0.00,100.00,100.00,0.000000,0.000000,7.055578,1.685513,18.825307,0.000000,43.356601,0.465276
utility_only,non_symmetric,1.0,1.0,binary,top50,2,10,20,1.00,0.00,1,1,0.264000,0.059867,100.00,0.00,100.00,100.00,0.000000,0.000000,7.055578,1.685513,18.825307,0.000000,43.356601,0.465276
utility_only,non_symmetric,1.0,1.0,binary,top50,4,20,20,1.60,0.80,1,3,0.452000,0.206146,100.00,0.00,100.00,100.00,0.000000,0.000000,6.295240,2.379800,18.825307,0.000000,42.032945,2.084008
utility_only,non_symmetric,1.0,1.0,binary,top50,8,40,20,1.60,0.80,1,3,0.888000,0.399720,100.00,0.00,100.00,100.00,0.000000,0.000000,6.416625,2.219230,18.825307,0.000000,41.490281,3.076634
utility_only,non_symmetric,1.0,1.0,margin,top50,1,5,20,60.00,0.00,60,60,0.102612,0.199299,95.00,0.00,95.00,95.00,0.000000,0.000000,16.102564,1.979256,18.825307,0.000000,40.451930,1.398650
utility_only,non_symmetric,1.0,1.0,margin,top50,2,10,20,60.00,0.00,60,60,0.307010,0.240701,95.00,0.00,95.00,95.00,0.000000,0.000000,16.600186,1.864159,18.825307,0.000000,39.357200,0.349094
utility_only,non_symmetric,1.0,1.0,margin,top50,4,20,20,52.40,15.20,22,60,1.015772,0.566886,96.00,2.00,95.00,100.00,0.000000,0.000000,14.342345,4.461799,18.825307,0.000000,35.791196,7.917134
utility_only,non_symmetric,1.0,1.0,margin,top50,8,40,20,60.00,0.00,60,60,1.928411,1.167365,96.00,2.00,95.00,100.00,0.000000,0.000000,16.575031,4.666000,18.825307,0.000000,35.744429,7.911823
