mode,sampling_mode,chance_temperature,utility_temperature,fitness_type,stop_mode,n_decision_rules,n_decision_rules_pct,total_rules,stop_gen_mean,stop_gen_std,stop_gen_min,stop_gen_max,fitness_mean,fitness_std,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,mse_chance_mean,mse_chance_std,mse_utility_mean,mse_utility_std,entropy_norm_mean,entropy_norm_std,util_dev_mean,util_dev_std
both,non_symmetric,1.0,1.0,binary,top50,1,5,20,2.0,1.1,1,4,0.428,0.056,82.0,4.0,75.0,85.0,0.588033,0.087668,6.60032,1.753588,8.600416,0.472278,43.324014,0.49725
both,non_symmetric,1.0,1.0,binary,top50,2,10,20,5.4,2.33,1,7,0.624,0.124836,86.0,4.9,80.0,95.0,0.655182,0.140895,6.576537,2.03071,9.024381,0.240792,42.707798,1.313778
both,non_symmetric,1.0,1.0,binary,top50,4,20,20,11.4,5.08,7,21,0.612,0.121062,86.0,6.63,75.0,95.0,0.679169,0.188892,8.714994,4.764152,9.018733,0.73448,42.628994,1.060471
both,non_symmetric,1.0,1.0,binary,top50,8,40,20,12.8,1.17,11,14,0.696,0.129861,93.0,4.0,85.0,95.0,0.74837,0.214116,9.362006,3.161545,9.489061,0.913732,41.386621,1.299438
both,non_symmetric,1.0,1.0,margin,top50,1,5,20,6.8,2.71,4,11,0.739955,0.417619,83.0,7.48,75.0,95.0,0.67873,0.044873,7.3252,2.757447,8.985569,0.523242,43.06394,0.661887
both,non_symmetric,1.0,1.0,margin,top50,2,10,20,8.4,0.49,8,9,0.902608,0.324708,86.0,3.74,80.0,90.0,0.571365,0.13196,9.207145,3.645056,9.33304,0.30411,42.426331,1.056217
both,non_symmetric,1.0,1.0,margin,top50,4,20,20,12.4,2.5,10,17,0.786722,0.353478,85.0,7.07,75.0,95.0,0.603924,0.053188,9.185164,1.871551,9.047875,0.524003,43.208994,0.5646
both,non_symmetric,1.0,1.0,margin,top50,8,40,20,19.0,4.1,14,26,0.373648,0.101253,91.0,4.9,85.0,95.0,0.767563,0.317964,10.045869,4.650215,9.591272,0.937286,40.968003,2.768188
both,non_symmetric,1.0,1.0,softmax,top50,1,5,20,8.4,1.62,6,10,0.142896,0.040081,81.0,3.74,75.0,85.0,0.699971,0.078639,8.781841,2.763063,8.987272,0.71694,42.441708,1.431901
both,non_symmetric,1.0,1.0,softmax,top50,2,10,20,11.0,0.63,10,12,0.251254,0.17482,86.0,7.35,75.0,95.0,0.63914,0.116686,9.784289,1.143178,9.080951,0.604567,42.964228,1.081765
both,non_symmetric,1.0,1.0,softmax,top50,4,20,20,14.8,2.48,11,18,0.827883,1.337345,83.0,8.12,75.0,95.0,0.54803,0.052246,8.593153,0.724308,9.177618,1.045959,41.388202,1.910621
both,non_symmetric,1.0,1.0,softmax,top50,8,40,20,22.0,6.69,13,31,0.550826,0.865963,86.0,6.63,75.0,95.0,0.906803,0.247727,10.114561,5.748925,9.158954,0.571454,40.008559,2.47427
both,non_symmetric,1.0,1.0,regret,top50,1,5,20,1.8,0.75,1,3,0.940529,0.209153,81.0,3.74,75.0,85.0,0.623827,0.085009,6.769488,1.691911,8.50155,0.357378,43.695493,0.2834
both,non_symmetric,1.0,1.0,regret,top50,2,10,20,5.6,2.5,1,8,1.037095,0.3409,82.0,5.1,75.0,90.0,0.655784,0.227495,7.302989,1.975562,8.710709,0.499957,43.761114,0.535383
both,non_symmetric,1.0,1.0,regret,top50,4,20,20,12.2,4.02,9,20,0.50599,0.421524,90.0,6.32,85.0,100.0,0.814463,0.207532,8.9442,4.196341,9.262239,0.582208,41.64598,1.319393
both,non_symmetric,1.0,1.0,regret,top50,8,40,20,17.6,4.76,10,23,0.489184,0.805085,89.0,8.0,75.0,95.0,0.845949,0.28101,8.69422,2.452517,9.394424,0.944118,42.392245,1.68032
both,non_symmetric,1.0,1.0,entropy,top50,1,5,20,8.0,1.67,6,10,0.248731,0.14851,82.0,4.0,75.0,85.0,0.670199,0.101493,7.71999,2.364968,8.879526,0.493656,42.633409,1.590156
both,non_symmetric,1.0,1.0,entropy,top50,2,10,20,10.8,0.4,10,11,0.232837,0.16257,87.0,6.78,75.0,95.0,0.687991,0.111504,9.155818,1.928659,8.954682,0.743334,43.080162,1.034436
