mode,sampling_mode,chance_temperature,utility_temperature,fitness_type,stop_mode,n_decision_rules,n_decision_rules_pct,generation,mean_fitness,mean_accuracy,mean_error_chance,mean_error_utility,mean_entropy_norm,mean_util_dev
both,non_symmetric,1.0,1.0,binary,top50,1,5,1,0.450000,51.25,1.540022,18.279846,11.823503,36.992645
both,non_symmetric,1.0,1.0,binary,top50,2,10,1,0.860000,49.20,1.494734,18.892944,11.702112,36.962363
both,non_symmetric,1.0,1.0,regret,top50,1,5,1,0.774523,51.25,1.540022,18.279846,11.823503,36.992645
both,non_symmetric,1.0,1.0,regret,top50,2,10,1,1.501789,49.20,1.494734,18.892944,11.702112,36.962363
both,symmetric,1.0,1.0,binary,top50,1,5,1,0.450000,51.25,1.540022,18.279846,11.823503,36.992645
both,symmetric,1.0,1.0,binary,top50,2,10,1,0.860000,49.20,1.494734,18.892944,11.702112,36.962363
both,symmetric,1.0,1.0,regret,top50,1,5,1,0.774523,51.25,1.540022,18.279846,11.823503,36.992645
both,symmetric,1.0,1.0,regret,top50,2,10,1,1.501789,49.20,1.494734,18.892944,11.702112,36.962363
utility_only,non_symmetric,1.0,1.0,binary,top50,1,5,1,0.100000,81.00,0.000000,18.996318,18.825307,36.818327
utility_only,non_symmetric,1.0,1.0,binary,top50,2,10,1,0.264000,81.00,0.000000,18.996318,18.825307,36.818327
utility_only,non_symmetric,1.0,1.0,binary,top50,4,20,1,0.752000,81.00,0.000000,18.996318,18.825307,36.818327
utility_only,non_symmetric,1.0,1.0,binary,top50,4,20,2,0.516000,85.58,0.000000,18.820430,18.825307,36.816777
utility_only,non_symmetric,1.0,1.0,binary,top50,8,40,1,1.444000,81.00,0.000000,18.996318,18.825307,36.818327
utility_only,non_symmetric,1.0,1.0,binary,top50,8,40,2,0.928000,86.48,0.000000,18.586624,18.825307,36.706131
utility_only,non_symmetric,1.0,1.0,binary,top50,8,40,3,0.816000,87.32,0.000000,18.704397,18.825307,36.894090
utility_only,non_symmetric,1.0,1.0,margin,top50,1,5,1,0.640293,81.00,0.000000,18.996318,18.825307,36.818327
utility_only,non_symmetric,1.0,1.0,margin,top50,1,5,2,0.442126,89.94,0.000000,17.900524,18.825307,37.162903
utility_only,non_symmetric,1.0,1.0,margin,top50,1,5,3,0.354517,90.80,0.000000,18.336987,18.825307,37.178334
utility_only,non_symmetric,1.0,1.0,margin,top50,1,5,4,0.309666,90.58,0.000000,19.335119,18.825307,38.125121
utility_only,non_symmetric,1.0,1.0,margin,top50,1,5,5,0.258353,90.20,0.000000,19.976261,18.825307,39.100764
utility_only,non_symmetric,1.0,1.0,margin,top50,1,5,6,0.229811,90.42,0.000000,19.427464,18.825307,39.093164
utility_only,non_symmetric,1.0,1.0,margin,top50,1,5,7,0.231635,90.84,0.000000,19.153612,18.825307,39.126847
utility_only,non_symmetric,1.0,1.0,margin,top50,1,5,8,0.230532,91.26,0.000000,19.836810,18.825307,40.111592
utility_only,non_symmetric,1.0,1.0,margin,top50,1,5,9,0.214450,92.24,0.000000,20.654668,18.825307,41.126703
utility_only,non_symmetric,1.0,1.0,margin,top50,1,5,10,0.198867,93.46,0.000000,19.858431,18.825307,40.392000
utility_only,non_symmetric,1.0,1.0,margin,top50,1,5,11,0.189328,93.46,0.000000,20.134363,18.825307,41.248986
utility_only,non_symmetric,1.0,1.0,margin,top50,1,5,12,0.189767,93.54,0.000000,20.715067,18.825307,41.714672
utility_only,non_symmetric,1.0,1.0,margin,top50,1,5,13,0.178855,94.34,0.000000,21.361372,18.825307,42.047618
utility_only,non_symmetric,1.0,1.0,margin,top50,1,5,14,0.176810,93.96,0.000000,21.501408,18.825307,41.790700
utility_only,non_symmetric,1.0,1.0,margin,top50,1,5,15,0.171292,93.70,0.000000,21.173604,18.825307,41.867580
utility_only,non_symmetric,1.0,1.0,margin,top50,1,5,16,0.158351,93.76,0.000000,21.115899,18.825307,41.781924
utility_only,non_symmetric,1.0,1.0,margin,top50,1,5,17,0.155248,93.78,0.000000,21.929842,18.825307,42.134096
utility_only,non_symmetric,1.0,1.0,margin,top50,1,5,18,0.159442,93.56,0.000000,21.840003,18.825307,41.971123
