fitness_type,stop_mode,n_decision_rules,n_decision_rules_pct,total_rules,stop_gen_mean,stop_gen_std,stop_gen_min,stop_gen_max,best_fitness_mean,best_fitness_std,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,mse_chance_mean,mse_chance_std,mse_utility_mean,mse_utility_std,entropy_norm_mean,entropy_norm_std,util_dev_mean,util_dev_std
binary,top10,1,5,20,1.00,0.00,1,1,0.000000,0.000000,79.00,5.83,70.00,85.00,0.622248,0.092837,7.308895,1.417350,8.123379,0.559495,44.080043,0.266595
binary,top10,2,10,20,1.00,0.00,1,1,0.000000,0.000000,79.00,5.83,70.00,85.00,0.622248,0.092837,7.308895,1.417350,8.123379,0.559495,44.080043,0.266595
binary,top10,4,20,20,1.80,0.75,1,3,0.000000,0.000000,84.00,3.74,80.00,90.00,0.560843,0.092570,4.831955,2.991815,9.113179,1.208543,42.389540,1.569955
binary,top10,8,40,20,7.60,3.20,3,13,0.000000,0.000000,91.00,4.90,85.00,95.00,0.832262,0.339522,5.644389,1.863567,6.766306,2.381434,42.943915,0.915314
binary,top10,12,60,20,17.60,7.00,7,28,0.000000,0.000000,96.00,3.74,90.00,100.00,0.841230,0.100349,7.562549,1.421092,3.167378,3.249699,43.812768,1.105251
binary,top30,1,5,20,1.00,0.00,1,1,0.000000,0.000000,79.00,5.83,70.00,85.00,0.622248,0.092837,7.308895,1.417350,8.123379,0.559495,44.080043,0.266595
binary,top30,2,10,20,2.20,1.94,1,6,0.000000,0.000000,82.00,4.00,75.00,85.00,0.589192,0.108447,6.784710,1.821893,8.024102,0.784242,42.748958,1.418114
binary,top30,4,20,20,6.80,1.33,5,9,0.000000,0.000000,89.00,4.90,85.00,95.00,0.704201,0.131114,4.788902,2.001181,7.274984,1.207811,40.616974,1.182177
binary,top30,8,40,20,18.40,4.41,13,22,0.000000,0.000000,96.00,3.74,90.00,100.00,0.959605,0.174627,8.893648,2.067465,2.488860,1.793118,43.969763,0.716961
binary,top30,12,60,20,24.20,2.71,22,28,0.000000,0.000000,98.00,2.45,95.00,100.00,0.998500,0.107846,7.830794,2.272616,1.372414,1.440025,44.298595,0.207159
binary,top70,1,5,20,3.60,1.36,2,6,0.000000,0.000000,82.00,5.10,75.00,90.00,0.661554,0.182353,4.284631,1.210855,8.530929,1.393503,41.994202,1.468125
binary,top70,2,10,20,11.60,5.95,4,22,0.000000,0.000000,90.00,7.75,75.00,95.00,0.726324,0.074668,6.791365,0.830602,5.316115,2.537998,41.866523,1.566204
binary,top70,4,20,20,19.00,4.00,12,22,0.000000,0.000000,90.00,4.47,85.00,95.00,0.803273,0.174522,8.021477,2.359364,2.435304,1.770952,43.964084,0.428640
binary,top70,8,40,20,22.20,0.40,22,23,0.000000,0.000000,94.00,3.74,90.00,100.00,1.043939,0.074995,7.920050,1.189784,1.273705,0.420701,44.289420,0.250032
binary,top70,12,60,20,24.20,2.71,22,28,0.000000,0.000000,98.00,2.45,95.00,100.00,0.998500,0.107846,7.830794,2.272616,1.372414,1.440025,44.298595,0.207159
binary,top90,1,5,20,9.40,5.00,5,19,0.000000,0.000000,86.00,3.74,80.00,90.00,0.711045,0.232044,7.568734,3.808550,6.624827,2.768066,40.829815,1.763631
binary,top90,2,10,20,19.40,5.20,9,22,0.000000,0.000000,90.00,8.94,75.00,100.00,0.902723,0.196489,8.204517,4.514953,2.796815,2.193289,43.140735,1.062794
binary,top90,4,20,20,22.00,0.00,22,22,0.000000,0.000000,88.00,6.00,80.00,95.00,0.850124,0.194155,8.340523,2.053349,1.731407,1.339969,43.941437,0.631426
binary,top90,8,40,20,22.20,0.40,22,23,0.000000,0.000000,94.00,3.74,90.00,100.00,1.043939,0.074995,7.920050,1.189784,1.273705,0.420701,44.289420,0.250032
