net,optimizer,rep,fitness_type,seed,size_gen,mode,total_rules,gen,n_train_rules,rule_added_after_gen,max_accuracy,n_rules_correct,mean_accuracy,pct_success_indv,gen_cpu_time
bypass2,umda,0,binary,42,50,both,20,1,1,False,85.0,17,50.7,0.0,0.046875
bypass2,umda,0,binary,42,50,both,20,2,1,False,75.0,15,48.9,0.0,0.046875
bypass2,umda,0,binary,42,50,both,20,3,1,False,85.0,17,48.8,0.0,0.046875
bypass2,umda,0,binary,42,50,both,20,4,1,False,80.0,16,50.5,0.0,0.046875
bypass2,umda,0,binary,42,50,both,20,5,1,False,85.0,17,55.7,0.0,0.046875
bypass2,umda,0,binary,42,50,both,20,6,1,False,75.0,15,53.1,0.0,0.046875
bypass2,umda,0,binary,42,50,both,20,7,1,False,90.0,18,50.8,0.0,0.046875
bypass2,umda,0,binary,42,50,both,20,8,1,False,75.0,15,52.6,0.0,0.046875
bypass2,umda,0,binary,42,50,both,20,9,1,False,75.0,15,52.8,0.0,0.0625
bypass2,umda,0,binary,42,50,both,20,10,1,False,80.0,16,52.4,0.0,0.046875
bypass2,umda,0,binary,42,50,both,20,11,1,False,80.0,16,53.5,0.0,0.046875
bypass2,umda,0,binary,42,50,both,20,12,1,False,85.0,17,52.0,0.0,0.046875
bypass2,umda,0,binary,42,50,both,20,13,1,False,90.0,18,52.3,0.0,0.03125
bypass2,umda,0,binary,42,50,both,20,14,1,False,75.0,15,51.5,0.0,0.046875
bypass2,umda,0,binary,42,50,both,20,15,1,False,75.0,15,51.0,0.0,0.046875
bypass2,umda,0,binary,42,50,both,20,16,1,False,85.0,17,47.0,0.0,0.046875
bypass2,umda,0,binary,42,50,both,20,17,1,True,65.0,13,47.8,0.0,0.078125
bypass2,umda,0,binary,42,50,both,20,18,2,False,75.0,15,47.6,0.0,0.046875
bypass2,umda,0,binary,42,50,both,20,19,2,False,75.0,15,46.7,0.0,0.046875
bypass2,umda,0,binary,42,50,both,20,20,2,False,85.0,17,53.4,0.0,0.046875
bypass2,umda,0,binary,42,50,both,20,21,2,False,85.0,17,57.2,0.0,0.046875
bypass2,umda,0,binary,42,50,both,20,22,2,False,85.0,17,57.0,0.0,0.046875
bypass2,umda,0,binary,42,50,both,20,23,2,False,75.0,15,56.9,0.0,0.046875
bypass2,umda,0,binary,42,50,both,20,24,2,False,75.0,15,58.0,0.0,0.046875
bypass2,umda,0,binary,42,50,both,20,25,2,False,85.0,17,59.9,0.0,0.0625
bypass2,umda,0,binary,42,50,both,20,26,2,False,85.0,17,58.9,0.0,0.046875
bypass2,umda,0,binary,42,50,both,20,27,2,False,85.0,17,59.7,0.0,0.0625
bypass2,umda,0,binary,42,50,both,20,28,2,False,85.0,17,59.5,0.0,0.046875
bypass2,umda,0,binary,42,50,both,20,29,2,False,75.0,15,57.0,0.0,0.0625
bypass2,umda,0,binary,42,50,both,20,30,2,True,85.0,17,58.9,0.0,0.046875
bypass2,umda,0,binary,42,50,both,20,31,3,False,75.0,15,53.3,0.0,0.046875
bypass2,umda,0,binary,42,50,both,20,32,3,False,75.0,15,52.8,0.0,0.046875
bypass2,umda,0,binary,42,50,both,20,33,3,False,75.0,15,51.2,0.0,0.046875
bypass2,umda,0,binary,42,50,both,20,34,3,False,75.0,15,53.8,0.0,0.046875
bypass2,umda,0,binary,42,50,both,20,35,3,False,75.0,15,53.9,0.0,0.046875
bypass2,umda,0,binary,42,50,both,20,36,3,False,75.0,15,54.8,0.0,0.046875
bypass2,umda,0,binary,42,50,both,20,37,3,False,65.0,13,53.1,0.0,0.0625
bypass2,umda,0,binary,42,50,both,20,38,3,False,65.0,13,54.4,0.0,0.046875
bypass2,umda,0,binary,42,50,both,20,39,3,False,75.0,15,57.7,0.0,0.0625
bypass2,umda,0,binary,42,50,both,20,40,3,False,75.0,15,58.7,0.0,0.046875
bypass2,umda,0,binary,42,50,both,20,41,3,True,65.0,13,56.3,0.0,0.046875
bypass2,umda,0,binary,42,50,both,20,42,4,False,75.0,15,57.0,0.0,0.046875
bypass2,umda,0,binary,42,50,both,20,43,4,False,75.0,15,58.5,0.0,0.046875
bypass2,umda,0,binary,42,50,both,20,44,4,False,65.0,13,58.6,0.0,0.046875
bypass2,umda,0,binary,42,50,both,20,45,4,False,65.0,13,56.1,0.0,0.046875
bypass2,umda,0,binary,42,50,both,20,46,4,False,65.0,13,55.4,0.0,0.0625
bypass2,umda,0,binary,42,50,both,20,47,4,False,70.0,14,54.6,0.0,0.046875
bypass2,umda,0,binary,42,50,both,20,48,4,False,65.0,13,50.9,0.0,0.046875
bypass2,umda,0,binary,42,50,both,20,49,4,False,65.0,13,51.4,0.0,0.046875
bypass2,umda,0,binary,42,50,both,20,50,4,False,65.0,13,54.2,0.0,0.03125
bypass2,umda,0,binary,42,50,both,20,51,4,False,65.0,13,54.6,0.0,0.046875
bypass2,umda,0,binary,42,50,both,20,52,4,True,65.0,13,54.2,0.0,0.046875
bypass2,umda,0,binary,42,50,both,20,53,5,False,65.0,13,52.2,0.0,0.046875
bypass2,umda,0,binary,42,50,both,20,54,5,False,65.0,13,54.1,0.0,0.046875
bypass2,umda,0,binary,42,50,both,20,55,5,False,65.0,13,57.1,0.0,0.046875
bypass2,umda,0,binary,42,50,both,20,56,5,False,65.0,13,56.4,0.0,0.046875
bypass2,umda,0,binary,42,50,both,20,57,5,False,65.0,13,56.9,0.0,0.046875
bypass2,umda,0,binary,42,50,both,20,58,5,False,65.0,13,57.8,0.0,0.046875
bypass2,umda,0,binary,42,50,both,20,59,5,False,70.0,14,57.6,0.0,0.046875
bypass2,umda,0,binary,42,50,both,20,60,5,False,65.0,13,57.2,0.0,0.046875
bypass2,umda,0,binary,42,50,both,20,61,5,False,65.0,13,58.1,0.0,0.03125
bypass2,umda,0,binary,42,50,both,20,62,5,False,65.0,13,57.0,0.0,0.0625
bypass2,umda,0,binary,42,50,both,20,63,5,False,65.0,13,56.2,0.0,0.0625
bypass2,umda,0,binary,42,50,both,20,64,5,False,75.0,15,58.9,0.0,0.078125
bypass2,umda,0,binary,42,50,both,20,65,5,False,70.0,14,57.7,0.0,0.0625
bypass2,umda,0,binary,42,50,both,20,66,5,False,70.0,14,58.0,0.0,0.046875
bypass2,umda,0,binary,42,50,both,20,67,5,False,65.0,13,56.6,0.0,0.046875
bypass2,umda,0,binary,42,50,both,20,68,5,False,65.0,13,57.3,0.0,0.0625
bypass2,umda,0,binary,42,50,both,20,69,5,False,65.0,13,56.2,0.0,0.046875
bypass2,umda,0,binary,42,50,both,20,70,5,False,75.0,15,56.9,0.0,0.0625
bypass2,umda,0,binary,42,50,both,20,71,5,False,70.0,14,55.5,0.0,0.046875
bypass2,umda,0,binary,42,50,both,20,72,5,False,65.0,13,54.4,0.0,0.046875
bypass2,umda,0,binary,42,50,both,20,73,5,False,65.0,13,55.0,0.0,0.046875
bypass2,umda,0,binary,42,50,both,20,74,5,True,65.0,13,55.6,0.0,0.046875
bypass2,umda,0,binary,42,50,both,20,75,6,False,65.0,13,57.2,0.0,0.03125
bypass2,umda,0,binary,42,50,both,20,76,6,False,65.0,13,56.4,0.0,0.046875
bypass2,umda,0,binary,42,50,both,20,77,6,False,65.0,13,56.6,0.0,0.046875
bypass2,umda,0,binary,42,50,both,20,78,6,False,65.0,13,59.0,0.0,0.046875
bypass2,umda,0,binary,42,50,both,20,79,6,False,65.0,13,58.3,0.0,0.046875
bypass2,umda,0,binary,42,50,both,20,80,6,False,65.0,13,59.4,0.0,0.046875
