net,optimizer,fitness_type,noise,rep,seed,size_gen,n_noisy_rules,total_rules,stop_generation,best_accuracy,mean_accuracy,mse_chance,mse_utility,cpu_total
bypass2,umda,regret,0.0,0,42,50,0,20,37,100.0,95.0,0.6953656634267541,12.319871040539722,3.34375
bypass2,umda,regret,0.0,1,43,50,0,20,26,100.0,97.1,1.6574397594640449,33.746714085403205,2.0
bypass2,umda,regret,0.0,2,44,50,0,20,35,100.0,97.8,1.0011658850120968,21.86688781417099,2.703125
bypass2,umda,regret,0.0,3,45,50,0,20,31,100.0,97.5,0.5607131223308768,10.63186963120933,2.640625
bypass2,umda,regret,0.0,4,46,50,0,20,60,100.0,89.6,1.331163734756383,13.381221245478818,5.390625
bypass2,umda,regret,0.0,5,47,50,0,20,60,100.0,95.2,1.208543211492603,27.236759060033172,4.28125
bypass2,umda,regret,0.0,6,48,50,0,20,29,100.0,97.5,0.5480789785286155,4.14837140906817,1.859375
bypass2,umda,regret,0.0,7,49,50,0,20,27,100.0,97.0,1.219231733516884,24.440804789479063,1.6875
bypass2,umda,regret,0.0,8,50,50,0,20,42,100.0,96.6,1.666733470207216,6.698245890148457,2.765625
bypass2,umda,regret,0.0,9,51,50,0,20,34,100.0,94.3,0.8017423984319019,10.134838626066621,2.078125
bypass2,umda,regret,0.1,0,42,50,2,20,60,95.0,77.4,1.2569683588430967,8.1347843856451,6.34375
bypass2,umda,regret,0.1,1,43,50,2,20,28,95.0,87.7,1.3659115683273733,29.06554145671869,2.3125
bypass2,umda,regret,0.1,2,44,50,2,20,60,100.0,84.2,0.8167767669314855,27.951620989126987,6.09375
bypass2,umda,regret,0.1,3,45,50,2,20,60,80.0,60.9,1.4099894697525175,14.229443900922835,6.578125
bypass2,umda,regret,0.1,4,46,50,2,20,60,100.0,90.0,0.8144869922485592,19.071272001540265,9.71875
bypass2,umda,regret,0.1,5,47,50,2,20,60,100.0,88.4,1.256358011410783,19.055813781255246,6.453125
bypass2,umda,regret,0.1,6,48,50,2,20,60,95.0,88.2,1.2121720261094344,10.26690017879452,6.671875
bypass2,umda,regret,0.1,7,49,50,2,20,60,100.0,85.3,1.532049701069617,19.418440456680425,6.578125
bypass2,umda,regret,0.1,8,50,50,2,20,60,100.0,83.7,1.6095930514528671,9.898706381970891,7.328125
bypass2,umda,regret,0.1,9,51,50,2,20,60,85.0,73.1,1.5120226352265638,11.530972544102749,6.015625
bypass2,umda,regret,0.2,0,42,50,4,20,60,90.0,70.0,1.2798227942523699,14.553495448120856,6.578125
bypass2,umda,regret,0.2,1,43,50,4,20,60,80.0,67.9,1.0165129513444957,33.99753749740254,7.234375
bypass2,umda,regret,0.2,2,44,50,4,20,60,95.0,76.1,0.6575490528423529,32.4280328827345,7.25
bypass2,umda,regret,0.2,3,45,50,4,20,60,85.0,73.8,1.7844993319712694,14.946774026529788,7.40625
bypass2,umda,regret,0.2,4,46,50,4,20,60,100.0,81.1,0.7239402875255037,19.568369390638527,8.15625
bypass2,umda,regret,0.2,5,47,50,4,20,60,100.0,76.9,1.2196904367393226,19.050033028985126,7.40625
bypass2,umda,regret,0.2,6,48,50,4,20,60,85.0,71.2,1.014945787686443,10.332602291214341,7.625
bypass2,umda,regret,0.2,7,49,50,4,20,60,90.0,76.8,0.708811974287956,19.287521798920622,7.671875
bypass2,umda,regret,0.2,8,50,50,4,20,60,85.0,70.8,1.6706947619268566,9.952318493941505,9.484375
bypass2,umda,regret,0.2,9,51,50,4,20,60,90.0,81.8,1.190540381437637,11.626483644415234,9.65625
bypass2,umda,regret,0.3,0,42,50,6,20,60,80.0,57.7,0.9061308346251873,11.24138296947995,9.203125
bypass2,umda,regret,0.3,1,43,50,6,20,60,85.0,68.2,1.7376004705061354,19.585457035454784,8.03125
bypass2,umda,regret,0.3,2,44,50,6,20,60,85.0,70.3,0.6926221276611884,30.413551033574322,6.90625
bypass2,umda,regret,0.3,3,45,50,6,20,60,85.0,69.0,1.0880763892986376,10.135557341882471,6.03125
bypass2,umda,regret,0.3,4,46,50,6,20,60,90.0,68.1,0.6132776139560082,19.791846314371966,6.25
bypass2,umda,regret,0.3,5,47,50,6,20,60,100.0,71.1,0.48458234006741263,17.851180238451107,5.78125
bypass2,umda,regret,0.3,6,48,50,6,20,60,75.0,62.8,1.1377732859570422,9.900185765035646,6.453125
bypass2,umda,regret,0.3,7,49,50,6,20,60,80.0,62.5,0.8033993472782357,16.87383374655118,6.859375
bypass2,umda,regret,0.3,8,50,50,6,20,60,85.0,65.2,1.0999305313087888,11.508440691324461,6.84375
bypass2,umda,regret,0.3,9,51,50,6,20,60,75.0,69.4,0.9038980249380194,10.149094397427,6.640625
bypass2,umda,regret,0.4,0,42,50,8,20,60,80.0,57.1,1.0550654252519438,8.869513757479362,6.71875
bypass2,umda,regret,0.4,1,43,50,8,20,60,75.0,59.2,0.5807856726081687,25.033293334402586,6.734375
bypass2,umda,regret,0.4,2,44,50,8,20,60,75.0,61.5,0.4716038931032732,22.489542671759757,6.796875
bypass2,umda,regret,0.4,3,45,50,8,20,60,75.0,58.4,0.8287953984091047,13.157956212364557,6.8125
bypass2,umda,regret,0.4,4,46,50,8,20,60,75.0,60.7,0.7908207145723392,19.949640851236598,6.859375
bypass2,umda,regret,0.4,5,47,50,8,20,60,70.0,51.5,1.2589179439705287,18.727619221567117,6.6875
bypass2,umda,regret,0.4,6,48,50,8,20,60,70.0,51.3,1.9359173938465517,11.296674128515544,6.59375
bypass2,umda,regret,0.4,7,49,50,8,20,60,80.0,61.3,0.9647149149625435,19.898416878324948,6.34375
bypass2,umda,regret,0.4,8,50,50,8,20,60,85.0,67.0,0.9918059923220186,11.593316611152188,6.4375
bypass2,umda,regret,0.4,9,51,50,8,20,60,75.0,56.0,1.068497045359704,10.935375447643544,6.421875
bypass2,umda,regret,0.5,0,42,50,10,20,60,75.0,51.3,0.8837738173630956,12.059411318075549,5.65625
bypass2,umda,regret,0.5,1,43,50,10,20,60,75.0,57.4,1.6512255696279565,25.258110495355705,5.90625
bypass2,umda,regret,0.5,2,44,50,10,20,60,80.0,44.6,0.47972178744579375,26.25532285036484,5.96875
bypass2,umda,regret,0.5,3,45,50,10,20,60,75.0,57.0,0.8649883210810978,19.911853053450553,6.390625
bypass2,umda,regret,0.5,4,46,50,10,20,60,85.0,59.6,0.7546824606932332,17.964783547251077,6.71875
bypass2,umda,regret,0.5,5,47,50,10,20,60,75.0,53.4,1.1712077701399002,15.39399878637379,6.796875
bypass2,umda,regret,0.5,6,48,50,10,20,60,70.0,53.0,1.36381504538825,9.6924623383161,6.65625
bypass2,umda,regret,0.5,7,49,50,10,20,48,65.0,47.4,0.6192913215503826,18.9784942502379,5.5
bypass2,umda,regret,0.5,8,50,50,10,20,60,80.0,53.6,0.9441663546887692,11.40044221596945,6.640625
bypass2,umda,regret,0.5,9,51,50,10,20,60,85.0,70.6,1.1707876043693388,11.670335836930327,6.6875
bypass2,umda,binary,0.0,0,42,50,0,20,60,95.0,94.4,0.9220211755598177,12.502355526247603,6.359375
bypass2,umda,binary,0.0,1,43,50,0,20,60,95.0,95.0,1.4928209223124693,16.574776370623148,6.59375
bypass2,umda,binary,0.0,2,44,50,0,20,60,100.0,95.3,0.6375186422870692,14.477420713942466,6.828125
bypass2,umda,binary,0.0,3,45,50,0,20,60,95.0,95.0,0.7949209247358411,12.041944922034666,6.625
bypass2,umda,binary,0.0,4,46,50,0,20,60,95.0,95.0,0.7076977574685953,12.89325195765235,6.6875
bypass2,umda,binary,0.0,5,47,50,0,20,60,95.0,94.8,1.2102309302430414,17.73918501627307,6.625
bypass2,umda,binary,0.0,6,48,50,0,20,60,100.0,95.2,0.7544229353433659,10.17629268380424,6.5625
bypass2,umda,binary,0.0,7,49,50,0,20,42,100.0,97.9,0.505858626733149,11.692917620047671,4.75
bypass2,umda,binary,0.0,8,50,50,0,20,60,100.0,96.7,0.683757007037149,16.69858332622175,6.796875
bypass2,umda,binary,0.0,9,51,50,0,20,60,95.0,94.8,0.6015270713352975,5.7260562569965385,6.515625
bypass2,umda,binary,0.1,0,42,50,2,20,60,80.0,79.6,1.1963392906853973,10.431187757777348,6.71875
bypass2,umda,binary,0.1,1,43,50,2,20,60,85.0,85.0,1.3791988770508636,16.081836497075226,6.5625
bypass2,umda,binary,0.1,2,44,50,2,20,60,90.0,87.7,0.5272151121447266,23.03201343616242,6.796875
bypass2,umda,binary,0.1,3,45,50,2,20,60,85.0,76.0,0.6561095492830634,12.387092783697518,6.71875
bypass2,umda,binary,0.1,4,46,50,2,20,60,80.0,79.7,1.1210457927728146,10.440081186828941,6.734375
bypass2,umda,binary,0.1,5,47,50,2,20,60,95.0,89.8,1.3493584175063116,14.358908165012574,6.625
bypass2,umda,binary,0.1,6,48,50,2,20,60,95.0,95.0,0.6281118363447117,11.947718318443489,6.640625
bypass2,umda,binary,0.1,7,49,50,2,20,60,85.0,77.3,0.8606713622396585,10.745289062623987,6.671875
bypass2,umda,binary,0.1,8,50,50,2,20,60,85.0,77.3,1.0798546713871124,14.546711779717116,6.796875
bypass2,umda,binary,0.1,9,51,50,2,20,60,95.0,95.0,0.6586811715429455,8.423628845711493,6.59375
bypass2,umda,binary,0.2,0,42,50,4,20,60,85.0,75.8,1.0142235398518236,17.40651351766316,6.5
bypass2,umda,binary,0.2,1,43,50,4,20,60,75.0,75.0,1.2988944346608786,12.066554953151092,6.765625
bypass2,umda,binary,0.2,2,44,50,4,20,60,85.0,76.4,0.8575879364352842,25.90561067244505,6.609375
bypass2,umda,binary,0.2,3,45,50,4,20,60,85.0,74.8,0.7333188116908579,8.530926357534666,6.640625
bypass2,umda,binary,0.2,4,46,50,4,20,60,70.0,64.7,0.7564557377563216,10.439965305609222,6.65625
