net,optimizer,fitness_type,rules_pct,n_train_rules,noise,n_noisy_rules,n_correct_rules,rep,seed,size_gen,total_rules,stop_generation,best_accuracy,mean_accuracy,mse_chance,mse_utility,cpu_total
bypass2,umda,regret,20,4,0.0,0,4,0,42,50,20,9,85.0,59.9,0.7365515678054331,6.40289363591298,0.6875
bypass2,umda,regret,20,4,0.0,0,4,1,43,50,20,13,85.0,62.6,1.314131343793965,11.622235592254523,0.875
bypass2,umda,regret,20,4,0.0,0,4,2,44,50,20,13,95.0,72.9,0.5078045899581846,7.565797477108622,1.0625
bypass2,umda,regret,20,4,0.0,0,4,3,45,50,20,10,75.0,59.6,0.7104462514398808,3.654170030840229,0.75
bypass2,umda,regret,20,4,0.0,0,4,4,46,50,20,8,85.0,64.8,0.45538285261934675,5.77593480756422,0.65625
bypass2,umda,regret,20,4,0.0,0,4,5,47,50,20,12,95.0,61.7,0.6484971797680232,6.894267235832978,0.984375
bypass2,umda,regret,20,4,0.0,0,4,6,48,50,20,7,80.0,56.5,0.49868054145860247,6.209682594369677,0.59375
bypass2,umda,regret,20,4,0.0,0,4,7,49,50,20,6,95.0,62.0,0.4963268089062934,7.073561998292273,0.5625
bypass2,umda,regret,20,4,0.0,0,4,8,50,50,20,13,85.0,59.6,0.6638725091112161,4.578423584019231,1.234375
bypass2,umda,regret,20,4,0.0,0,4,9,51,50,20,8,95.0,61.5,0.4923214912840005,6.360385465101454,0.578125
bypass2,umda,regret,20,4,0.25,1,3,0,42,50,20,60,65.0,41.6,1.0625779562693358,10.948075930768056,4.640625
bypass2,umda,regret,20,4,0.25,1,3,1,43,50,20,8,80.0,50.7,0.8818086913209984,7.072437336519315,0.609375
bypass2,umda,regret,20,4,0.25,1,3,2,44,50,20,16,85.0,57.9,0.5559701898868076,10.828512552285858,1.203125
bypass2,umda,regret,20,4,0.25,1,3,3,45,50,20,10,75.0,53.1,0.5173543105763642,4.385919756458955,0.765625
bypass2,umda,regret,20,4,0.25,1,3,4,46,50,20,14,95.0,74.3,0.6695575841589326,7.0260537587908765,1.09375
bypass2,umda,regret,20,4,0.25,1,3,5,47,50,20,12,85.0,62.3,0.455069556556243,6.1878111348892455,1.03125
bypass2,umda,regret,20,4,0.25,1,3,6,48,50,20,14,85.0,55.5,1.1322242873491346,8.413026426802693,1.15625
bypass2,umda,regret,20,4,0.25,1,3,7,49,50,20,8,85.0,54.6,0.6615810411720724,5.119272623976438,0.65625
bypass2,umda,regret,20,4,0.25,1,3,8,50,50,20,30,75.0,53.4,0.9468963573055252,10.68264510461573,2.34375
bypass2,umda,regret,20,4,0.25,1,3,9,51,50,20,15,75.0,49.5,0.5175404641465629,7.1310719990423586,1.265625
bypass2,umda,regret,20,4,0.5,2,2,0,42,50,20,60,75.0,55.7,0.9353565732614557,10.519484261401923,5.078125
bypass2,umda,regret,20,4,0.5,2,2,1,43,50,20,16,95.0,42.2,0.9130457740596395,7.1847031166819,1.65625
bypass2,umda,regret,20,4,0.5,2,2,2,44,50,20,17,75.0,48.8,0.6023012943428193,13.593939028499122,1.34375
bypass2,umda,regret,20,4,0.5,2,2,3,45,50,20,7,75.0,51.0,0.6224528496744963,6.789077475849137,0.421875
bypass2,umda,regret,20,4,0.5,2,2,4,46,50,20,15,75.0,55.9,0.5830589850812496,7.170657706108825,0.96875
bypass2,umda,regret,20,4,0.5,2,2,5,47,50,20,19,100.0,62.6,0.6371895165676791,3.500140605254256,1.234375
bypass2,umda,regret,20,4,0.5,2,2,6,48,50,20,13,75.0,50.3,0.8032526159329086,10.345391036541484,0.859375
bypass2,umda,regret,20,4,0.5,2,2,7,49,50,20,26,75.0,58.3,0.6110450387194628,19.009017825167305,1.671875
bypass2,umda,regret,20,4,0.5,2,2,8,50,50,20,60,65.0,44.6,1.0171078505265665,10.296476268410535,4.09375
bypass2,umda,regret,20,4,0.5,2,2,9,51,50,20,15,70.0,45.3,0.7989998327180056,20.10192676536262,0.953125
bypass2,umda,regret,40,8,0.0,0,8,0,42,50,20,16,85.0,70.8,0.3604270053723453,6.37076724028434,1.03125
bypass2,umda,regret,40,8,0.0,0,8,1,43,50,20,14,95.0,78.3,1.1787075931650008,6.1016724783723175,0.921875
bypass2,umda,regret,40,8,0.0,0,8,2,44,50,20,15,95.0,72.6,0.6767925587804906,6.422747654470033,0.9375
bypass2,umda,regret,40,8,0.0,0,8,3,45,50,20,11,85.0,67.9,0.7198406023678235,4.928367344083142,0.78125
bypass2,umda,regret,40,8,0.0,0,8,4,46,50,20,11,95.0,78.2,0.6026992505934724,8.051072923600405,0.71875
bypass2,umda,regret,40,8,0.0,0,8,5,47,50,20,11,95.0,73.2,0.5407888872355125,6.802576414771924,0.765625
bypass2,umda,regret,40,8,0.0,0,8,6,48,50,20,17,95.0,76.8,1.1975014190582263,3.6050005696762537,1.09375
bypass2,umda,regret,40,8,0.0,0,8,7,49,50,20,15,95.0,73.9,0.6571431317844882,9.242116374966766,0.984375
bypass2,umda,regret,40,8,0.0,0,8,8,50,50,20,23,85.0,74.5,0.9965486889466966,5.705951339415193,1.703125
bypass2,umda,regret,40,8,0.0,0,8,9,51,50,20,60,85.0,75.7,1.0681676973205194,23.76681760075489,3.859375
bypass2,umda,regret,40,8,0.25,2,6,0,42,50,20,60,65.0,50.0,0.8356560811147564,9.10544757930364,3.875
bypass2,umda,regret,40,8,0.25,2,6,1,43,50,20,54,85.0,74.2,1.7259439048561391,18.67399801697993,3.765625
bypass2,umda,regret,40,8,0.25,2,6,2,44,50,20,60,90.0,72.3,0.8966921134814242,11.151908508901396,3.8125
bypass2,umda,regret,40,8,0.25,2,6,3,45,50,20,60,85.0,71.4,1.0753760818498892,11.460753361066729,3.875
bypass2,umda,regret,40,8,0.25,2,6,4,46,50,20,15,75.0,62.6,0.8563086035441261,13.398775254288735,1.3125
bypass2,umda,regret,40,8,0.25,2,6,5,47,50,20,26,80.0,62.2,0.9079584712309918,9.004302988161982,3.71875
bypass2,umda,regret,40,8,0.25,2,6,6,48,50,20,47,75.0,58.0,1.3902831851109088,16.325334764569007,4.359375
bypass2,umda,regret,40,8,0.25,2,6,7,49,50,20,60,75.0,64.8,0.9256900691906783,18.14256909987769,4.484375
bypass2,umda,regret,40,8,0.25,2,6,8,50,50,20,16,75.0,51.9,0.5290193607481025,3.5100680548228063,1.0625
bypass2,umda,regret,40,8,0.25,2,6,9,51,50,20,12,75.0,59.1,0.658340409204925,7.028784105969913,0.8125
bypass2,umda,regret,40,8,0.5,4,4,0,42,50,20,60,65.0,54.4,0.827287850543436,10.006121577217227,4.265625
bypass2,umda,regret,40,8,0.5,4,4,1,43,50,20,30,55.00000000000001,40.1,1.4222146836557372,14.36612736422433,2.296875
bypass2,umda,regret,40,8,0.5,4,4,2,44,50,20,60,75.0,62.2,0.5939656216852087,29.140935572112035,4.296875
bypass2,umda,regret,40,8,0.5,4,4,3,45,50,20,60,85.0,58.4,0.7284764937732002,11.466074933287326,4.375
bypass2,umda,regret,40,8,0.5,4,4,4,46,50,20,60,65.0,45.1,0.7147837376668469,11.550596905345593,4.625
bypass2,umda,regret,40,8,0.5,4,4,5,47,50,20,43,60.0,43.7,0.648378437870772,6.184737357817695,3.34375
bypass2,umda,regret,40,8,0.5,4,4,6,48,50,20,60,65.0,57.0,0.8254098703511815,10.381898127034706,4.25
