net,trigger,optimizer,rep,fitness_type,seed,size_gen,mode,total_rules,gen,n_train_rules,rule_added_after_gen,max_accuracy,n_rules_correct,mean_accuracy,pct_success_indv,gen_cpu_time
nhlv1,success,umda,0,regret,42,50,utility_only,67,1,1,True,80.59701492537313,54,41.164179104477604,0.0,13.140625
nhlv1,success,umda,0,regret,42,50,utility_only,67,2,2,True,76.11940298507463,51,50.776119402985074,0.0,12.953125
nhlv1,success,umda,0,regret,42,50,utility_only,67,3,3,True,83.5820895522388,56,57.34328358208954,0.0,12.96875
nhlv1,success,umda,0,regret,42,50,utility_only,67,4,4,False,82.08955223880598,55,56.59701492537313,0.0,12.875
nhlv1,success,umda,0,regret,42,50,utility_only,67,5,4,True,83.5820895522388,56,64.95522388059702,0.0,13.0
nhlv1,success,umda,0,regret,42,50,utility_only,67,6,5,False,82.08955223880598,55,68.6268656716418,0.0,12.859375
nhlv1,success,umda,0,regret,42,50,utility_only,67,7,5,False,83.5820895522388,56,63.223880597014926,0.0,13.0
nhlv1,success,umda,0,regret,42,50,utility_only,67,8,5,False,85.07462686567165,57,67.46268656716417,0.0,13.0
nhlv1,success,umda,0,regret,42,50,utility_only,67,9,5,True,83.5820895522388,56,63.10447761194029,0.0,12.734375
nhlv1,success,umda,0,regret,42,50,utility_only,67,10,6,False,88.05970149253731,59,60.4776119402985,0.0,13.203125
nhlv1,success,umda,0,regret,42,50,utility_only,67,11,6,False,86.56716417910447,58,57.25373134328359,0.0,13.0
nhlv1,success,umda,0,regret,42,50,utility_only,67,12,6,False,83.5820895522388,56,65.58208955223881,0.0,13.109375
nhlv1,success,umda,0,regret,42,50,utility_only,67,13,6,True,85.07462686567165,57,69.25373134328359,0.0,13.125
nhlv1,success,umda,0,regret,42,50,utility_only,67,14,7,True,85.07462686567165,57,72.71641791044776,0.0,13.109375
nhlv1,success,umda,0,regret,42,50,utility_only,67,15,8,True,86.56716417910447,58,73.28358208955224,0.0,13.0
nhlv1,success,umda,0,regret,42,50,utility_only,67,16,9,True,85.07462686567165,57,75.43283582089552,0.0,12.859375
