network,optimizer,pct,stop_mode,rep,seed,generation,acc_best,acc_mean,acc_worst,sat_acc_mean,n_satisfiers,pop_size,pct_satisfiers,best_fitness
bypass,umda,5,top10,0,42,1,85.0,50.7,20.0,52.2,25,50,50.0,0.0
bypass,umda,5,top10,0,42,2,75.0,48.9,25.0,51.875,32,50,64.0,0.0
bypass,umda,5,top10,0,42,3,85.0,48.8,25.0,49.88372093023256,43,50,86.0,0.0
bypass,umda,5,top10,0,42,4,80.0,50.5,20.0,53.125,40,50,80.0,0.0
bypass,umda,5,top10,0,42,5,85.0,55.7,20.0,57.674418604651166,43,50,86.0,0.0
bypass,umda,5,top10,0,42,6,75.0,53.1,30.0,52.95454545454545,44,50,88.0,0.0
bypass,umda,5,top10,0,42,7,90.0,50.8,20.0,54.0,40,50,80.0,0.0
bypass,umda,5,top10,0,42,8,75.0,52.6,20.0,53.53658536585366,41,50,82.0,0.0
bypass,umda,5,top10,0,42,9,75.0,52.8,30.0,51.93181818181818,44,50,88.0,0.0
bypass,umda,5,top10,0,42,10,80.0,52.4,15.0,52.77777777777778,45,50,90.0,0.0
bypass,umda,5,top10,0,42,11,80.0,53.5,30.0,54.0625,48,50,96.0,0.0
bypass,umda,5,top10,0,42,12,85.0,52.0,25.0,51.458333333333336,48,50,96.0,0.0
bypass,umda,5,top10,0,42,13,90.0,52.3,25.0,52.755102040816325,49,50,98.0,0.0
bypass,umda,5,top10,0,42,14,75.0,51.5,25.0,51.5,50,50,100.0,0.0
bypass,umda,5,top10,0,42,15,75.0,51.0,25.0,51.0,50,50,100.0,0.0
bypass,umda,5,top10,0,42,16,85.0,47.0,15.0,47.24489795918368,49,50,98.0,0.0
bypass,umda,5,top10,0,42,17,65.0,47.8,20.0,47.8,50,50,100.0,0.0
bypass,umda,5,top10,0,42,18,75.0,47.6,25.0,47.6,50,50,100.0,0.0
bypass,umda,5,top10,0,42,19,75.0,44.2,20.0,44.2,50,50,100.0,0.0
bypass,umda,5,top10,0,42,20,80.0,45.7,15.0,45.7,50,50,100.0,0.0
bypass,umda,5,top10,0,42,21,75.0,49.3,15.0,49.3,50,50,100.0,0.0
bypass,umda,5,top10,0,42,22,80.0,49.2,15.0,49.2,50,50,100.0,0.0
bypass,umda,5,top10,0,42,23,75.0,47.1,15.0,47.1,50,50,100.0,0.0
bypass,umda,5,top10,0,42,24,75.0,45.3,20.0,45.3,50,50,100.0,0.0
bypass,umda,5,top10,0,42,25,75.0,44.4,15.0,44.4,50,50,100.0,0.0
bypass,umda,5,top10,0,42,26,75.0,43.6,15.0,43.6,50,50,100.0,0.0
bypass,umda,5,top10,0,42,27,65.0,42.2,20.0,42.2,50,50,100.0,0.0
bypass,umda,5,top10,0,42,28,65.0,42.6,25.0,42.6,50,50,100.0,0.0
bypass,umda,5,top10,0,42,29,60.0,38.6,15.0,38.6,50,50,100.0,0.0
bypass,umda,5,top10,0,42,30,75.0,40.2,20.0,40.2,50,50,100.0,0.0
bypass,umda,5,top10,0,42,31,70.0,35.1,15.0,35.1,50,50,100.0,0.0
bypass,umda,5,top10,0,42,32,55.00000000000001,31.8,15.0,31.8,50,50,100.0,0.0
bypass,umda,5,top10,0,42,33,55.00000000000001,33.5,15.0,33.5,50,50,100.0,0.0
bypass,umda,5,top10,0,42,34,50.0,30.3,15.0,30.3,50,50,100.0,0.0
bypass,umda,5,top10,0,42,35,50.0,29.9,15.0,29.9,50,50,100.0,0.0
bypass,umda,5,top10,0,42,36,55.00000000000001,31.6,15.0,31.6,50,50,100.0,0.0
bypass,umda,5,top10,0,42,37,55.00000000000001,28.4,15.0,28.4,50,50,100.0,0.0
bypass,umda,5,top10,0,42,38,55.00000000000001,28.4,15.0,28.4,50,50,100.0,0.0
bypass,umda,5,top10,0,42,39,50.0,29.4,15.0,29.4,50,50,100.0,0.0
bypass,umda,5,top10,0,42,40,50.0,27.8,15.0,27.8,50,50,100.0,0.0
bypass,umda,5,top10,0,42,41,45.0,28.1,10.0,28.1,50,50,100.0,0.0
bypass,umda,5,top10,0,42,42,65.0,28.1,15.0,28.1,50,50,100.0,0.0
bypass,umda,5,top10,0,42,43,55.00000000000001,29.9,15.0,29.9,50,50,100.0,0.0
bypass,umda,5,top10,0,42,44,55.00000000000001,30.3,15.0,30.3,50,50,100.0,0.0
bypass,umda,5,top10,0,42,45,45.0,26.8,15.0,26.8,50,50,100.0,0.0
bypass,umda,5,top10,0,42,46,40.0,26.8,15.0,26.8,50,50,100.0,0.0
bypass,umda,5,top10,0,42,47,40.0,25.7,15.0,25.7,50,50,100.0,0.0
bypass,umda,5,top10,0,42,48,40.0,26.4,15.0,26.4,50,50,100.0,0.0
bypass,umda,5,top10,0,42,49,40.0,24.9,10.0,24.9,50,50,100.0,0.0
bypass,umda,5,top10,0,42,50,40.0,25.9,15.0,26.25,48,50,96.0,0.0
bypass,umda,5,top10,1,43,1,85.0,53.9,10.0,61.55172413793103,29,50,58.0,0.0
bypass,umda,5,top10,1,43,2,85.0,50.3,25.0,54.10714285714285,28,50,56.0,0.0
bypass,umda,5,top10,1,43,3,95.0,51.5,15.0,55.47619047619048,21,50,42.0,0.0
bypass,umda,5,top10,1,43,4,80.0,51.6,20.0,55.32258064516129,31,50,62.0,0.0
bypass,umda,5,top10,1,43,5,85.0,50.0,15.0,53.96551724137931,29,50,58.0,0.0
bypass,umda,5,top10,1,43,6,85.0,50.3,20.0,52.63157894736842,38,50,76.0,0.0
bypass,umda,5,top10,1,43,7,80.0,50.5,25.0,53.47222222222222,36,50,72.0,0.0
bypass,umda,5,top10,1,43,8,75.0,52.2,15.0,53.06818181818182,44,50,88.0,0.0
bypass,umda,5,top10,1,43,9,80.0,52.8,25.0,53.72093023255814,43,50,86.0,0.0
bypass,umda,5,top10,1,43,10,90.0,54.5,20.0,55.21739130434783,46,50,92.0,0.0
bypass,umda,5,top10,1,43,11,80.0,54.5,25.0,54.7872340425532,47,50,94.0,0.0
bypass,umda,5,top10,1,43,12,90.0,53.4,20.0,54.6875,48,50,96.0,0.0
bypass,umda,5,top10,1,43,13,90.0,54.8,20.0,56.0,45,50,90.0,0.0
bypass,umda,5,top10,1,43,14,90.0,56.1,5.0,59.31818181818182,44,50,88.0,0.0
bypass,umda,5,top10,1,43,15,95.0,59.0,25.0,59.6875,48,50,96.0,0.0
bypass,umda,5,top10,1,43,16,85.0,57.1,25.0,57.1,50,50,100.0,0.0
bypass,umda,5,top10,1,43,17,90.0,56.5,25.0,56.5,50,50,100.0,0.0
bypass,umda,5,top10,1,43,18,75.0,53.8,35.0,53.8,50,50,100.0,0.0
bypass,umda,5,top10,1,43,19,85.0,55.7,35.0,55.81632653061224,49,50,98.0,0.0
bypass,umda,5,top10,1,43,20,85.0,62.5,35.0,62.5,50,50,100.0,0.0
bypass,umda,5,top10,1,43,21,80.0,59.8,35.0,59.895833333333336,48,50,96.0,0.0
bypass,umda,5,top10,1,43,22,95.0,63.4,35.0,63.4,50,50,100.0,0.0
bypass,umda,5,top10,1,43,23,95.0,64.5,45.0,64.5,50,50,100.0,0.0
bypass,umda,5,top10,1,43,24,85.0,61.6,45.0,61.6,50,50,100.0,0.0
bypass,umda,5,top10,1,43,25,85.0,63.4,35.0,63.4,50,50,100.0,0.0
bypass,umda,5,top10,1,43,26,85.0,60.6,35.0,60.6,50,50,100.0,0.0
bypass,umda,5,top10,1,43,27,85.0,64.6,25.0,64.6,50,50,100.0,0.0
bypass,umda,5,top10,1,43,28,85.0,66.0,30.0,66.73469387755102,49,50,98.0,0.0
bypass,umda,5,top10,1,43,29,75.0,64.2,45.0,64.2,50,50,100.0,0.0
bypass,umda,5,top10,1,43,30,85.0,65.3,35.0,65.3,50,50,100.0,0.0
bypass,umda,5,top10,1,43,31,85.0,62.8,45.0,62.8,50,50,100.0,0.0
bypass,umda,5,top10,1,43,32,85.0,64.6,45.0,64.6,50,50,100.0,0.0
bypass,umda,5,top10,1,43,33,90.0,64.0,40.0,64.0,50,50,100.0,0.0
bypass,umda,5,top10,1,43,34,85.0,63.6,40.0,63.6,50,50,100.0,0.0
bypass,umda,5,top10,1,43,35,85.0,62.6,35.0,62.6,50,50,100.0,0.0
bypass,umda,5,top10,1,43,36,85.0,63.9,35.0,63.9,50,50,100.0,0.0
bypass,umda,5,top10,1,43,37,75.0,62.4,35.0,62.4,50,50,100.0,0.0
bypass,umda,5,top10,1,43,38,85.0,62.1,35.0,62.1,50,50,100.0,0.0
bypass,umda,5,top10,1,43,39,90.0,57.4,35.0,57.4,50,50,100.0,0.0
bypass,umda,5,top10,1,43,40,75.0,56.8,30.0,56.8,50,50,100.0,0.0
bypass,umda,5,top10,1,43,41,75.0,59.1,35.0,59.1,50,50,100.0,0.0
bypass,umda,5,top10,1,43,42,85.0,60.2,35.0,60.2,50,50,100.0,0.0
bypass,umda,5,top10,1,43,43,80.0,58.5,30.0,58.5,50,50,100.0,0.0
bypass,umda,5,top10,1,43,44,85.0,59.5,40.0,59.5,50,50,100.0,0.0
bypass,umda,5,top10,1,43,45,85.0,63.5,35.0,63.5,50,50,100.0,0.0
bypass,umda,5,top10,1,43,46,80.0,60.3,35.0,60.3,50,50,100.0,0.0
bypass,umda,5,top10,1,43,47,75.0,60.2,40.0,60.2,50,50,100.0,0.0
bypass,umda,5,top10,1,43,48,85.0,62.9,35.0,62.9,50,50,100.0,0.0
bypass,umda,5,top10,1,43,49,75.0,60.0,35.0,60.0,50,50,100.0,0.0
bypass,umda,5,top10,1,43,50,85.0,63.9,25.0,63.9,50,50,100.0,0.0
bypass,umda,5,top10,2,44,1,80.0,53.0,25.0,57.22222222222222,27,50,54.0,0.0
bypass,umda,5,top10,2,44,2,75.0,49.2,20.0,54.23076923076923,26,50,52.0,0.0
bypass,umda,5,top10,2,44,3,85.0,52.6,30.0,53.93939393939394,33,50,66.0,0.0
bypass,umda,5,top10,2,44,4,80.0,52.4,15.0,56.206896551724135,29,50,58.0,0.0
bypass,umda,5,top10,2,44,5,85.0,56.5,25.0,60.13513513513514,37,50,74.0,0.0
bypass,umda,5,top10,2,44,6,90.0,56.2,5.0,58.625,40,50,80.0,0.0
bypass,umda,5,top10,2,44,7,85.0,56.4,25.0,58.80952380952381,42,50,84.0,0.0
bypass,umda,5,top10,2,44,8,85.0,60.5,35.0,61.13636363636363,44,50,88.0,0.0
bypass,umda,5,top10,2,44,9,85.0,63.5,35.0,64.36170212765957,47,50,94.0,0.0
bypass,umda,5,top10,2,44,10,85.0,65.4,40.0,66.27659574468085,47,50,94.0,0.0
bypass,umda,5,top10,2,44,11,95.0,64.7,35.0,65.0,49,50,98.0,0.0
bypass,umda,5,top10,2,44,12,95.0,63.9,30.0,63.9,50,50,100.0,0.0
bypass,umda,5,top10,2,44,13,85.0,60.0,35.0,60.0,50,50,100.0,0.0
bypass,umda,5,top10,2,44,14,90.0,63.6,35.0,63.97959183673469,49,50,98.0,0.0
bypass,umda,5,top10,2,44,15,95.0,61.5,35.0,61.326530612244895,49,50,98.0,0.0
bypass,umda,5,top10,2,44,16,85.0,61.9,30.0,61.63265306122449,49,50,98.0,0.0
bypass,umda,5,top10,2,44,17,85.0,58.3,35.0,58.3,50,50,100.0,0.0
bypass,umda,5,top10,2,44,18,90.0,59.4,35.0,59.4,50,50,100.0,0.0
bypass,umda,5,top10,2,44,19,85.0,60.5,35.0,60.5,50,50,100.0,0.0
bypass,umda,5,top10,2,44,20,85.0,58.3,25.0,58.3,50,50,100.0,0.0
bypass,umda,5,top10,2,44,21,85.0,60.0,40.0,60.0,50,50,100.0,0.0
bypass,umda,5,top10,2,44,22,80.0,59.1,45.0,59.1,50,50,100.0,0.0
bypass,umda,5,top10,2,44,23,85.0,59.6,35.0,59.6,50,50,100.0,0.0
bypass,umda,5,top10,2,44,24,85.0,60.1,35.0,60.1,50,50,100.0,0.0
bypass,umda,5,top10,2,44,25,80.0,55.8,35.0,55.8,50,50,100.0,0.0
bypass,umda,5,top10,2,44,26,85.0,53.3,30.0,53.3,50,50,100.0,0.0
bypass,umda,5,top10,2,44,27,80.0,50.9,30.0,50.9,50,50,100.0,0.0
bypass,umda,5,top10,2,44,28,70.0,53.3,35.0,53.3,50,50,100.0,0.0
bypass,umda,5,top10,2,44,29,75.0,51.9,35.0,51.9,50,50,100.0,0.0
bypass,umda,5,top10,2,44,30,65.0,48.7,25.0,48.7,50,50,100.0,0.0
bypass,umda,5,top10,2,44,31,90.0,48.7,25.0,48.7,50,50,100.0,0.0
bypass,umda,5,top10,2,44,32,80.0,48.4,35.0,48.4,50,50,100.0,0.0
bypass,umda,5,top10,2,44,33,75.0,48.9,35.0,48.9,50,50,100.0,0.0
bypass,umda,5,top10,2,44,34,75.0,48.1,35.0,48.1,50,50,100.0,0.0
bypass,umda,5,top10,2,44,35,65.0,46.0,35.0,46.0,50,50,100.0,0.0
bypass,umda,5,top10,2,44,36,75.0,48.0,30.0,48.0,50,50,100.0,0.0
bypass,umda,5,top10,2,44,37,75.0,48.7,30.0,48.7,50,50,100.0,0.0
bypass,umda,5,top10,2,44,38,65.0,48.4,35.0,48.4,50,50,100.0,0.0
bypass,umda,5,top10,2,44,39,75.0,48.1,30.0,48.1,50,50,100.0,0.0
bypass,umda,5,top10,2,44,40,85.0,48.6,35.0,48.6,50,50,100.0,0.0
bypass,umda,5,top10,2,44,41,80.0,46.3,35.0,46.3,50,50,100.0,0.0
bypass,umda,5,top10,2,44,42,75.0,49.1,35.0,49.1,50,50,100.0,0.0
bypass,umda,5,top10,2,44,43,75.0,47.8,35.0,47.8,50,50,100.0,0.0
bypass,umda,5,top10,2,44,44,65.0,47.5,35.0,47.5,50,50,100.0,0.0
bypass,umda,5,top10,2,44,45,70.0,48.7,35.0,48.7,50,50,100.0,0.0
bypass,umda,5,top10,2,44,46,70.0,49.3,35.0,49.3,50,50,100.0,0.0
bypass,umda,5,top10,2,44,47,75.0,46.7,35.0,46.7,50,50,100.0,0.0
bypass,umda,5,top10,2,44,48,60.0,44.2,35.0,44.2,50,50,100.0,0.0
bypass,umda,5,top10,2,44,49,65.0,45.4,35.0,45.4,50,50,100.0,0.0
bypass,umda,5,top10,2,44,50,60.0,44.1,35.0,44.1,50,50,100.0,0.0
bypass,umda,5,top10,3,45,1,75.0,47.4,20.0,52.5,26,50,52.0,0.0
bypass,umda,5,top10,3,45,2,75.0,52.1,15.0,56.09375,32,50,64.0,0.0
bypass,umda,5,top10,3,45,3,80.0,53.2,25.0,55.51282051282051,39,50,78.0,0.0
bypass,umda,5,top10,3,45,4,85.0,53.7,25.0,56.785714285714285,42,50,84.0,0.0
bypass,umda,5,top10,3,45,5,95.0,58.0,25.0,60.0,43,50,86.0,0.0
bypass,umda,5,top10,3,45,6,100.0,59.8,25.0,63.0,40,50,80.0,0.0
bypass,umda,5,top10,3,45,7,85.0,59.4,25.0,65.0,39,50,78.0,0.0
bypass,umda,5,top10,3,45,8,95.0,63.3,20.0,65.36585365853658,41,50,82.0,0.0
bypass,umda,5,top10,3,45,9,85.0,60.2,35.0,59.888888888888886,45,50,90.0,0.0
bypass,umda,5,top10,3,45,10,90.0,60.3,25.0,60.42553191489362,47,50,94.0,0.0
bypass,umda,5,top10,3,45,11,85.0,58.7,15.0,60.22222222222222,45,50,90.0,0.0
bypass,umda,5,top10,3,45,12,85.0,56.3,35.0,57.1875,48,50,96.0,0.0
bypass,umda,5,top10,3,45,13,85.0,58.5,35.0,59.14893617021277,47,50,94.0,0.0
bypass,umda,5,top10,3,45,14,85.0,57.6,30.0,58.26086956521739,46,50,92.0,0.0
