network,optimizer,pct,stop_mode,rep,seed,acc
bypass,egna,5,top90,0,42,65.0
bypass,egna,5,top90,0,42,75.0
bypass,egna,5,top90,0,42,65.0
bypass,egna,5,top90,0,42,85.0
bypass,egna,5,top90,0,42,65.0
bypass,egna,5,top90,0,42,75.0
bypass,egna,5,top90,0,42,65.0
bypass,egna,5,top90,0,42,85.0
bypass,egna,5,top90,0,42,90.0
bypass,egna,5,top90,0,42,75.0
bypass,egna,5,top90,0,42,55.00000000000001
bypass,egna,5,top90,0,42,75.0
bypass,egna,5,top90,0,42,85.0
bypass,egna,5,top90,0,42,55.00000000000001
bypass,egna,5,top90,0,42,55.00000000000001
bypass,egna,5,top90,0,42,95.0
bypass,egna,5,top90,0,42,75.0
bypass,egna,5,top90,0,42,60.0
bypass,egna,5,top90,0,42,85.0
bypass,egna,5,top90,0,42,75.0
bypass,egna,5,top90,0,42,75.0
bypass,egna,5,top90,0,42,75.0
bypass,egna,5,top90,0,42,65.0
bypass,egna,5,top90,0,42,75.0
bypass,egna,5,top90,0,42,75.0
bypass,egna,5,top90,0,42,70.0
bypass,egna,5,top90,0,42,75.0
bypass,egna,5,top90,0,42,85.0
bypass,egna,5,top90,0,42,85.0
bypass,egna,5,top90,0,42,85.0
bypass,egna,5,top90,0,42,75.0
bypass,egna,5,top90,0,42,75.0
bypass,egna,5,top90,0,42,65.0
bypass,egna,5,top90,0,42,65.0
bypass,egna,5,top90,0,42,75.0
bypass,egna,5,top90,0,42,65.0
bypass,egna,5,top90,0,42,95.0
bypass,egna,5,top90,0,42,85.0
bypass,egna,5,top90,0,42,65.0
bypass,egna,5,top90,0,42,65.0
bypass,egna,5,top90,0,42,65.0
bypass,egna,5,top90,0,42,65.0
bypass,egna,5,top90,0,42,95.0
bypass,egna,5,top90,0,42,45.0
bypass,egna,5,top90,0,42,95.0
bypass,egna,5,top90,0,42,55.00000000000001
bypass,egna,5,top90,1,43,50.0
bypass,egna,5,top90,1,43,50.0
bypass,egna,5,top90,1,43,55.00000000000001
bypass,egna,5,top90,1,43,45.0
bypass,egna,5,top90,1,43,70.0
bypass,egna,5,top90,1,43,55.00000000000001
bypass,egna,5,top90,1,43,55.00000000000001
bypass,egna,5,top90,1,43,50.0
bypass,egna,5,top90,1,43,55.00000000000001
bypass,egna,5,top90,1,43,55.00000000000001
bypass,egna,5,top90,1,43,55.00000000000001
bypass,egna,5,top90,1,43,60.0
bypass,egna,5,top90,1,43,35.0
bypass,egna,5,top90,1,43,55.00000000000001
bypass,egna,5,top90,1,43,60.0
bypass,egna,5,top90,1,43,50.0
bypass,egna,5,top90,1,43,70.0
bypass,egna,5,top90,1,43,60.0
bypass,egna,5,top90,1,43,60.0
bypass,egna,5,top90,1,43,65.0
bypass,egna,5,top90,1,43,95.0
bypass,egna,5,top90,1,43,40.0
bypass,egna,5,top90,1,43,55.00000000000001
bypass,egna,5,top90,1,43,65.0
bypass,egna,5,top90,1,43,55.00000000000001
bypass,egna,5,top90,1,43,55.00000000000001
bypass,egna,5,top90,1,43,85.0
bypass,egna,5,top90,1,43,40.0
bypass,egna,5,top90,1,43,70.0
bypass,egna,5,top90,1,43,60.0
bypass,egna,5,top90,1,43,55.00000000000001
bypass,egna,5,top90,1,43,55.00000000000001
bypass,egna,5,top90,1,43,75.0
bypass,egna,5,top90,1,43,55.00000000000001
bypass,egna,5,top90,1,43,55.00000000000001
bypass,egna,5,top90,1,43,50.0
bypass,egna,5,top90,1,43,65.0
bypass,egna,5,top90,1,43,65.0
bypass,egna,5,top90,1,43,70.0
bypass,egna,5,top90,1,43,55.00000000000001
bypass,egna,5,top90,1,43,60.0
bypass,egna,5,top90,1,43,50.0
bypass,egna,5,top90,1,43,45.0
bypass,egna,5,top90,1,43,75.0
bypass,egna,5,top90,1,43,60.0
bypass,egna,5,top90,1,43,45.0
bypass,egna,5,top90,1,43,40.0
bypass,egna,5,top90,1,43,50.0
bypass,egna,5,top90,1,43,65.0
bypass,egna,5,top90,1,43,45.0
bypass,egna,5,top90,2,44,75.0
bypass,egna,5,top90,2,44,85.0
bypass,egna,5,top90,2,44,85.0
bypass,egna,5,top90,2,44,65.0
bypass,egna,5,top90,2,44,90.0
bypass,egna,5,top90,2,44,65.0
bypass,egna,5,top90,2,44,65.0
bypass,egna,5,top90,2,44,65.0
bypass,egna,5,top90,2,44,75.0
bypass,egna,5,top90,2,44,75.0
bypass,egna,5,top90,2,44,85.0
bypass,egna,5,top90,2,44,65.0
bypass,egna,5,top90,2,44,85.0
bypass,egna,5,top90,2,44,65.0
bypass,egna,5,top90,2,44,65.0
bypass,egna,5,top90,2,44,75.0
bypass,egna,5,top90,2,44,65.0
bypass,egna,5,top90,2,44,75.0
bypass,egna,5,top90,2,44,55.00000000000001
bypass,egna,5,top90,2,44,85.0
bypass,egna,5,top90,2,44,65.0
bypass,egna,5,top90,2,44,90.0
bypass,egna,5,top90,2,44,75.0
bypass,egna,5,top90,2,44,65.0
bypass,egna,5,top90,2,44,55.00000000000001
bypass,egna,5,top90,2,44,60.0
bypass,egna,5,top90,2,44,65.0
bypass,egna,5,top90,2,44,75.0
bypass,egna,5,top90,2,44,75.0
bypass,egna,5,top90,2,44,75.0
bypass,egna,5,top90,2,44,80.0
bypass,egna,5,top90,2,44,55.00000000000001
bypass,egna,5,top90,2,44,75.0
bypass,egna,5,top90,2,44,75.0
bypass,egna,5,top90,2,44,75.0
bypass,egna,5,top90,2,44,75.0
bypass,egna,5,top90,2,44,75.0
bypass,egna,5,top90,2,44,75.0
bypass,egna,5,top90,2,44,75.0
bypass,egna,5,top90,2,44,75.0
bypass,egna,5,top90,2,44,90.0
bypass,egna,5,top90,2,44,55.00000000000001
bypass,egna,5,top90,2,44,65.0
bypass,egna,5,top90,2,44,65.0
bypass,egna,5,top90,2,44,75.0
bypass,egna,5,top90,2,44,65.0
bypass,egna,5,top90,2,44,85.0
bypass,egna,5,top90,2,44,80.0
bypass,egna,5,top90,2,44,70.0
bypass,egna,5,top90,2,44,65.0
bypass,egna,5,top90,3,45,85.0
bypass,egna,5,top90,3,45,80.0
bypass,egna,5,top90,3,45,85.0
bypass,egna,5,top90,3,45,75.0
bypass,egna,5,top90,3,45,75.0
bypass,egna,5,top90,3,45,65.0
bypass,egna,5,top90,3,45,85.0
bypass,egna,5,top90,3,45,85.0
bypass,egna,5,top90,3,45,85.0
bypass,egna,5,top90,3,45,80.0
bypass,egna,5,top90,3,45,70.0
bypass,egna,5,top90,3,45,65.0
bypass,egna,5,top90,3,45,75.0
bypass,egna,5,top90,3,45,85.0
bypass,egna,5,top90,3,45,65.0
bypass,egna,5,top90,3,45,75.0
bypass,egna,5,top90,3,45,75.0
bypass,egna,5,top90,3,45,65.0
bypass,egna,5,top90,3,45,75.0
bypass,egna,5,top90,3,45,75.0
bypass,egna,5,top90,3,45,65.0
bypass,egna,5,top90,3,45,65.0
bypass,egna,5,top90,3,45,75.0
bypass,egna,5,top90,3,45,85.0
bypass,egna,5,top90,3,45,80.0
bypass,egna,5,top90,3,45,85.0
bypass,egna,5,top90,3,45,75.0
bypass,egna,5,top90,3,45,60.0
bypass,egna,5,top90,3,45,65.0
bypass,egna,5,top90,3,45,75.0
bypass,egna,5,top90,3,45,55.00000000000001
bypass,egna,5,top90,3,45,75.0
bypass,egna,5,top90,3,45,75.0
bypass,egna,5,top90,3,45,55.00000000000001
bypass,egna,5,top90,3,45,90.0
bypass,egna,5,top90,3,45,65.0
bypass,egna,5,top90,3,45,75.0
bypass,egna,5,top90,3,45,75.0
bypass,egna,5,top90,3,45,65.0
bypass,egna,5,top90,3,45,85.0
bypass,egna,5,top90,3,45,80.0
bypass,egna,5,top90,3,45,75.0
bypass,egna,5,top90,3,45,60.0
bypass,egna,5,top90,3,45,75.0
bypass,egna,5,top90,3,45,75.0
bypass,egna,5,top90,3,45,75.0
bypass,egna,5,top90,3,45,65.0
bypass,egna,5,top90,4,46,75.0
bypass,egna,5,top90,4,46,75.0
bypass,egna,5,top90,4,46,95.0
bypass,egna,5,top90,4,46,45.0
bypass,egna,5,top90,4,46,75.0
bypass,egna,5,top90,4,46,45.0
bypass,egna,5,top90,4,46,75.0
bypass,egna,5,top90,4,46,65.0
bypass,egna,5,top90,4,46,55.00000000000001
bypass,egna,5,top90,4,46,65.0
bypass,egna,5,top90,4,46,65.0
bypass,egna,5,top90,4,46,65.0
bypass,egna,5,top90,4,46,85.0
bypass,egna,5,top90,4,46,75.0
bypass,egna,5,top90,4,46,75.0
bypass,egna,5,top90,4,46,85.0
bypass,egna,5,top90,4,46,45.0
bypass,egna,5,top90,4,46,65.0
bypass,egna,5,top90,4,46,55.00000000000001
bypass,egna,5,top90,4,46,45.0
bypass,egna,5,top90,4,46,75.0
bypass,egna,5,top90,4,46,55.00000000000001
bypass,egna,5,top90,4,46,60.0
bypass,egna,5,top90,4,46,65.0
bypass,egna,5,top90,4,46,75.0
bypass,egna,5,top90,4,46,45.0
bypass,egna,5,top90,4,46,55.00000000000001
bypass,egna,5,top90,4,46,65.0
bypass,egna,5,top90,4,46,65.0
bypass,egna,5,top90,4,46,75.0
bypass,egna,5,top90,4,46,75.0
bypass,egna,5,top90,4,46,55.00000000000001
bypass,egna,5,top90,4,46,55.00000000000001
bypass,egna,5,top90,4,46,75.0
bypass,egna,5,top90,4,46,55.00000000000001
bypass,egna,5,top90,4,46,65.0
bypass,egna,5,top90,4,46,70.0
bypass,egna,5,top90,4,46,55.00000000000001
bypass,egna,5,top90,4,46,50.0
bypass,egna,5,top90,4,46,65.0
bypass,egna,5,top90,4,46,65.0
bypass,egna,5,top90,4,46,65.0
bypass,egna,5,top90,4,46,75.0
bypass,egna,5,top90,4,46,75.0
bypass,egna,5,top90,4,46,65.0
bypass,egna,5,top90,4,46,40.0
bypass,egna,5,top90,5,47,65.0
bypass,egna,5,top90,5,47,85.0
bypass,egna,5,top90,5,47,55.00000000000001
bypass,egna,5,top90,5,47,75.0
bypass,egna,5,top90,5,47,65.0
bypass,egna,5,top90,5,47,85.0
bypass,egna,5,top90,5,47,75.0
bypass,egna,5,top90,5,47,55.00000000000001
bypass,egna,5,top90,5,47,55.00000000000001
bypass,egna,5,top90,5,47,80.0
bypass,egna,5,top90,5,47,35.0
bypass,egna,5,top90,5,47,75.0
bypass,egna,5,top90,5,47,65.0
bypass,egna,5,top90,5,47,85.0
bypass,egna,5,top90,5,47,75.0
bypass,egna,5,top90,5,47,65.0
bypass,egna,5,top90,5,47,65.0
bypass,egna,5,top90,5,47,75.0
bypass,egna,5,top90,5,47,65.0
bypass,egna,5,top90,5,47,55.00000000000001
bypass,egna,5,top90,5,47,95.0
bypass,egna,5,top90,5,47,75.0
bypass,egna,5,top90,5,47,85.0
bypass,egna,5,top90,5,47,85.0
bypass,egna,5,top90,5,47,75.0
bypass,egna,5,top90,5,47,60.0
bypass,egna,5,top90,5,47,65.0
bypass,egna,5,top90,5,47,80.0
bypass,egna,5,top90,5,47,65.0
bypass,egna,5,top90,5,47,55.00000000000001
bypass,egna,5,top90,5,47,75.0
bypass,egna,5,top90,5,47,65.0
bypass,egna,5,top90,5,47,60.0
bypass,egna,5,top90,5,47,65.0
bypass,egna,5,top90,5,47,75.0
bypass,egna,5,top90,5,47,65.0
bypass,egna,5,top90,5,47,75.0
bypass,egna,5,top90,5,47,75.0
bypass,egna,5,top90,5,47,75.0
bypass,egna,5,top90,5,47,65.0
bypass,egna,5,top90,5,47,90.0
bypass,egna,5,top90,5,47,55.00000000000001
bypass,egna,5,top90,5,47,55.00000000000001
bypass,egna,5,top90,5,47,75.0
bypass,egna,5,top90,5,47,75.0
bypass,egna,5,top90,5,47,75.0
bypass,egna,5,top90,5,47,65.0
bypass,egna,5,top90,6,48,55.00000000000001
bypass,egna,5,top90,6,48,65.0
bypass,egna,5,top90,6,48,55.00000000000001
bypass,egna,5,top90,6,48,65.0
bypass,egna,5,top90,6,48,35.0
bypass,egna,5,top90,6,48,55.00000000000001
bypass,egna,5,top90,6,48,65.0
bypass,egna,5,top90,6,48,55.00000000000001
bypass,egna,5,top90,6,48,55.00000000000001
bypass,egna,5,top90,6,48,65.0
bypass,egna,5,top90,6,48,35.0
bypass,egna,5,top90,6,48,55.00000000000001
bypass,egna,5,top90,6,48,65.0
bypass,egna,5,top90,6,48,65.0
bypass,egna,5,top90,6,48,50.0
bypass,egna,5,top90,6,48,75.0
bypass,egna,5,top90,6,48,65.0
bypass,egna,5,top90,6,48,85.0
bypass,egna,5,top90,6,48,55.00000000000001
bypass,egna,5,top90,6,48,65.0
bypass,egna,5,top90,6,48,50.0
bypass,egna,5,top90,6,48,65.0
bypass,egna,5,top90,6,48,55.00000000000001
bypass,egna,5,top90,6,48,75.0
bypass,egna,5,top90,6,48,70.0
bypass,egna,5,top90,6,48,65.0
bypass,egna,5,top90,6,48,55.00000000000001
bypass,egna,5,top90,6,48,45.0
