network,optimizer,fitness_type,chance_temperature,utility_temperature,pct,n_decision_rules,total_rules,rep,seed,acc_best,acc_mean,acc_worst,sat_acc_mean,n_satisfiers,stop_generation,cpu_total
bypass,umda,binary,0.5,0.5,10,2,20,0,42,75.0,46.1,35.0,46.1,50,50,3.265625
bypass,umda,binary,0.5,0.5,10,2,20,1,43,85.0,61.4,40.0,61.4,50,50,3.796875
bypass,umda,binary,0.5,0.5,10,2,20,2,44,85.0,76.1,55.00000000000001,76.1,50,50,4.203125
bypass,umda,binary,0.5,0.5,10,2,20,3,45,85.0,63.0,45.0,63.0,50,50,3.140625
bypass,umda,binary,0.5,0.5,10,2,20,4,46,95.0,75.3,65.0,75.3,50,50,3.375
bypass,umda,binary,0.5,1.0,10,2,20,0,42,70.0,43.7,30.0,43.7,50,50,3.46875
bypass,umda,binary,0.5,1.0,10,2,20,1,43,75.0,58.2,35.0,58.2,50,50,3.921875
bypass,umda,binary,0.5,1.0,10,2,20,2,44,85.0,76.7,65.0,76.7,50,50,4.546875
bypass,umda,binary,0.5,1.0,10,2,20,3,45,70.0,60.0,45.0,60.0,50,50,4.453125
bypass,umda,binary,0.5,1.0,10,2,20,4,46,100.0,75.1,55.00000000000001,75.1,50,50,3.375
bypass,umda,binary,0.5,2.0,10,2,20,0,42,75.0,52.8,35.0,52.8,50,50,3.640625
bypass,umda,binary,0.5,2.0,10,2,20,1,43,85.0,60.7,35.0,60.7,50,50,4.046875
bypass,umda,binary,0.5,2.0,10,2,20,2,44,80.0,64.1,45.0,64.1,50,50,3.875
bypass,umda,binary,0.5,2.0,10,2,20,3,45,70.0,47.3,35.0,47.3,50,50,2.96875
bypass,umda,binary,0.5,2.0,10,2,20,4,46,85.0,64.1,55.00000000000001,64.1,50,50,3.015625
bypass,umda,binary,1.0,0.5,10,2,20,0,42,55.00000000000001,46.2,35.0,46.2,50,50,2.953125
bypass,umda,binary,1.0,0.5,10,2,20,1,43,75.0,54.0,30.0,54.0,50,50,3.125
