mode,sampling_mode,chance_temperature,utility_temperature,fitness_type,stop_mode,n_decision_rules,n_decision_rules_pct,generation,mean_fitness,mean_accuracy,mean_error_chance,mean_error_utility,mean_entropy_norm,mean_util_dev,mean_gen_cpu
utility_only,non_symmetric,1.0,1.0,binary,top50,3,5,1,1.672000,42.09,0.000000,32.868971,1062.290878,617.950372,13.6469
utility_only,non_symmetric,1.0,1.0,binary,top50,3,5,2,1.332000,48.10,0.000000,31.317029,1062.290878,584.179154,13.6000
utility_only,non_symmetric,1.0,1.0,binary,top50,3,5,3,1.268000,49.30,0.000000,31.263932,1062.290878,582.263598,13.8063
utility_only,non_symmetric,1.0,1.0,binary,top50,3,5,4,1.068000,53.00,0.000000,31.035065,1062.290878,581.402459,13.6906
utility_only,non_symmetric,1.0,1.0,binary,top50,3,5,5,1.000000,54.16,0.000000,30.985111,1062.290878,579.165271,13.6844
utility_only,non_symmetric,1.0,1.0,binary,top50,3,5,6,0.920000,53.59,0.000000,30.812252,1062.290878,578.912877,13.8187
utility_only,non_symmetric,1.0,1.0,binary,top50,3,5,7,0.880000,54.63,0.000000,30.791491,1062.290878,578.479316,13.6906
utility_only,non_symmetric,1.0,1.0,binary,top50,3,5,8,0.804000,58.29,0.000000,30.736838,1062.290878,577.691193,13.6750
utility_only,non_symmetric,1.0,1.0,binary,top50,3,5,9,0.752000,59.25,0.000000,30.646345,1062.290878,577.955751,13.6500
utility_only,non_symmetric,1.0,1.0,binary,top50,7,10,1,4.000000,42.09,0.000000,32.868971,1062.290878,617.950372,13.5625
utility_only,non_symmetric,1.0,1.0,binary,top50,7,10,2,3.308000,50.78,0.000000,31.329734,1062.290878,583.338369,13.3969
utility_only,non_symmetric,1.0,1.0,binary,top50,7,10,3,3.080000,52.03,0.000000,31.534699,1062.290878,582.062103,13.2406
utility_only,non_symmetric,1.0,1.0,binary,top50,7,10,4,2.504000,58.66,0.000000,31.386187,1062.290878,578.299507,13.3156
utility_only,non_symmetric,1.0,1.0,binary,top50,7,10,5,2.088000,63.00,0.000000,31.823597,1062.290878,574.757580,13.4812
utility_only,non_symmetric,1.0,1.0,binary,top50,7,10,6,1.700000,64.67,0.000000,31.661903,1062.290878,574.001231,13.1750
utility_only,non_symmetric,1.0,1.0,binary,top50,7,10,7,1.448000,66.84,0.000000,31.552053,1062.290878,571.722618,13.3344
utility_only,non_symmetric,1.0,1.0,binary,top50,7,10,8,1.220000,68.54,0.000000,31.343709,1062.290878,569.877188,13.1906
